,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото,комментарии,,комментарии КГИ 12.03,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,,,,,
 ,USB-Кабель для зарядки,"Материал: пластик
Размер: 1 6х 3.3 см
Цвет: черный
Упаковка: индивидуальный пакет
Примечание от фабрики: USB, micro USB, lightning, type-C; подсветка логотипа", Дизайн: гравирока лого. один цвет изделия,110,"2,4","214,0",30-35,"2,5","224,4",20-25,3 690,5,15-17,,"только черный цвет рассчитан? 
прошу найти вариант и рассчитать по ТЗ: белый+черный
Соотношение цветов в равных пропорциях (общий тираж - 110 шт)             ",расчет на сл строке,,,
,USB-Кабель для зарядки,"Материал: пластик
Размер: 17х 3 см
Цвет: черный, белый
Упаковка: индивидуальный пакет
Примечание от фабрики: USB, micro USB, lightning, type-C; подсветка логотипа"," Дизайн: гравирока лого, изделие белого и черного цвета",110 (55+55),"4,2","378,2",40-45,"4,4","399,3",30-35,3 780,5,15-17,,,,,,
 ,Беспроводная зарядная станция для iWatch,"Материал: пластик
Размер: 8.2 х 3.7 х 1.3 см
Цвет: черный, белый
Упаковка: индивидуальный дизайн", Дизайн: УФ-печать лого,395 (два цвета),"4,7","424,0",40-45,"4,8","432,6",30-35,5 840,7,17-19,,,,,,
 ,Беспроводная колонка,"Материал: пластик
Размер: 4.5 х 6 см
Цвет: черный, серый
Упаковка: индивидуальный дизайн
Примечание от фабрики: Bluetooth 5.0, емкость аккумулятора 600 мАч, зарядка от USB, функция ответа на звонок и затвора камеры, режим TWS", Дизайн: гравировка лого,1123,"21,8","1960,7",50-55,"22,7","2040,5",40-45,6 670,8,18-20,,,,,,
 ,Бутылка стеклянная,"Материал: стекло
Размер: 19.5 х 6.5 см
Объем: 320 мл
Упаковка: индивидуальный дизайн", Дизайн: гравировка лого,4020,"6,0","536,8",50-55,"7,6","679,7",40-45,6 970,7,17-19,,,,,,
 ,Чайная пара,"Материал: костяной фарфор
Размер: 11.4 х 6.2 см, блюдце 15,5см
Объем: 250 мл
Упаковка: транспортировочная"," Дизайн: цветная,золотая деколь",460,"10,2","919,9",60-75 ,"17,2","1549,7",50-65,-,-,-,,,,,,
 ,Чайная пара,"Материал: костяной фарфор
Размер: 9 х 6.8 см,блюдце 15.2 см
Объем: 250 мл
Упаковка: транспортировочная"," Дизайн: серебрянная деколь,серебрянная окантовка",1339,"15,3","1379,1",60-75 ,"12,2","1094,4",50-65,10 000,20,30-32,,,,,,
 ,Кружка Стенли 1,"Материал: нержавейка 201 и 304 
Размер: 9.5 х 7 х 26 см
Объем: 40 oz / 1 182,94 мл
Упаковка: сток коробка
Примечания: сохраняет тепло на 6-12 часов", Дизайн: нанесеение лого,135,"12,9","1209,3",35-40,"15,7",1492,25-30,8 150,2,12-14,,цвет сток или возможен выкрас в пантон? есть ли возможность сделать в цветах и форме как по тз? ,готово,,,
 ,Кружка Стенли 2,"Материал: нержавейка 201 и 304 
Размер: 9.5 х 7 х 26 см
Объем: 40 oz / 1 182,94 мл
Упаковка: сток коробка
Примечания: сохраняет тепло на 6-12 часов", Дизайн: нанесеение лого,860,"12,3","1159,2",30-35,"15,2","1441,9",20-25,8 150,2,12-14,,,,,,
,Кружка Стенли 3,"Материал: нержавейка 201 и 304 
Размер: 9.5 х 7 х 26 см
Объем: 40 oz / 1 182,94 мл
Упаковка: сток коробка
Примечания: сохраняет тепло на 6-12 часов", Дизайн: нанесеение лого (выкрас в пантон на тираж 860),135,"13,7","1281,7",35-40,"16,7","1579,3",25-30,10 750,7,17-19,,,,,,
,,,,860,"13,2","1239,5",,"16,2","1537,0",,,,,,,,,,
 ,Ручки,"Материал: металл, алюминий
Размер: 138 x 10 мм
Упаковка: сток пакет"," Дизайн: пантон, лого лазерной гравировкой, покрытие софт-тач",66 374,"0,7","63,8",45-50,"0,8","73,6",35-40,6 150,7,17-19,,"Есть ли сертификат? стережень паркер? или ""эквивалент""?",какие сертификаты нужны? стержень аналог,,,
 ,Термобутылки 1,"Материал: нержавейка 201 и 304
Размер: 7.4 х 23.5 см
Объем: 500 мл
Упаковка: стоковая коробка"," Дизайн: пантон х2, нанесение лого, софт-тач",18 083,8,"740,8",55-60,"9,3","870,4",45-50,7 850,5,15-17,," тираж бутылок огромный. давайте все таки найдем ту бутылку, которая указана на референсе","готово, сл строка",,,
,Термобутылки 1.2,"Материал: нержавейка 304
Размер: 7.4 х 23.5 см
Объем: 500 мл
Упаковка: стоковая коробка"," Дизайн: пантон, нанесение лого, софт-тач",18 083,8,"714,3",60-65,9,"837,8",50-55,7550 (один цвет пантон),7,17-19,,,,,,
,Термобутылки 1.3,"Материал: нержавейка 201 и 304
Размер: 24 х 7.3 см
Объем: 650 мл
Упаковка: стоковая коробка (можно закастомить, в цену не входит)"," Дизайн: пантон (распыление краской), нанесение лого шелкографией",18 083,"8, 5","790,1",45-50,10,"936,2",35-40,16 300,7,17-19,,,,,,
 ,Термобутылки 2,"Материал: нержавейка 201 и 304
Объем: 500 мл
Упаковка: цветная коробка"," Дизайн: пантон х2, нанесение лого",18 083,7,"640,7",40-45,"8,2","766,6",30-35,9 950,7,17-19,,,,,,
 ,Термобутылки 3,"Материал: нержавейка 201 и 304
Объем: 450 мл
Упаковка: цветная коробка"," Дизайн: пантон х2, нанесение лого",18 083,"10, 9","1004,6",50-55,"12,4","1152,7",40-45,20 500,7,17-19,,,,,,
 ,Увлажнитель,"Материал: пластмасса
Размер: 77 х 77 х 14 мм
Упаковка: цветная коробка
Характеристики:
- Номинальная мощность: 2.5 Вт  
- Объем резервуара: 400 мл  
- Время работы: 6-12 часов  
- Режим распыления: непрерывный/прерывистый  
- Скорость распыления: 40 мл/ч  ", Дизайн: нанесение лого,129,"13,8",1411,30-35,"14,3","1540,6",20-25,7 100,3,13-15,      ,"сильно не проходим по цене. Поищите еще варианты, в иделае максимально приближенные к референсу","готово, сл строка",,,
,Увлажнитель,"Материал: пластмасса
Размер: 70 х 70 х 14 мм
Упаковка: цветная коробка
Характеристики:
- Объем резервуара: 250 мл  
- Режим распыления: непрерывный/прерывистый  
- Скорость распыления: 30-50 мл/ч  ", Дизайн: нанесение лого,3000 (мин),"7,4",670,40-45,"8,3","742,6",30-35,8 610,5,15-17,,,,,,
,Увлажнитель,"Материал: пластмасса
Размер: 132 х 75 мм
Упаковка: цветная коробка
Характеристики:
- Объем резервуара: 250 мл  
- Режим распыления: непрерывный/прерывистый  
- Скорость распыления: 30-50 мл/ч  
- Подсветка, 6 цветов
- Емкость аккумулятора 1200 мАч", Дизайн: сток,129,"17,0",1526,25-30,"18,3","1649,6",15-20,3 180,2,12-14,,,,,,
,,, Дизайн: нанесение лого,1000 (мин),"9,6",866,40-45,"11,0","989,3",30-35,9 150,5,15-17,,,,,,
,Увлажнитель,"Материал: пластик
Размер: 132 х 72 х 72 мм
Упаковка: цветная коробка
Характеристики:
- Объем резервуара: 360 мл  
- Производительность распыления: 50 мл/ч  
- Таймер работы:  
  - Непрерывное распыление: 4 ч
  - Прерывистое распыление: 8 ч  
  - Подсветка – 8 часов  
- Дополнительные функции:  
  - Ночной режим с подсветкой  
  - Возможность работы с водорастворимыми ароматическими маслами (масляные масла запрещены)  
  - Автоотключение по таймеру  
  - Питание через USB  
", Дизайн: нанесение лого,400,"6,3",578,"32-37","7,1","659,7","22-27",5 200,3,13-15,,,,,,
,Увлажнитель,"Материал: ABS + PC + электронные компоненты  
Размер: 72 × 72 × 160 мм 
Упаковка: цветная коробка (73 × 73 × 162 мм)
Характеристики:
- Производительность распыления: 35 мл/ч или 45 мл/ч  
- Ёмкость аккумулятора: 1200 мАч  
- Таймер работы:  
  - Первый режим — 4 часа  
  - Второй режим — 8 часов  
- Ёмкость резервуара: 240 мл  
- Время зарядки: около 2 часов  
- Тип зарядного порта: USB Type-C  
- Способ управления: Кнопочное управление  
- Сертификаты продукта: CE / FCC / ROHS / Патент на внешний вид  
- Комплектация: Основное устройство, USB-кабель, хлопковые фитили, руководство пользователя  ", Дизайн: нанесение лого (гравировка),129,"19,5",1796,35-40,"20,6","1900,8",25-30,10 250,5,15-17,,,,,,
,Увлажнитель,"Материал: РС + РР пластик
Размер: 70 х 70 х 14 мм
Упаковка: цветная коробка
Характеристики:
- Объем резервуара: 2500 мл  
- Тип зарядного порта: USB Type-C  
", Дизайн: нанесение лого (гравировка),150 (мин),"23,1",2156,30-35,"26,1","2464,2",20-25,7 950,3,13-15,,,,,,
,Увлажнитель,"Материал: пластмасса
Размер: 180 х 110 мм
Упаковка: цветная коробка
Характеристики:
- Объем резервуара: 250 мл  
- Режим распыления: непрерывный/прерывистый  
- Скорость распыления: 30-50 мл/ч  
- Подсветка, 6 цветов", Дизайн: нанесение лого,500 (мин),"11,1",998,35-40,"12,6","1132,2",25-30,9 140,5,15-17,,,,,,
 ,Беспроводное зарядное устройство,"Материал: пластик, электроника
Размер: 10 х 0.8 х 0.8 см
Упаковка: цветная
Характеристики:
- Входной разъем: USB-C  
- Входное напряжение: 5V/2A; 9V/2A  
- Выходная мощность: 5W / 7.5W / 10W / 15W  
- КПД зарядки: ≥73%  
- поддерживает Apple, Samsung, Xiaomi и тд", Дизайн: нанесение лого шелкографией,13 371,"7,2","653,5",40-45,"7,6","692,2",30-35,9 350,7,17-19,,,,,,
,,,,1940,"7,6","686,2",,"8,0","721,4",,,,,,,,,,
,,,,970,"7,9","713,4",,"8,3","748,6",,,,,,,,,,
,,,,461,"8,2","741,6",,"8,6","776,9",,,,,,,,,,
