,"Менеджер: Коник Полина Вадимовна
Email: polinakonik@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото,,,,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,,,,,
 ,Бейдж на ленте ,"Материал:  акрил, рамка  силиконовая
Размер: 107х76мм, размер карточки  - 85х54мм
Упаковка:  пакет 
Примечание от фабрики:  цвет бейджа - фабричный "," Дизайн:  выкрас ленты по пантону, наесение лого на ленту ",700,"1,8","194,2",37-42,"2,0","214,1",27-32,6 305,5,10-12,,,,,,
,Бейдж без ленты ,,Без брендирования ,700,"1,3","139,2",,"1,5","159,0",,,,,,,,,,
,,,"Лого на бейдже, цветное ",700,"1,5","160,6",,"1,7","180,4",,,,,,,,,,
,Бейдж на ленте ,"Материал:  пластик, рамка - pp
Размер: 110х69мм, размер карточки  - 85х54мм
Упаковка:  пакет 
Примечание от фабрики:  цвет бейджа - фабричный "," Дизайн:  выкрас ленты по пантону, наесение лого на ленту ",700,"3,7","381,4",37-42,"4,8","493,7",27-32,6 470,5,10-12,,,,,,
,Бейдж без ленты ,,Без брендирования ,700,"0,7","78,0",35-40,"0,9","97,8",25-30,,,,,,,,,
,Бейдж без ленты ,"Материал:  abs
Размер: 110х70мм, размер карточки  - 85х54мм
Упаковка:  пакет 
", Дизайн:  цветное лого на одной стороне  ,700,"1,0","102,3",37-42,"1,1","111,3",27-32,6 510,5,10-12,,,,,,
,,, Дизайн:  полная запечатка ,700,"1,3","135,9",,"1,4","145,0",,,,,,,,,,
,Ремувка ,"Материал:  ткань, pvc
Размер: 19х3 см,
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  цвет ленты только приближенный, наесение лого 3 цвета  на pvc  часть  ",700,"1,2","131,0",40-45 ,"1,3","141,2",35-40 ,8 812,5,10-12,,,,,,
,,с металл подвесом в виде лого клиента ,,700,"2,4","253,4",45-50 ,"2,5","263,6",35-40 ,10 288,5,10-12,,,,,,
,Ремувка ,"Материал:  ткань, pvc
Размер: 19х3 см,
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  цвет ленты только приближенный, наесение лого 3 цвета  на pvc  часть",700,"1,3","137,2",40-45 ,"1,4","147,4",35-40 ,8 812,5,10-12,,,,,,
,,,с металл подвесом в виде лого клиента ,700,"2,6","274,8",40-45 ,"2,7","285,0",35-40 ,10 288,7,10-12,,,,,,
,Ремувка ,"Материал:  ткань, металлическая пряжка 
Размер: 19х3 см,
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас ленты по пантону,  лого 2-3 цвета  ",700,"1,9","200,8",50-55 ,"2,0","216,7",40-45 ,6 435,5,10-12,,,,,,
,,,плюс металл подвес с лого клиента ,700,2.76,"292,5",50-55 ,"2,9","308,4",40-45 ,,,,,,,,,
,Ремувка ,"Материал:  полиэстер 
Размер:  13*3
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас в пантое, лого  2-3 цвета ",700,"1,3","138,1",50-55 ,"1,4","144,9",40-45 ,6 347,5,10-12,,,,,,
,,,плюс металл подвес с лого клиента ,700,"2,2","229,9",50-55 ,"2,2","236,7",40-45 ,,,,,,,,,
,Лента,"Материал:  полиэстер, металл черная матовая фурнитура
Размер:  длина 90см, ширина 3,5см
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас в пантон, цветное лого",700,"2,2","231,4",50-55 ,"2,3","247,2",40-45 ,10 324,10,10-12,,,,,,
,,,цена с металл подвес с лого клиента ,700,"3,1","323,1",50-55 ,"3,2","339,0",40-45 ,21 658,12,10-12,,,,,,
,,"длина 110-120см, ширина 3,5см ( металл черная матовая фурнитура
"," Дизайн:  выкрас в пантон, цветное лого",900,"2,4","252,8",50-55,"2,5","268,6",40-45 ,10 324,10,10-12,,,,,,
,,"длина 110-120см, ширина 3,5см ( металл черная матовая фурнитура
"," Дизайн:  выкрас в пантон, цветное лого",700,"2,4","258,9",50-55,"2,59","274,8",40-45 ,10 324,10,10-12,,"2,870588235","304,5882353",,"3,047058824","323,2470588"
,Шнурок-брелок,"Материал:  полиэстер 
Размер: длина 120см
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас в пантон, лого бирка  ",700,"2,2","228,3",40-45 ,"2,3","244,7",30-35,6 435,5,10-12,,,,,,
,,,"Дизайн:  выкрас в пантон, лого  - метлл подвес ",700,"2,7","286,4",48-52,"2,9","302,8",38-42,16 657,12,10-12,,,,,,
,Шнурок-брелок,"Материал:  полиэстер 
Размер: длина 120см
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас в пантон, лого бирка  ",700,"2,3","243,6",40-45 ,"2,5","260,0",30-35,6 435,5,10-12,,,,,,
,,,"Дизайн:  выкрас в пантон, лого  - метлл подвес ",700,"2,8","292,5",48-52,"2,9","309,0",38-42,16 657,12,10-12,,,,,,
,Шнурок-брелок,"Материал:  полиэстер 
Размер: длина 19см
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  выкрас в пантон, лого бирка  ",700,"1,2","125,3",40-45 ,"1,3","133,8",30-35,6 435,5,10-12,,,,,,
,,,"Дизайн:  выкрас в пантон, лого  - метлл подвес ",,"1,6","174,2",48-52,"1,7","182,7",38-42,16 657,12,10-12,,,,,,
,Шоппер ,"Материал:  парусина
Размер:  35*40
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн:  цвет ручек по карте цветов фабрики, цветное лого ",700,"3,8","399,2",40-45,"4,7","496,9",30-35,6 834,7,10-12,,,,,,
,,," Дизайн: выкрас сумки по цветам от фабрики, лого 3 цвета,   цвет ручек по карте цветов фабрики",700,"5,8","611,9",40-45,"7,3","774,1",30-35,7 158,5,10-12,,,,,,
,Шоппер ,"Материал:  парусина
Размер:  35*40
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн: цвет ручек белый, цветное лого",700,"3,9","414,5",40-45,"4,8","512,2",30-35,6 834,7,10-12,,,,,,
,Шоппер ,"Материал:  парусина
Размер:  40x35x10
Упаковка:  пакет 
Примечание от фабрики:  "," Дизайн: цветное лого, цвет ручек  -белый",700,"5,0","527,1",40-45,"6,3","662,4",30-35,6 834,7,10-12,,,,,,
,Бейдж без ленты ,"Материал:  акрил, силикон 
Размер: 110х70мм, размер карточки  - 85х54мм
Упаковка:  пакет 
",Дизайн:  лого 2-3 цвета ,700,"2,4","258,4",37-42,"2,5","268,8",27-32,6 510,,10-12,,,,,,
