 ,"Менеджер: 
Email: 
Телефон: ",,"Эмина Арина Ильинична
arinae@megamind.ru
+7 (918) 370-96-97",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Падел 1,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно), чехол - ткань Оксфорд 
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: чехол 
Примечание от фабрики:
*в стоимость не включен мячик
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета) от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор 
- чехол: фабричный из наличия",300,"44,9","3948,6","1 184 583,00",90-95,"48,7","4286,1","1 285 830,00",80-85,24 500,30,40-42,
,,,,400,"44,4","3909,1","1 563 640,00",,"48,2","4243,2","1 697 280,00",,,,,
,Падел 1 ракетка ,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно)
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: пакет 
Примечание от фабрики:
*в стоимость не включен мячик, чехол 
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета)  от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки белый\черный + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор белый черный  
",300,"43,9","3686,5","1 105 947,00",90-95,"47,8","4012,3","1 203 693,00",80-85,24 500,30,40-42,
,,,,400,"42,6","3581,2","1 432 464,00",,"46,4","3897,7","1 559 072,00",,,,,
 ,Падел 1 + кастомный чехол,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно), чехол - ткань Оксфорд 
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: чехол 
Примечание от фабрики:
*в стоимость не включен мячик
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета) от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор 
- чехол: цвет материала на выбор (цвет близкий к пантону), уф печать лого, 1 цвет с одной стороны",300,"46,4","4079,6","1 223 880,00",95-100,"50,2","4417,0","1 325 100,00",85-90,33 500,30,40-42,
,,,,400,"45,9","4038,8","1 615 520,00",,"49,7","4372,8","1 749 120,00",,,,,
 ,Падел 2,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно), чехол - ткань Оксфорд 
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: чехол 
Примечание от фабрики:
*в стоимость не включен мячик
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета) от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор 
- чехол: фабричный из наличия",300,"41,2","3622,7","1 086 810,00",90-95,"44,9","3954,3","1 186 290,00",80-85,24 500,30,40-42,
,,,,400,"40,8","3586,6","1 434 640,00",,"44,5","3914,8","1 565 920,00",,,,,
 ,Падел 2 + кастомный чехол,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно), чехол - ткань Оксфорд 
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: чехол 
Примечание от фабрики:
*в стоимость не включен мячик
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета) от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор 
- чехол: цвет материала на выбор (цвет близкий к пантону), уф печать лого, 1 цвет с одной стороны",300,"42,6","3751,4","1 125 420,00",95-100,"46,4","4083,0","1 224 900,00",85-90,33 500,30,40-42,
