,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"""Вертушка""","Материал: полипропиллен
Размер: 160 мм х 160 мм
Упаковка: OPP-пакетик
Примечание от фабрики: контурная резка по линиям, палка держатель 250 -300 м, палка из полипропиллена, фабрика отмечает, что полипропиллен прочнее", Дизайн: печать 4+4 по ТЗ,10000,"0,2","26,6",44-49,,,,8 500,5,15-17,
,,,,20000,"0,2","24,5",,,,,,,,
,,,,30000,"0,2","22,6",,,,,,,,
 ,"""Вертушка""","Материал: картон
Размер: 160 мм х 160 мм
Упаковка: OPP-пакетик
Примечание от фабрики: контурная резка по линиям, палка держатель 250 -300 м, палка из полипропиллена, фабрика отмечает, что картон не такой прочный, может легко порваться", Дизайн: печать на картоне 4+4 по ТЗ,10000,"0,1","11,5",44-49,,,,8 500,5,15-17,
,,,,20000,"0,1","11,1",,,,,,,,
,,,,30000,"0,1","10,7",,,,,,,,
 ,"""Крылья""","Материал: картон
Размер: 178 мм х 400 мм
Упаковка: OPP-пакетик
Примечание от фабрики: вырубка контура, эластичный шнур длинна 300 мм диаметр 3 мм, отверстия для шнура сделают", Дизайн: печать на мелованном картоне 4+4,10000,"0,6","64,6",45-50,,,,11 500,5,15-17,
,,,,20000,"0,6","59,6",,,,,,,,
,,,,30000,"0,5","54,9",,,,,,,,
"Аналоги ""Вертушек"" другая фабрика",,,,,,,,,,,,,,
 ,"""Вертушка""","Материал: полипропиллен
Размер: 160 мм х 160 мм
Упаковка: OPP-пакетик
Примечание от фабрики: контурная резка по линиям, палка держатель 250 -300 м, палка из полипропиллена, фабрика отмечает, что полипропиллен прочнее", Дизайн: печать 4+4 по ТЗ,10000,"0,2","24,4",55-60,,,,27 000,9,19-21,
,,,,20000,"0,2","23,6",,,,,,,,
,,,,30000,"0,2","22,9",,,,,,,,
