,"Менеджер: Коник Полина Вадимовна
Email: polinakonik@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Пауэрбанк 5000 мАч,"Материал: пластиковый корпус
Размер: 91*64*12 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"6,0","630,8",35-40,"6,4","682,4",25-30,4 500,3,13-15,
,,,,300,"5,8","619,5",,"6,3","671,0",,,,,
,,,,500,"5,7","598,9",,"6,1","650,4",,,,,
,,,,1000,"5,5","584,9",,"6,0","636,5",,,,,
 ,Пауэрбанк 10000 мАч,"Материал: пластиковый корпус
Размер: 91*64*22 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"10,0","1064,5",35-40,"10,7","1129,8",25-30,4 500,3,13-15,
,,,,300,"9,7","1022,8",,"10,3","1086,2",,,,,
,,,,500,"9,3","990,5",,"9,9","1052,0",,,,,
,,,,1000,"9,1","958,9",,"9,6","1018,6",,,,,
 ,Пауэрбанк 10000 мАч,"Функция быстрой зарядки
Материал: кожзам
Размер: 79*79*23 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: минимальный тираж для нанесения 300 шт.", Дизайн: нанесение логотипа двух цветов на 1 стороне,300,"7,8","823,0",35-40,"8,6","910,3",25-30,4 800,3,13-15,
,,,,500,"7,5","796,6",40-45,"8,3","881,3",30-35,,,,
,,,,1000,"7,1","756,5",40-45,"7,9","838,6",30-35,,,,
 ,Пауэрбанк 5000 мАч,"Встроенные кабели
Фонарик
Удобный силиконовый ремешок для переноски
Материал: пластиковый корпус
Размер: 80*80*22,5 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"6,9","727,3",30-35,"7,7","814,6",20-25,3 500,2,12-14,
,,,,300,"6,8","716,0",,"7,6","803,2",,,,,
,,,,500,"6,4","683,1",,"7,3","770,4",,,,,
,,,,1000,"6,1","650,9",,"7,0","738,1",,,,,
 ,Пауэрбанк 10000 мАч,"Встроенные кабели
Фонарик
Удобный силиконовый ремешок для переноски
Материал: пластиковый корпус
Размер: 80*80*22,5 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"8,0","849,2",30-35,"9,0","948,3",20-25,3 500,2,12-14,
,,,,300,"7,9","837,9",,"8,8","937,0",,,,,
,,,,500,"7,4","781,4",,"8,3","877,6",,,,,
,,,,1000,"6,9","727,3",,"7,7","820,6",,,,,
 ,Пауэрбанк 5000 мАч,"Встроенные кабели
Фонарик
Удобный силиконовый ремешок для переноски
Материал: пластиковый корпус
Размер: 103*68*26 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"6,7","707,2",30-35,"7,4","786,5",20-25,4 700,2,12-14,
,,,,300,"6,0","634,7",,"6,7","714,0",,,,,
,,,,500,"6,0","632,5",,"6,7","711,8",,,,,
,,,,1000,"6,0","630,8",,"6,7","710,1",,,,,
 ,Пауэрбанк 10000 мАч,"Встроенные кабели
Фонарик
Удобный силиконовый ремешок для переноски
Материал: пластиковый корпус
Размер: 103*68*26 мм
Упаковка: белая коробка
Комплектация: зарядный шнур
Примечание от фабрики: ", Дизайн: нанесение логотипа двух цветов на 1 стороне,100,"8,0","849,7",30-35,"8,8","936,9",20-25,4 700,2,12-14,
,,,,300,"7,3","777,2",,"8,2","864,4",,,,,
,,,,500,"7,1","752,1",,"7,9","836,8",,,,,
,,,,1000,"6,9","727,7",,"7,6","809,8",,,,,
