,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Доп коммент ,Кастом,"Тираж, шт",Доставка Долгое ЖД,,,Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Футболка,"Материал: 95% хлопок, 5% эластан, 180 гр
Размер: универсальный
Упаковка: индивидуальный пакет
Примечание от фабрики: из-за высокой загруженности фабрики, сроки производства тиража могут быть скорректированы",Максимально оптимизированная цена ," Дизайн: нанесение логотипа флекстраном и объемная печать как на фото
на груди: 6*10 см
на спине: 30*34 см",10 000,"9,91","992,68",65-70,"11,29","1 117,57",60-65,"11,95","1 182,91",50-55,"25 800,00",22-25,
,,,,,50 000,"9,45","947,33",,"9,72","962,69",,"10,38","1 028,03",,,,
,,,,,100 000,"9,09","910,93",,"9,35","925,42",,"9,98","988,34",,,,
 ,Футболка,"Материал: 95% хлопок, 5% эластан, 180 гр
Размер: универсальный
Упаковка: индивидуальный пакет
Примечание от фабрики: из-за высокой загруженности фабрики, сроки производства тиража могут быть скорректированы",Максимально оптимизированная цена , Дизайн: нанесение логотипа на груди вышивка/шелкография 1-2 цвета 15*15 см,10 000,"9,45","946,76",65-70,"10,83","1 085,04",60-65,"11,49","1 151,17",50-55,"25 800,00",22-25,
,,,,,50 000,"9,00","901,41",,"9,31","932,66",,"9,97","998,79",,,,
,,,,,100 000,"8,65","866,71",,"8,95","896,49",,"9,58","960,17",,,,
 ,Футболка,"Материал: 95% хлопок, 5% эластан, 160 гр
Размер: универсальный
Упаковка: индивидуальный пакет
Примечание от фабрики: 
Фабрика с розовой футболкой",Максимально оптимизированная цена ," Дизайн: нанесение логотипа флекстраном и объемная печать как на фото
на груди: 6*10 см
на спине: 30*34 см",10 000,"10,40","1 041,75",65-70,"10,74","1 063,13",60-65,"11,40","1 128,47",50-55,"21 000,00",19-22,
,,,,,50 000,"9,93","995,31",,"10,39","1 028,84",,"11,04","1 092,73",,,,
,,,,,100 000,"9,58","959,57",,"10,22","1 011,94",,"10,86","1 074,86",,,,
,Футболка,"Материал: 100% хлопок, 220 гр
Размер: 
S,M,L,XL,XXL,XXXL,XXXXL, 5XL,6XL,7XL
Упаковка: индивидуальный пакет
Примечание от фабрики: ",,Дизайн: нанесение логотипа по методу шелкографии 5*5 см,10 000,"5,72","572,74",45-50,"7,05","706,41",40-45,"7,67","768,21",30-35,"7 000,00",15-18,
,,,,,50 000,"5,38","538,88",55-60,"6,71","672,54",50-55,"7,33","734,34",40-45,,,
,,,,,100 000,"4,72","473,39",75-80,"6,01","602,10",70-75,"6,60","661,62",60-65,,,
,Футболка,"Материал: 25% хлопок, 75% полиэстер
Размер: 
S,M,L,XL,XXL,XXXL,XXXXL, 5XL
Упаковка: индивидуальный пакет
Примечание от фабрики: ",,Дизайн: нанесение логотипа по методу шелкографии 5*5 см,10 000,"3,71","371,41",40-45,"4,70","470,97",35-40,"5,18","518,58",25-30,"7 000,00",15-18,
,,,,,50 000,"3,39","339,84",50-55,"4,39","439,40",45-50,"4,86","487,01",35-40,,,
,,,,,100 000,"3,05","306,04",60-65,"4,01","401,91",55-60,"4,47","447,76",45-50,,,
 ,Футболка,"Материал: 100% хлопок, 180 гр
Размер: европейский
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Могут нанести только небольшой логотип по методу флекстран",," Дизайн: нанесение логотипа на груди небольшого размера флекстран 1 цвет 5*5 см
",10 000,"6,17","618,66",40-45,"7,51","752,33",35-40,"8,13","814,13",25-30,"25 800,00",22-25,
,,,,,50 000,"5,93","594,25",50-55,"7,23","724,94",45-50,"7,84","785,37",35-40,,,
,,,,,100 000,"5,83","583,93",60-65,"7,11","712,65",55-60,"7,71","772,16",45-50,,,
 ,Футболка,"Материал: 100% хлопок, 180 гр
Размер: европейский
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения",, Дизайн: нанесение логотипа на груди небольшого размера вышивка 1 цвет 5*5 см,10 000,"5,72","572,74",40-45,"7,05","706,41",35-40,"7,67","768,21",25-30,"25 800,00",22-25,
,,,,,50 000,"5,48","549,35",50-55,"6,79","680,04",45-50,"7,39","740,47",35-40,,,
,,,,,100 000,"5,39","539,72",60-65,"6,67","668,43",55-60,"7,26","727,94",45-50,,,
 ,Футболка,"Материал: 100% хлопок, 180 гр
Размер: европейский
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения",, Дизайн: нанесение логотипа на груди небольшого размера шелкография 1 цвет 5*5 см,10 000,"5,26","526,83",40-45,"6,59","660,49",35-40,"7,21","722,29",25-30,"25 800,00",22-25,
,,,,,50 000,"5,15","515,92",50-55,"6,48","649,58",45-50,"7,10","711,38",35-40,,,
,,,,,100 000,"4,95","495,50",60-65,"6,23","624,21",55-60,"6,82","683,72",45-50,,,
 ,Флисовое худи,"Материал: 300 гр двусторонний флис, 100% полиэстер
Размер: S,M,L,XL,2XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Фабрика делает только вышивку/бирки, не делают нанесение",, Дизайн: вышивка логотипа на груди небольшого размера 1-2 цвета 5*5 см,10 000,"18,78","1 881,28",45-50,"24,50","2 454,83",40-45,"26,88","2 692,90",30-35,"11 300,00",25-30,
,,,,,50 000,"16,71","1 674,74",65-70,"22,23","2 227,04",60-65,"24,51","2 456,30",50-55,,,
,,,,,100 000,"15,39","1 541,63",90-95,"20,90","2 093,93",85-90,"23,19","2 323,19",75-80,,,
 ,Худи с капюшоном на молнии с начесом,"Материал: 340 гр, 34% хлопок, 66% полиэстер
Размер: S,M,L,XL,2XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Фабрика делает только вышивку/бирки, не делают нанесение",, Дизайн: вышивка логотипа на груди небольшого размера 1-2 цвета 5*5 см,10 000,"22,44","2 248,62",45-50,"28,17","2 822,17",40-45,"30,54","3 060,24",30-35,"11 300,00",25-30,
