,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото,
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",,
,Плед,"Материал: полиэфирное волокно
Размер готового изделия: 100*140 см
Упаковка: индивидуальный пакет, возможна красивая коробка (фото приложено)


", Дизайн: изготовление по макету клиента с лого Вертолетного холдинга,5000,"19,8","1985,0",55-60 кд,,,,"14 137,00",17-23 кд ,,https://detail.1688.com/offer/706385988836.html?spm=a26352.b28411319.offerlist.48.5a671e62vLR2sR
,,,,10000,"19,8","1985,0",,,,,,,,
 ,набор ручка+флешка 1,"Материал: металл, ABS пластик, картон, полипропилен
Размер: 18,5*8*3,5 см
Упаковка: OPP-пакетик
Примечание от фабрики: миним тираж 100 шт, чернила ручки черные, фабрика может сделать синие"," Дизайн: лазерная гравировка на ручке и флешке, печать на коробке, нанесение лого с двух сторон каждого изделия",500,"15,9","1650,6",47-57 кд,,,,"17 150,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),,
,,,,,,,,,,,,,,
 ,набор ручка+флешка 2,"Материал: металл, ABS пластик, картон, полипропилен 
Размер: 18,5*8*3,5 см 
Упаковка: OPP-пакетик 
Примечание от фабрики: миним тираж 100 шт, чернила ручки черные, фабрика может сделать синие"," Дизайн: лазерная гравировка на ручке и флешке, печать на коробке, нанесение лого с двух сторон каждого изделия",500,"14,7","1528,5",42-52 кд,,,,"9 000,00",5-7 кд (фото и видео); 12-14 кд (отправка в Москву),,
 ,Беспроводная мульти-зарядка для нескольких устройств,"Материал: цинковый сплав +АБС+акрил
Размер: 184*113*65 мм
Упаковка: заводская упаковка
Входные параметры: 9В 2А
Выходные параметры: 5 Вт/7,5 Вт/10 Вт/15 Вт
Способ интерфейса: Тип-C/USB
Эффективность преобразования: ≤72%
Индукционное расстояние: 2-10 мм", Дизайн: лазерная гравировка,500,"19,3","1964,4",50-55 кд,,,,"12 500,00",8-10 кд (фото и видео); 12-14 кд (отправка в Москву),,
,чехол для планшета\папка для документов,"Материал: дюпон
Размер: 22,5*16 см
Упаковка: фабричная упаковка
",Дизайн: лого 1 цвет,500,"5,9","608,9",50-55 кд,,,,"11 000,00",10-12 кд (фото и видео); 12-14 кд (доставка в Москву),,
 ,Чехол для ноутбука,"Материал: Новое фетровое химическое волокно
Размер: диагональ 11,13,15
Упаковка: заводская упаковка


Кошелек + 100 рублей (в стоимость не включено)

", Дизайн: нанесение 1 цвет,500,"6,5","684,7",50-55 кд,,,,"17 500,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,
,Пробковая ручка,"Материал: пробка, пластик
Размер: 14 см
Упаковка: фабричная упаковка
",Дизайн: шелкография 1 цвет,500,"1,3","133,4",50-55 кд,,,,"10 000,00",6-8 кд (фото и видео); 12-14 кд (доставка в Москву),,
,Ежедневник,"Материал: пробка
Размер: A5
Упаковка: фабричная упаковка
Примечание от фабрики: Есть крепление для ручки.",Дизайн: лого 1 цвет,500,"8,3","866,1",60-65 кд,,,,"18 000,00",10-12 кд (фото и видео); 12-14 кд (доставка в Москву),,
 ,"Набор для барбекю
18 предметов","Материал: Нержавеющая сталь
Размер: 39*15*5 см
Упаковка: заводская упаковка




", Дизайн: нанесение 1 цвет,500,"21,0","2221,3",55-60 кд,,,,"15 000,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,
 ,"Набор для барбекю
 9 предметов","Материал: Нержавеющая сталь
Размер: 39*15*5 см
Упаковка: заводская упаковка




", Дизайн: нанесение 1 цвет,500,"18,7","1988,5",55-60 кд,,,,"15 000,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,
 ,"""Умная"" термокружка с LED дисплеем","Материал: Нержавеющая сталь
Объем: 500 мл. 
Упаковка: заводская упаковка (картонная коробка)




"," Дизайн: серия смарт-дисплеев,  нанесение софт тач краски с лого клиента (цвета в ассортименте), учтено в стоимости",500,"6,6","664,9",40-50 кд,,,,"6 881,84","
15-17 кд доставка в Мск",,https://detail.1688.com/offer/594208233163.html?spm=a26352.b28411319.offerlist.1.305e1e62eLXS18&cosite=-&tracelog=p4p&_p_isad=1&clickid=f7168fd5166747c3a05a46dfe4d07b50&sessionid=f0d84d0447b1a13529ebe8875cd28aa6
,зонт ,"Материал: нейлон, аллюминий 
Размер: 15 см
Упаковка: белая коробка
Примечание от фабрики: выкрас в пантон 871U, 872U, 873U на выбор, полный автомат. Стержень и спицы зонтика сделан из железа. Толщина купола зонтика составляет 210T (""T"" обычно относится к денситету ткани). Стержень зонтика складывается в 5 раз. Купол зонтика выполнен из черной композитной ткани с покрытием (материал, который обеспечивает защиту от солнца и дождя).","Дизайн: нанесение лого на клинья, хлястик, чехол (учтено в стоимости)",500,"7,2","737,3",72-82 кд,,,,"9 000,00",10-12 кд (фото и видео); 12-14 (доставка в Москву),,
 ,магнитный зарядный аккумулятор ,"Материал: ABS, поликарбонат, магниты
Размер:105.5*67.5*22mm
Упаковка: индивидуальная заводская упаковка
Примечание от фабрики: лого можно нанести на переднюю, заднюю или боковую часть (учтено в стоимости), 5000 мА/ч, вход TYPE-C: 5 В/3 А, 9 В/2 А
Проводной выход TYPE-C: 20 Вт
Выход TYPE-C - PD 5В/3А 9В/2,2А 12В/1,67А
Беспроводная зарядка QI 15 Вт/10 Вт/7,5 Вт/5 Вт", Дизайн: нанесение лого клиента 5*3 (учтено в стоимости),500,"15,4","1552,9",47-57 кд,"16,46","1663,61",37-47 кд,"6 000,00",5-7 кд (фото и видео); 12-14 кд (отправка в Москву),,
,магнитный зарядный аккумулятор +коробка (дизайн по макету клиента-включено в стоимость),,,500,"15,9","1596,3",47-57 кд,"16,9","1707,05",37-47 кд,,5-7 кд (фото и видео); 12-14 кд (отправка в Москву),,
 ,магнитный зарядный аккумулятор плоский без подставки,"Материал: ABS, поликарбонат, магниты
Размер: 102*66*14 mm
Упаковка: индивидуальная заводская упаковка 
Примечание от фабрики: лого можно нанести на переднюю, боковую часть (учтено в стоимости), 5000 мА/ч, вход: 5В3А/9В2А/12В1,5А
Выходная мощность магнитной беспроводной зарядки: 15 Вт/10 Вт/7,5 Вт/5 Вт
Выход USB-порта: QC22,5 Вт Макс.
Выход порта Type-c: PD20W Макс.", Дизайн: нанесение лого клиента 5*3 (учтено в стоимости),500,"16,6","1668,8",55-65 кд,"17,63","1779,46",45-65 кд,"9 000,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),,
 ,бизнес-календарь со стикерами и логотипом,"Материал: пвх, бумага, картон, полиуретан.
Размер: 22*16,8 см
Упаковка: картонная коробка.
Примечание от фабрики: в комплекте идет блокнот, стикеры, дата будет указана как 2025 год, логотип компании может быть размещен в одном месте, прикреплю фото в дополнительных. Выкрас в другие цвета сделать не смогут, но прислали цвета из наличия (также прикреплю в доп фото).", Дизайн: логотип компании,500,"18,4","1914,1",58-68 календарных дней,,,,"13 100,00",15-17 календарных дней (фото и видео); 12-14 календарных дней (отправка в Москву),,
 ,бизнес-органайзер (эко),"Материал: кожа. 
Размер: 24*10*10 см
Упаковка: картонная коробка.
", Дизайн: логотип компании (учтен в стоимости),500,"10,2","1019,7",55-65 кд,,,,"12 600,00",17-22 кд,,https://detail.1688.com/offer/45266924645.html?spm=a26352.b28411319.offerlist.8.52cd1e624QGY75
 ,зонт 10 спиц,"Материал:  ручка - ABS пластик, материал купола из ударопрочной ткани с золотым клеем (ткань, которая обладает ударопрочными свойствами и обработана специальным клеем золотого цвета), спицы и основание - металл, материал для окончания спиц - стекловолокно
Размер: 33*6 см
Упаковка: заводская упаковка
Примечание от фабрики: 10 спиц, 3 сложения, полный автомат"," Дизайн: выкрас купола в золото, нижняя часть светлая (например, белая)+нанесение лого, возможно сделать однотонный купол",500,"9,3","925,1",57-67 кд,,,,"9 000,00",17-19 кд (фото и видео); 12-14 кд (доставка в Москву),,
 ,зонт 5,"Материал: купол - полиэфирное волокно, эпонж; ручка - ABS пластик, спицы и основание - металл, материал для окончания спиц - стекловолокно
Размер: 33 см
Упаковка: заводская упаковка
Примечание от фабрики: 12 усиленных спиц, 3 сложения, полный автомат"," Дизайн: выкрас купола в золото, нижняя часть светлая (например, белая)+нанесение лого, возможно сделать однотонный купол",10000,"8,0","796,6",57-67 кд,,,,"9 000,00",17-19 кд (фото и видео); 12-14 кд (доставка в Москву),,
 ,зонт 6,"Материал: купол - полиэфирное волокно, эпонж; ручка - ABS пластик, спицы и основание - металл, материал для окончания спиц - стекловолокно
Размер: 30 см
Упаковка: заводская упаковка
Примечание от фабрики: 8 усиленных спиц, 3 сложения, полный автомат"," Дизайн: выкрас купола в золото, нижняя часть светлая (например, белая)+нанесение лого, возможно сделать однотонный купол",10000,"11,9","1182,1",72-82 кд,,,,"9 000,00",9-11 кд (фото и видео); 12-14 кд (доставка в Москву),,
 ,бизнес-органайзер (эко),"Материал: кожа. 
Размер: 35*25*10 см
Упаковка: картонная коробка.
Примечание от фабрики: набор состоит из 3 элементов: бювар, подставка для бумаги и подставка для канцелярских принадлежностей", Дизайн: логотип компании (учтен в стоимости),500,"10,0","997,0",50-60 кд,,,,"19 332,70",17-22кд,,https://detail.1688.com/offer/792395468162.html?spm=a26352.b28411319.offerlist.112.52cd1e624QGY75
