,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Шахматы,"Материал: кожзам
Размер: 30*55 см (в развороте), диаметр кармана для хранения фишек - 6 см
Упаковка: OPP пакет + белая картонная коробка
Примечание от фабрики: 
в наборе пластиковые круглые фишки (белый + черный)","Дизайн: 
Снаружи кожзам под номером 20, внутри - 24
Уф-печать поля
",300,"31,3","3140,1",60-65,"33,33","3339,43",50-55,"22 000,00",17-19,
,,,,500,"29,87","2993,31",,"31,86","3192,61",,,,
,,,,1000,"28,13","2818,14",,"30,11","3017,44",,,,
 ,Нарды,"Материал: кожзам
Размер: 30*55 см (в развороте), диаметр кармана для хранения фишек - 3 см
Упаковка: OPP пакет + белая картонная коробка
Примечание от фабрики: 
в наборе пластиковые круглые фишки (белый + черный)","Дизайн: 
Снаружи кожзам под номером 20, внутри - 24
Поле: уф-печать/аппликация из кожзама цветов 20 и 21 ",300,"31,3","3140,1",60-65,"33,33","3339,43",50-55,"22 000,00",17-19,
,,,,500,"29,87","2993,31",,"31,86","3192,61",,,,
,,,,1000,"28,13","2818,14",,"30,11","3017,44",,,,
Перерасчет 25.11,,,,,,,,,,,,,
 ,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 5 см
Упаковка: OPP пакет + белая коробка
Примечание от фабрики: 
*посчитана стоимость набора без фишек (чисто кожа и нанесение)","Дизайн: 
- Снаружи кожзам под номером 28, внутри - 29
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"26,4","2749,7",60-65,"27,94","2905,26",50-55,"22 000,00",17-19,
,,,,500,"24,66","2564,36",,"26,15","2719,95",,,,
,,,,1000,"23,08","2400,62",,"24,58","2556,21",,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 3 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора без фишек (чисто кожа и нанесение)","Дизайн: 
- Снаружи кожзам под номером 28 внутри - 29
- Поле: уф-печать/аппликация из кожзама цветов 28 и 21 
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"26,7","2771,9",60-65,"28,06","2917,77",50-55,"22 000,00",17-19,
,,,,500,"25,04","2604,61",,"26,45","2750,47",,,,
,,,,1000,"23,47","2440,86",,"24,87","2586,72",,,,
,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 5 см
Упаковка: OPP пакет + белая коробка
Примечание от фабрики: 
*посчитана стоимость набора c фишками из наличия (черно-белые, без выкраса или нанесения логотипа, круглые)
*можно черные фишки заменить на коричневые из наличия, стоимость будет та же ","Дизайн: 
- Снаружи кожзам под номером 28, внутри - 29
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"25,8","2684,9",60-65,"27,22","2830,75",50-55,"22 000,00",17-19,
,,,,500,"25,39","2640,61",,"26,79","2786,47",,,,
,,,,1000,"24,22","2518,88",,"25,62","2664,74",,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 3 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора c фишками из наличия (черно-белые, без выкраса или нанесения логотипа, круглые)
*можно черные фишки заменить на коричневые из наличия, стоимость будет та же ","Дизайн: 
- Снаружи кожзам под номером 28 внутри - 29
- Поле: уф-печать/аппликация из кожзама цветов 28 и 21 
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"25,4","2642,9",60-65,"26,81","2788,74",50-55,"22 000,00",17-19,
,,,,500,"24,81","2580,6",,"26,22","2726,46",,,,
,,,,1000,"23,64","2458,87",,"25,05","2604,73",,,,
,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 5 см
Упаковка: OPP пакет + белая коробка
Примечание от фабрики: 
*посчитана стоимость набора c перламутровыми фишками без лого 
","Дизайн: 
- Снаружи кожзам под номером 28, внутри - 29
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"33,2","3447,1",60-65,"34,55","3592,94",50-55,"22 000,00",17-19,
,,,,500,"31,19","3243,77",,"32,59","3389,63",,,,
,,,,1000,"29,47","3065,02",,"30,87","3210,88",,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 3 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора c перламутровыми фишками без лого ","Дизайн: 
- Снаружи кожзам под номером 28 внутри - 29
- Поле: уф-печать/аппликация из кожзама цветов 28 и 21 
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"33,6","3489,1",60-65,"34,95","3634,95",50-55,"22 000,00",17-19,
,,,,500,"31,77","3303,78",,"33,17","3449,64",,,,
,,,,1000,"30,05","3125,04",,"31,45",,,,,
,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 5 см
Упаковка: OPP пакет + белая коробка
Примечание от фабрики: 
*посчитана стоимость набора c перламутровыми фишками с лого 
","Дизайн: 
- Снаружи кожзам под номером 28, внутри - 29
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"36,9","3840,2",60-65,"38,33","3986,04",50-55,"22 000,00",17-19,
,,,,500,"34,88","3627,86",,"36,29","3773,72",,,,
,,,,1000,"32,41","3371,1",,"33,82","3516,96",,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте), диаметр кармана для хранения фишек - 3 см
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора c перламутровыми фишками с лого ","Дизайн: 
- Снаружи кожзам под номером 28 внутри - 29
- Поле: уф-печать/аппликация из кожзама цветов 28 и 21 
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"37,3","3882,2",60-65,"38,73","4028,05",50-55,"22 000,00",17-19,
,,,,500,"35,46","3687,88",,"36,86","3833,74",,,,
,,,,1000,"32,99","3431,11",,"34,39","3576,97",,,,
Перерасчет 11.12,,,,,,,,,,,,,
 ,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора со стандартными фигурами - 32 шт","Дизайн: 
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"22,3","2362,3",60-65,"24,95","2644,44",50-55,"22 000,00",17-19,
,,,,500,"21,14","2240,6",,"23,8","2522,77",,,,
,,,,1000,"19,62","2080,08",,"22,29","2362,25",,,,
 ,Шахматы,"Материал: кожзам
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора с фигурами своего цвета (настройка цвета) - 32 шт","Дизайн: 
- Уф-печать поля
- Тиснение лого на боковых частях карманов и на кожаных язычках",300,"25,6","2711,7",65-70,28,"2968,23",55-60,"22 000,00",20-22,
,,,,500,"24,21","2566,56",,"26,63","2823,08",,,,
,,,,1000,"21,86",2317,,"24,28","2573,52",,,,
,,,,,,,,,,,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора со стандартными фишками (черный/белый) - 30 фишек, 5 кубиков","Дизайн: 
- Поле: уф-печать
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"22,3","2362,3",60-65,"24,95","2644,44",50-55,"22 000,00",17-19,
,,,,500,"21,14","2240,6",,"23,8","2522,77",,,,
,,,,1000,"20,37","2159,24",,"23,03","2441,41",,,,
,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора со стандартными фишками своего цвета - 30 фишек, 5 кубиков","Дизайн: 
- Поле: уф-печать
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"23,0","2441,4",65-70,"25,69","2723,6",55-60,"22 000,00",17-19,
,,,,500,"21,88","2319,76",,"24,55","2601,93",,,,
,,,,1000,"21,12","2238,4",,"23,78","2520,57",,,,
 ,Нарды,"Материал: кожзам
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора с перламутровыми фишками в пантон (и кубики) - 30 фишек, 5 кубиков","Дизайн: 
- Поле: уф-печать
- Тиснение лого на боковых частях кармана и на кожаном язычке",300,"35,1","3721,6",65-70,"37,17","3939,68",55-60,"22 000,00",17-19,
,,,,500,"33,24","3523,63",,"35,3","3741,67",,,,
,,,,1000,"30,74","3258,9",,"32,8","3476,94",,,,
