,"Менеджер: Соколова Милана
Email: milanas@megamind.ru
Телефон: +8 (925) 621-75-43
",,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,Страна,"Тираж, шт",Доставка Международная,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Ароматизированная подвеска в автомобиль,"Материал: картон
Размер: 9см
Упаковка: прозрачный пакет
Примечание от фабрики: ", Дизайн: цветная цифровая печать с двух сторон ,Сербия,500,"3,3","379,0","Производство: 25
Доставка: 15-25",,,,"8 700,00","Фото/видео: 6-7 календ.дней
Доставка: 12-14 календ.дней",
,,,,Молдова,1000,"3,16",359,"Производство: 25
Доставка: 15-25",,,,,,
,,,,РБ,8000,"0,44",48,"Производство: 25
Доставка: 20",,,,,,
,,,,Грузия,6000,"0,56",62,"Производство: 25
Доставка: 25",,,,,,
,,,,Армения,8000,"0,49",53,"Производство: 25
Доставка: 20-25",,,,,,
,,,,Казахстан,4800,"0,47",52,"Производство: 25
Доставка: 15-20",,,,,,
,,,,Узбекистан,5000,"0,95",106,"Производство: 25
Доставка: 20-30",,,,,,
,,,,КЗ,5000,"0,62",69,"Производство: 25
Доставка: 25-30",,,,,,
,Ароматизированная подвеска в автомобиль,"Материал: картон
Размер: 9см
Упаковка: прозрачный пакет
Примечание от фабрики: ", Дизайн: цветная цифровая печать с двух сторон ,Армения,8000,"0,51","61,0","Производство: 20
Доставка: 20-25",,,,,,
,,,,Казахстан,4800,"0,49","59,0","Производство: 20
Доставка: 15-20",,,,,,
,,,,Узбекистан,5000,"0,97","120,0","Производство: 20
Доставка: 20-30",,,,,,
,,,,КЗ,5000,"0,64","78,0","Производство: 20
Доставка: 25-30",,,,,,
,,,,,,,,,,,,,,
,Ароматизированная подвеска в автомобиль,"Материал: картон
Размер: 9см
Упаковка: прозрачный пакет
Примечание от фабрики: веревочка розового цвета", Дизайн: цветная цифровая печать с двух сторон ,Казахстан,4800,"0,59","66,0","Производство: 15-17
Доставка: 15-20",,,,,,
,,,,Узбекистан,5000,"1,17","133,0","Производство: 15-17
Доставка: 20-30",,,,,,
,,,,КЗ,5000,"0,77","87,0","Производство: 15-17
Доставка: 25-30",,,,,,
