,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Таргет,Доставка ЖД,,,Доставка АВИА,,,,Доставка быстрое АВИА,,,Запуск ,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.",28.07,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.",25.07,"Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Хомут-липучка для проводов,"Материал: нейлон и полиэсьер 
Размер: 5*2,5 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: 2 липучки с нанесением в 1 цвет  и 2 без нанесения ,3300,150,"3,1","265,3",35-40,"3,2","275,1",25-30,,"4,55","387,12",27,21.08,5500 1 шт,5,15-17,
,,"Материал: нейлон и полиэсnер 
Размер: 5*2,5 
Упаковка: инд пакет 
Примечание от фабрики: 
в макет лучше внести пунктиры , чтобы резались липучки  ровно ", Дизайн: 2 липучки с нанесением в 1 цвет ,3300,150,,,,"1,6","132,3",35,01.09,"1,59","134,76",30,24.08,5500 1 шт,5,15-17,
 ,Брелок-кнопка,"Материал: пластик + металл фурнитура 
Размер: 2,4*2*2,7 см
Упаковка: инд пакет 
Примечание от фабрики: выкрас самой кнопки от 5000 шт 
фабричный цвет  в доп фото ", Дизайн: нанесение в 1 цвет ,3300,215,"1,0","84,7",35-40,"1,0","87,9",30-32,,"1,25","106,07",27,21.08,20 000,10,20-22,
,,"Материал: пластик + металл фурнитура 
Размер: 2,4*2*2,7 см
Упаковка: инд пакет 
Примечание от фабрики: выкрас самой кнопки ", Дизайн: нанесение в 1 цвет ,3300,215,,,,"1,6","134,7",35,01.09,"1,8","152,88",27,17.09,25 000,10,20-22,
 ,Пакет - зип-лок,"Материал: eva
Размер: 15*20 см 
Упаковка: 
Примечание от фабрики: ", Дизайн: нанесение в 2 цвета  ,3300,65,"0,5","39,0",40-45,"0,5","44,0",35,01.09,"0,96","81,45",30,24.08,8 500,5,15-17,
 ,Носки,"Материал: хлопок 
Размер: единый 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: 3 цвета в вязке ,3300,55,"1,0","85,1",50-55,"1,1","93,1",40-45,,"1,82","154,79",30,24.08,6 500,7,17-19,
 ,Носки,"Материал: хлопок 
Размер: единый 
Упаковка: инд пакет 
Примечание от фабрики: "," Дизайн: 3 цвета в вязке 
женский 35-39",1000,,,,,"1,3","107,7",45,11.09,,,,21.08,6 500,7,17-19,
,,," Дизайн: 3 цвета в вязке 
мужской 40-44",2250,,,,,"1,2","101,1",45,11.09,,,,24.08,6 500,7,17-19,
