,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото,
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",,
 ,Брелок-кнопка,"Материал:  пластик
Размер: 2*3*9 см
Упаковка: заводская упаковка
Примечание от фабрики: мин тираж 500 шт
Кнопка с подсветкой (цвет подсветки на выбор), внутри каждой кнопки батарейка таблеточного типа
При нажатии издаёт кликающий звук, может использоваться в качестве антистресса и вешаться на ключи в качестве брелока
", Дизайн: печать на клавише по макету клиента,500,"1,8","174,1",45-50 кд,,,,"8 000,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/705760038782.html?spm=a26352.b28411319.offerlist.24.7fc91e62MPZfJv
,,,,1000,"1,6","158,1",,,,,,,,
,Таблетница,"Материал: ПП
Размер: 6.5x6.5x2.1 см
Упаковка: заводская упаковка
Примечание от фабрики: мини-таблетница с 4 отделениями для витамин и лекарств, которые всегда должны быть под рукой. Легкая и компактная она на займёт много места в сумке или рюкзаке. Минималистичный дизайн, многофункциональность", Дизайн: лого 2 цвета,2000,"0,9","86,7",60-65 кд,,,,"13 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/643931315998.html
,Таблетница,"Материал: ПС+силикон
Размер: 8,5*11*2,6 см
Упаковка: заводская упаковка
Примечание от фабрики: стильная и практичная таблетница из 4 отделелений с силиконовым ремешком. Можно класть в сумку или использовть в качестве брелока. Долго прослужит, благодаря высококачественным и прочным материалам. Стильный вид никого не оставит равнодушным", Дизайн: лого 1 цвет на ремешке,100,"5,3","526,6",50-55 кд,,,,"10 700,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/737582308954.html
,Картхолдер MagSafe,"Материал: ПУ+магниты
Размер: 9,5*6,5*0,6 см 
Упаковка: заводская упаковка
Примечание от фабрики: Универсальный для iPhone13/14, iPhone16 15 Pro. Благодря 13 магнитам легко крепится к телефону и хорошо держится в процессе эксплуатации. Карты теперь можно не искать в сумке, они всегда под рукой", Дизайн:  цв шелкография,100,"3,2","315,9",50-55 кд,,,,"8 000,00","9-11 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/648803189891.html
,"Ремувка (указана примерная стоимость, точная после предоставления макетов）","Материал: полиэстер
Размер: 13*3 см
Упаковка: заводская упаковка
Примечание от фабрики: 1 дизайн в тираже. Ремувка с рисунком/логотипом по макету клиента. Возможны различные виды кастомизации, для расчета точной цены необходим макет"," Дизайн: по макету клиента, посчитано обычное металлическое колечко как на фото слева, также есть разные виды карабинов (см доп фото)",100,"2,3","224,7",50-55 кд,,,,"8 000,00","9-11 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/753254701180.html?spm=a26352.b28411319.offerlist.78.86961e62vPwD5U
,,,,500,"1,1","111,2",,,,,,,,
,"Ланъярд с ретрактором и бейджем (указана примерная стоимость, точная после предоставления макетов)","Материал: нейлон, металл, силикон
Размер: 100*2 мм
Толщина ланъярда: 1 мм
Упаковка: заводская упаковка
Примечание от фабрики: цвет составных частей на выбор. Силиконовый кармашек, металлический ретрактор с металлической нитью"," Дизайн: Гравировка на ретракторе, Шелкография на ланъярде с двух сторон в 1 цвет,  Шелкография на бейдже с одной стороны в 1 цвет",1000,"4,2","414,5",60-65 кд,,,,"25 000,00","15-17 кд фото и видео

12-14 кд доставка в Мск",,"нет ссылки, общаемся в вичате"
,"Ланъярд (указана примерная стоимость, точная после предоставления макетов)","Материал: полиэстер
Длина: 450 мм (в сложенном виде пополам), общая длина 900 мм (без аксессуаров)
Ширина ланъярда: 2 см
Упаковка: заводская упаковка
Примечание от фабрики: есть возможность выбрать фурнитуру, выкрасить в цвет, близкий к цвету пантона, также возможные различные виды нанесения", Дизайн: термотрансфер с двух сторон,300,"1,5","148,4",55-60 кд,,,,"8 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/620147035466.html?spm=a26352.b28411319.offerlist.3079.c5d11e625zs3M6
,"Ланъярд (указана примерная стоимость, точная после предоставления макетов)","Материал: нейлон
Размер: 135*3,8см
Цвет: на выбор, возможен выкрас в пантон
Упаковка: заводская упаковка
Примечание от фабрики: Металлическая фурнитура: пряжка, 2 треугольных карабина, 3 D карабина, кольцо, ПВХ вставка для телефона", Дизайн:  лого объемные буквы 1 цвет,500,"9,5","945,7",55-60 кд,,,,Предтиражный образец,"18-20 кд фото и видео

12-14 кд доставка в мск",,"ссылки нет, общаемся в вичате"
,"""дышащие"" игрушки-зверушки","Материал: полипропиленовый хлопок
Размер: 25*20*25 см
Упаковка: заводская упаковка
Примечание от фабрики: дышащие игрушки с возможностью слушать песенки, двигается животик, игрушка издает дыхание и сопение", Дизайн: нет возможности кастомизации,100,"10,1","1016,1",45-55 кд,,,,"4 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/827202174476.html?spm=a26352.b28411319.offerlist.13.144c1e62IWADXF
,подставка-картхолдер,"Материал: кожзам, магниты
Размер: 8,5*5  см
Упаковка: заводская упаковка
Примечание от фабрики: картхолдер+подставка для телефона, каждый элемент картхолдера продуман до мелочей: мягкая текстура и приятный на ощупь материал придают ему изысканный вид, а компактный и современный дизайн легко впишется в любой стиль, от классического до спортивного. Благодаря магнитной системе, вы сможете с легкостью прикрепить его на свой телефон, идеальные размеры и минималистичный стиль делают этот аксессуар особенно удобным."," Дизайн: тиснение, можно выбрать цвет из палитры",500,"5,8","568,5",67-77 кд,,,,"16 500,00","10-12кд фото и видео

12-14 кд доставка в Мск",,"ссылки нет, общаемся в вичате"
,подставка-картхолдер,"Материал: кожзам, магниты
Размер: 8,5*5  см
Упаковка: заводская упаковка
Примечание от фабрики: картхолдер+подставка для телефона, каждый элемент картхолдера продуман до мелочей: мягкая текстура и приятный на ощупь материал придают ему изысканный вид, а компактный и современный дизайн легко впишется в любой стиль, от классического до спортивного. Благодаря магнитной системе, вы сможете с легкостью прикрепить его на свой телефон, идеальные размеры и минималистичный стиль делают этот аксессуар особенно удобным."," Дизайн: шелкография, можно выбрать цвет из палитры (на черном шелкография не делается)",1000,"6,3","621,1",67-77 кд,,,,"16 500,00","10-12кд фото и видео

12-14 кд доставка в Мск",,"ссылки нет, общаемся в вичате"
,картхолдер-стикер,"Материал: искусственная кожа
Размер: 8,5*13 см
Упаковка: OPP пакетик (учтен в цене)
Примечание от фабрики: картхолдер с возможностью наклеивания его на заднюю часть телефона/чехла, состоит из искусственной кожи, фабрика нанесет необходимый логотип, может нанести  qr-код на переднюю или заднюю часть, чтобы удобно разместить способ связи,  ссылку на сайт и прочее, интересная задумка для работник аэропорта, также к qr-коду можно привязать карту аэропорта, сайт аэропорта и прочее", Дизайн: лого и qr-код клиента,500,"1,2","122,0",44-45 кд,,,,"5 000,00",12-14 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/649670500025.html
,скрепки-самолетики,"Материал: железная проволока 
Размер: 2 см
Упаковка: PET пакетик (учтен в цене)
Примечание от фабрики: скрепки в виде самолета будут идеальным дополенением для любого рабочего места сотрудника аэропорта, лаконичные, аккуратной формы скрепки могут служить не только для скрепления важных документов, но и для дизайна рабочего пространства", Дизайн: изменение цвета по палитре от фабрики (в доп фото),5000,"0,1","13,5",52-62 кд ,,,,"13 500,00",9-11 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/598075408782.html?spm=a26352.b28411319.offerlist.26.5b6a1e62SEVMw9
,скрепки-самолетики,"Материал: железная проволока 
Размер: 4 см
Упаковка: PET пакетик (учтен в цене)
Примечание от фабрики: скрепки в виде самолета будут идеальным дополенением для любого рабочего места сотрудника аэропорта, лаконичные, аккуратной формы скрепки могут служить не только для скрепления важных документов, но и для дизайна рабочего пространства", Дизайн: изменение цвета по палитре от фабрики (в доп фото),5000,"0,3","30,7",52-62 кд ,,,,"13 500,00",9-11 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/598075408782.html?spm=a26352.b28411319.offerlist.26.5b6a1e62SEVMw9
,платки,"Материал: полиэфирное волокно
Размер: 90*90 см
Упаковка: OPP- пакетик
Примечание от фабрики: платок из полиэфирного волокна станет отличным акссесуаром, дополняющим дресс-код, он сможет украсить и придать образу утонченность, материал будет приятным к телу, не будет вызывать дискомфорт при движении. В стоимость образца входит выкрас в один чистый цвет+нанесение лого.", Дизайн: изменение цвета + нанесение лого,5000,"2,7","263,3",52-62 кд,,,,"59 000,00",12-14 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/745849000557.html
,платки,"Материал: искусственный шелк
Размер: 53*53  см
Упаковка: OPP- пакетик
Примечание от фабрики: платок из искусственого станет отличным акссесуаром, дополняющим дресс-код, он сможет украсить и придать образу утонченность, материал будет приятным к телу, не будет вызывать дискомфорт при движении. В стоимость образца входит выкрас в один чистый цвет+нанесение лого.", Дизайн: изменение цвета + нанесение лого,8000,"1,7","163,2",52-62 кд ,,,,"44 600,00",12-14 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/643997560774.html
