,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Зажимы для волос,"Материал: пластик
Размер: 12 см
Упаковка: сток",Дизайн: нанесение логотипа (минимальный заказ на брендирование от 5000 штук),5000,"0,4","34,9",50-55 дней,"0,4","38,7",40-45 дней,10 300,19-20 дней,
,,,,,,,,,,,,,
,Зажимы для волос,"Материал: пластик
Размер: 11,5 см
Упаковка: сток","Дизайн: нанесение логотипа (минимальный заказ на брендирование от 2400 штук)
",2400,"0,4","38,4",45-50 дней,"0,5","42,5",35-40 дней,6 300,20-22 дней,
 ,Термокружка,"Материал: нержавеющая сталь
Размер: 1200 мл / 40 oz
Цвет: на выбор с фото", Дизайн: нанесение логотипа в 1 цвет (шелкография / УФ-печать / гравировка),500,"13,2","1216,9","печать: 35-40 дней
гравировка: 40-45 дней","16,1","1482,9","печать: 25-30 дней
гравировка: 30-35 дней",7 280,17-20 дней,
,,,,1000,"13,1","1201,9",,"15,9","1467,9",,,,
 ,Магнитный браслет,"Материал: силикон
Размер: 23.8х3 см, магнит 3.8х5.5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цвета ремешка на фото", Дизайн: гравировка лого,500,"2,5","321,2",40-45 дней,"2,7","251,8",30-35 дней,8 300,17-20 дней,
,,,,1000,"2,5","227,8",,"2,7","247,4",,,,
 ,Зеркало 1,"Материал линзы: алюминиевое зеркало
Размер: 7,5 х 6 см
Примечание от фабрики: в золотой и серебряный цвет логотип выкрасить не смогут", Дизайн: нанесение лого (тампопечать) + выкрас лого в пантон ,500,"1,0","83,9",40-45 дней,"1,1","96,8",30-35 дней,12 000,15-17 дней,
,,,,1000,"0,9","80,9",,"1,1","93,8",,,,
,Зеркало 2,"Материал: серебряное зеркало
Размер: 7.2 х 6.6 см
Примечание от фабрики: смогут выкрасить в любой цвет", Дизайн: нанесение лого (уф печать) + лого в золотом цвете,500,"1,2","105,4",32-37 дней,"1,4","122,6",22-27 дней,12 500,13-15 дней,
,,,,1000,"1,1","98,4",,"1,3","115,6",,,,
 ,Стикеры,"Материал: самоклеящийся материал, шелкография, эпоксидная смола
Размер: 75 х 40,05 мм
Упаковка: сток",Дизайн: наклейка в виде логотипа на прозрачной подложке по форме логотипа,1000,"0,4","39,6",40-45 дней,"0,5","41,5",30-35 дней,8 600,17-20 дней,
,,"Материал: синтетическая бумага, эпоксидная смола
Размер: 7,5 х 6,5
Упаковка: сток",Дизайн: наклейка в виде логотипа квадратная,1000,"0,3","29,8",35-40 дней,"0,3","30,7",25-30 дней,7 300,15-17 дней,
 ,Коробка 1,"Материал: плотная бумага, жесткий картон
Размер: 1.1 х 0.6 х 0.2 м
Примечание от фабрики: внутреннюю коробку для хранения флаконов настроят по нужным клиенту параметрам"," Дизайн: внешнюю сторону коробки выкрасят в неоновый цвет, внутри коробки сделают отсек для хранения флаконов, также сделают по рефу внутренюю часть коробки, печенье с рефа заменят на лого заказчика, также можно нанести лого на внешнюю сторону коробки.",1000,"82,8","7616,3",45-50 дней,"99,2","9117,8",35-40 дней,136 500,18-20 дней,
,,,,,,,,,,,,,
,Расческа 1,"Материал: пластик
Размер: 18.8 х 8.3 х 4 см
Упаковка: сток
",Дизайн: нанесение лого одного цвета,500,"1,6",146,45-50 дней,"2,1","190,6",35-40 дней,20 000,22-24 дня,
,,,,1000,"1,6",139,,2,"183,6",,15 500,,
,Расческа 2,"Материал: пластик
Размер: 18.5 х 7.5 см
Упаковка: сток
Примечание от фабрики: есть много разных цветов с принтами/ рисунками, но лого на них может потеряться 
Доп. информация: на фото пример расчески в размере 18.5 х 7.5 ",Дизайн: нанесение лого одного цвета,500,"1,6","143, 5",35-40 дней,2,"180,6",25-30 дней,17 500,17-19 дней,
,,,,1000,"1,6",139,,2,"176,3",,20 500,,
,,"Материал: пластик
Размер: 15 х 6 см
Упаковка: сток
Примечание от фабрики: есть много разных цветов с принтами/ рисунками, но лого на них может потеряться 
Доп. информация: на фото пример расчески в размере 15 х 6",,500,"1,3","119, 6",,"1, 7","156,8",,17 500,,
,,,,1000,"1,3","117, 9",,"1, 7","155,1",,20 500,,
 ,Фартук,"Материал: термопластичный полиуретан
Размер: 80,4 х 37 см
Упаковка: сток",Дизайн: яркие ремни из ткани,250,"17,7","1629,7",35-40 дней,"19,1","1760,4",25-30 дней,4 600,13-15 дней,
,,,Дизайн: яркие ремни из ткани; нанесение логотипа шелкографией в один цвет,250,"19,2","1762,4",40-45 дней,"20,6","1893,2",30-35 дней,5 000,18-20 дней,
 ,Расческа (гребень),"Материал: полипропилен
Размер: 18,7 х 5 см
Упаковка: сток
Примечание от фабрики: без нанесения логотипа, так как нет места для нанесения логотипа
",Дизайн: сток,500,"0,6","50,2",30-35 дней,"0,7","60,4",20-25 дней,5 700,12-15 дней,
,,,,1000,"0,5","48,5",,"0,6","58,7",,,,
 ,Расческа,"Материал: пластик
Размер: 20,5 х 8,5 см
Упаковка: сток",Дизайн: нанесение логотипа шелкографией,500,"2,0","185,4",45-50 дней,"2,4","224,1",35-40 дней,13 300,22-25 дней,
,,,,1000,"1,9","170,4",,"2,3","209,1",,,,
 ,Расческа,"Материал: ABS
Размер: 23 х 6,5 см
Упаковка: сток
Примечание от фабрики: минимальный заказ для нанесения логотипа 1000 штук
",Дизайн: нанесение логотипа,1000,"2,6","238,8",45-50 дней,"3,0","276,1",35-40 дней,6 800,19-20 дней,
,Зеркало с подсветкой,"Материал: ABS и стекло
Размер: 2,5 х 11,5 х 10 см
Упаковка: сток
",Дизайн: сток белый,1000,"8,5","778,3",65-70 дней,"8,5","778,3",55-60 дней,6 100,20-25 дней,
,,,"Дизайн: сток белый, нанесение логотипа ",2000,"9,6","883,6",,"9,6","883,6",,6800,,
,,,"Дизайн: выкрас в яркий цвет, нанесение логотипа",3000,"9,6","883,3",,"9,6","883,3",,7200,,
,Зеркало с подсветкой,"Материал: ABS и стекло
Размер: 7,6 см
Упаковка: сток","Дизайн: сток, нанесение логотипа",1000,"6,2","566,7",55-60 дней,"6,5","601,1",45-50 дней,23 600,32-35 дней,
