,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, авиа",Образец ,Срок образца,Доп. фото
,Налобный фонарик,"Материал: ABS + PS
Размер: 18.3х15.5х28 см
Емкость аккумулятора: 1200 мАч
Зарядка от Type-C
Цвет корпуса: черный
Упаковка: индивидуальная коробка",100,"9,8","898,4",15-20 дней,2530,10-12 дней,
,Портативный сейф,"Материал: ударопрочный пластик + нержавеющая сталь
Размер: 24х13х5.7 см
Цвет: черный / белый
Упаковка: индивидуальная коробка",100,"52,5","4806,3",15-20 дней,7240,10-12 дней,
,Портативный сейф,"Материал: ударопрочный пластик + нержавеющая сталь
Размер: 23.5х14.1х5.8 см
Цвет: черный, серый, синий, прозрачный, розовый, оранжевый
Упаковка: индивидуальная коробка",100,"28,4","2598,2",15-20 дней,5630,10-12 дней,
,Лампа для светотерапии,"Материал: пластик
Размер: 24х14.6х1.7 см
Пять уровней освещения
Интенсивность света: 10000 люкс
Работает от Type-C
Упаковка: индивидуальная коробка",50,"36,8","3369,9",15-20 дней,5950,10-12 дней,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,1
