,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",ВНИМАНИЕ! Все цены и сроки указаны ПРИМЕРНО!,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража в календарных днях,Образец качества,Образец сигнальный,Срок образца в календарных днях,Доп. фото
,Паракорд под свой дизайн,"Материал: полиэстер
Размер: 150см
Толщина: 8мм
Брендирование: изменить цвет паракорда, дизайн плетения, печать лого на держателе для телефона шелкографией в 1 цвет
Упаковка: в пакет",1000,"3,8","350,0",40-45,,10 100 ₽,"8-10 дней фото-видео

20-22 дней с доставкой",
,,,5000,"3,2","305,0",45-50,,,,
,Элементы из силикона (цена и тираж на 1 вид дизайна),"Материал: силикон
Размер: 3*3см
Упаковка: в пакет",3000,"1,8","165,0",50-55,,30 000 ₽,"13-15 дней фото-видео

25-27 дней с доставкой",
,,,5000,"1,7","160,0",,,,,
,Ланъярд с магнитом,"Материал: полиэстер
Размер: 140*2.5*0.3см
Брендирование: жаккард или флекстран на ленте (цена одинаковая) и шелкография на держателе для телефона (другие указанные в презентации типы нанесения недоступны)
Упаковка: в пакет",500,"9,1","850,0","50-55

",2900,17 100 ₽,"12-15 дней фото-видео

24-26 дней с доставкой",
,,,1000,"8,8","830,0",55-60,,,,
,,,5000,"8,6","800,0",60-65,,,,
,Сумочка для ланъярда,"Материал: оксфорд или кожзам (цена приблизительно одинаковая, будет зависеть от итоговых макетов)
Размер: 6,5*6,5см
Брендирование: шелкография на сумке, цвет подобрать близкий к пантону
Упаковка: в пакет",500,"6,6","615,0","40-45

",,15 300 ₽,"10-12 дней фото-видео

22-24 дней с доставкой",
,,,1000,"6,3","580,0","45-50

",,,,
,,,5000,"5,9","550,0",50-55,,,,
,Зарядная станция,"Материал: ABS+PP пластик + металл + ткань
Размер: 202*170*174мм
Функции: беспроводная зарядка, колонка, подсветка, часы
Вход: 5V/2A 9V/2A
Выход беспроводной зарядки: 5W/7.5W/10W/15W
Брендирование: шелкография (дороже на 5-8% примерно) или лазер (указанная цена), от 1000шт произвести цвет близкий к пантону (без макетов невозможно рассчитать стоимость)
Упаковка: в фабричную коробку",500,"44,3","4100,0","50-55

",9500,"11 000 ₽ - лазер

13 000 ₽ - шелкография","10-12 дней фото-видео

22-24 дней с доставкой",
,,,1000,"38,9","3 600

",55-60,,,,
,,,5000,"33,7",3 120,60-65,,,,
,Полотенце в силиконовом чехле,"Материал: микрофибра, силикон
Цвет:см.фото
Размер полотенца: 30*90см (возможен вариант 30*80см)
Размер в упаковке: 98*52мм
Нанесение лого: шелкография 1 цвет на полотенце и чехле от 1000шт
Необходимо оформление ЧЗ",1000,"2,6","241,0",40-45 календ.дней,2 200руб.,12 700руб.,"Фото/видео: 8-9 календ.дней
Доставка: 12-14 календ.дней",
,,,5000,"2,4","225,0",45-50 календ.дней,,,,
,Повербанк,"Материал: пластик
Ёмкость аккумулятора: 4000mAh
Размер: 70*58*31мм
Вес: 125г
Цвет: зеленый / красный / сиреневый
Гравировка / шелкография 1 цвет
Выкрасить в пантон нельзя",500,"16,7","1512,0",60-65 календ.дней,4 500руб.,4 950руб.,"Фото/видео: 8-9 календ.дней
Доставка: 12-14 календ.дней",
,,,1000,"16,4","1485,0",,,,,
,,,5000,"16,1","1460,0",,,,,
,"Набор для чистки 20 в 1
(без жидкости)","Материал: пластик
Размер: 8.9*5.7 см
Цвет: белый, черный
Набор 20 в 1
Кастомизация: шелкография в один цвет, выкрас кнопок в пантон от 1000 шт (включено в цену) 
Упаковка: заводская коробка",500,"7,7","715,0",55-60 кд,3000,"образец с лого:

6000

образец с лого и выкрасом кнопок:

11000","8-10 кд фото и видео

12-14 кд доставка в Мск",
,,,1000,"5,8","545,4",,,,,
,,,5000,"5,6","527,1",,,,,
,"Набор для чистки 7 в 1
(без жидкости)","Материал: пластик
Размер: 143*44*28 мм
Цвет: цвета в доп фото
Набор 7 в 1
Кастомизация: печать 1 цвет 
Упаковка: заводская упаковка

Доп кастомизация: выкрас цветных вставок в пантон от 1000 шт (в цену не включено)",500,"2,4","220,7",45-50 кд,2550,10000,"7-9 кд фото и видео

12-14 кд доставка в Мск",
,,,1000,"2,2","200,4",,,,,
,,,5000,"2,0","181,3",,,,,
,Наушники,"Материал: пластик
Цвет: салатовый / черный / розовый / белый
Вес: 70г
Нанесение лого: гравировка
",500,"8,5","775,0",45-50 календ.дней,3 300руб.,7 500руб.,"Фото/видео: 4-5 календ.дней
Доставка: 12-14 календ.дней",
,,,1000,"8,3","760,0",,,,,
,,,5000,"8,2","746,0",50-55 календ.дней,,,,
,"Чехол для ноутбука
(в наборе чехол и ручка)","Материал: полиэстер
Размер: 28*38 см
Цвет: синий
Кастомизация: шелкография 1 цвет
Упаковка: заводская упаковка

Доп кастомизация: основной материал на выбор (доп фото), ручки можно сделать из других материалов и другого цвета (доп фото), нанесение логотипа: тиснение, термотрансфер, УФ печать, ПУ бирка или металлическая бирка с лого. Размер также можно сделать другой. (в цену не включено)",500,"11,1","1013,9",55-60 кд,4000,24000,"10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,1000,"10,2","932,5",,,,,
,,,5000,"8,9","819,1",,,,,
