,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, жд",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, авиа",Образец ,Срок образца,Доп. фото
,Док-станция,"Материал корпуса: АБС-пластик
Размер:13.6х10.1х13.6 см
Цвет: белый, сток
Без лого",500,"17,6","1604,2",25-30 дней,"18,9","1717,6",15-20 дней,"сток -  5270 руб 
с выкрасом / с лого - 13500 руб","сток - 10-15 дней 
брендирование - 17-20 дней ",
,,,1000,"17,6","1602,4",,"18,9","1715,9",,,,
,,,3000,"17,6","1601,3",45-50 дней,"18,8","1714,8",35-40 дней,,,
,,"Цвет: белый, сток
Лого клиента",500,"17,9","1630,4",45-50 дней,"19,2","1743,8",35-40 дней,,,
,,,1000,"17,9","1628,7",,"19,2","1742,2",,,,
,,,3000,"17,8","1627,6",,"19,1","1741,1",,,,
,Док-станция,"Материал корпуса: АБС-пластик
Размер:13.6х10.1х13.6 см
Цвет: пантон 3597С
Без лого",500,"18,2","1656,7",45-50 дней,"19,5","1770,1",35-40 дней,,,
,,,1000,"18,2","1654,9",,"19,4","1768,5",,,,
,,,3000,"18,1","1653,9",,"19,4","1767,3",,,,
,,"Цвет: пантон 3597С
Лого клиента",500,"18,5","1682,9",,"19,7","1796,4",,,,
,,,1000,"18,5","1681,2",,"19,7","1794,7",,,,
,,,3000,"18,4","1680,1",,"19,6","1793,5",,,,
,Наушники ,"Материал корпуса: пластик
Зарядка от mini-USB
Цвет: сток
Без лого",1000,"13,6","1248,6",45-50 дней,"15,1","1378,6",35-40 дней,3250,10-15 дней,
,,,3000,"13,5","1234,4",,"14,9","1364,3",,,,
,,"Материал корпуса: пластик
Зарядка от mini-USB
Цвет: сток
С лого",1000,"13,9","1274,9",45-50 дней,"15,3","1404,8",35-40 дней,8990,15-20 дней,
,,,3000,"13,8","1260,7",,"15,2","1390,6",,,,
,,"Цвет: пантон 3597С
Без лого
",3000,"13,3","1221,2",45-50 дней,"14,8","1351,2",35-40 дней,17830,15-20 дней,
,,"Цвет: пантон 3597С
С лого
",3000,"13,9","1273,7",,"15,3","1503,7",,,,
