,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Бутылка на ремне ,"Квадратная бутылка на ремне
Объем: 750 мл
Размер: 178*108*33 мм
Материал: пластик 
Нанесение логотипа 4+0",1000,"6,2","559,6","7,3","665,0",40-45,30-35,12900,19-22,
,,,3000,"5,7","519,7","6,8","618,9",,,,,
,,,5000,"5,5","496,1","6,5","592,2",,,,,
,Бутылка плоская А5,"Объем: 420 мл
Размер: 12.5*21.5 мм (А5)
Вес: 200 грамм
Материал: пластик 
Нанесение логотипа 4+0",1000,"4,2","380,3","4,9","449,9",33-38,23-28,6400,14-17,
,,,3000,"3,8","341,2","4,5","406,7",33-38,23-28,,,
,,,5000,"3,5","317,8","4,2","381,1",35-40,25-30,,,
,Бутылка складная силиконовая,"Объем: 600 мл
Размер: 75*55*194 мм 
В складном виде: 115*38*69 мм
Вес: 106 грамм
Материал: силикон 
Нанесение логотипа 4+0",1000,"9,1","828,5","9,5","867,0",37-42,27-32,6400,14-17,
,,,3000,"8,6","778,7","9,0","815,0",45-50,35-40,,,
,,,5000,"8,3","754,1","8,7","789,3",55-60,45-50,,,
,Мягкая змея-магнитик,"Размер: 15*3,5 см 
Вес: 106 грамм
Материал: плюш
Без кастомизации",1000,"0,8","75,3","0,9","80,4",30-35,20-25,1800,12-15,
,,,3000,"0,7","60,0","0,7","64,8",,,,,
,,,5000,"0,6","57,9","0,7","62,5",,,,,
,Мягкая игрушка змея,"Размер: 20 см
Вес: 106 грамм
Материал: плюш, пайетки
Кастомизация: цвет пайеток, бирка",1000,"3,9","353,9","4,3","394,0",40-45,30-35,2000,12-15,
,,,3000,"3,7","332,0","4,1","369,7",45-50,35-40,,,
,,,5000,"3,5","321,4","3,9","358,0",55-60,45-50,,,
,Мягкая игрушка змея,"Общая длина 80 см
Вес: 60 грамм
Материал: плюш
Расчет на бирку с брендом, возможно индивидуальная расцветка от 3000 штук",1000,"3,5","322,4","4,0","361,1",50-55,40-45,2100 стоковый / 34200 индивидуальная расцветка,12-15,
,,,3000,"3,3","296,6","3,7","335,3",,,,,
,,,5000,"2,9","263,2","3,3","300,7",,,,,
,Мягкая игрушка змейка вязаная,"Общая длина 20-21 см
Материал: хлопок
Ручная работа
Индивидуальный дизайн",1000,"4,5","409,0","4,6","415,0",55-60,45-50,2100 стоковый ,12-15,
,,,3000,"4,2","383,9","4,3","389,5",,,,,
,,,5000,"4,1","371,7","4,1","377,2",,,,,
,Стакан складной,"Объем: 350 мл
Размер: 137*88*88 мм 
В складном виде: 60*88*88 мм
Материал: силикон 
Нанесение логотипа 4+0",1000,"4,2","378,4","4,8","439,6",40-45,30-35,14900,15-18,
,,,3000,"3,9","355,0","4,5","412,7",,,,,
,,,5000,"3,8","343,7","4,4","399,6",,,,,
