,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,,,,Дубай,,,Катар,,,,,
,Наградная статуэтка,"Материал: полимерный кристал, цинковый сплав / алюминиевый сплав / нержавеющая сталь
Размер: 12,5х6,7х2,6 см
Цвет: согласно макету

Открытие формы (не включено в стоимость): 257100 руб",105,"263,0","24288,0","60-65 календ.дней

Срок ориентировочный, точный после изготовления образца",,,,262500 руб,30-32 календ.дня,
,,,,,,,,,,,,
,Статуэтка,"Материал: стекло + алюминий
Цвет: по макету (эффект у каждой статуэтки будет отличаться из-за процесса производства)
Размер: 12,5х6,7х2,6 см",15,"287,2","26540,0","Производство: 40 календ.дней
Доставка в ОАЭ: 15-20 календ.дней",,,,"48100 руб. за 1 дизайн
（стоимость открытия формы, не включена в стоимость за шт)","Фото/видео: 25-30 календ.дней
Доставка: 12-14 календ.дней",
,Статуэтка,"Материал: стекло + алюминий
Цвет: по макету (эффект у каждой статуэтки будет отличаться из-за процесса производства)
Размер: 15,8х7,1х3,8см",90,"234,9","21755,0","Производство: 40 календ.дней
Доставка в ОАЭ: 15-20 календ.дней",,,,"61500 руб.
（стоимость открытия формы, не включена в стоимость за шт)","Фото/видео: 25-30 календ.дней
Доставка: 12-14 календ.дней",
,,,,,,,,,,,,
,Статуэтка,"Материал: эпоксидная смола + алюминий
Цвет: по макету (эффект у каждой статуэтки будет отличаться из-за процесса производства)
Размер: 12,5х6,7х2,6 см",15,"205,9","19144,0","Производство: 40 календ.дней
Доставка в ОАЭ: 15-20 календ.дней",,,,"40050 руб. за 1 дизайн
（стоимость открытия формы, не включена в стоимость за шт)","Фото/видео: 25-30 календ.дней
Доставка: 12-14 календ.дней",
,Статуэтка,"Материал: эпоксидная смола + алюминий
Цвет: по макету (эффект у каждой статуэтки будет отличаться из-за процесса производства)
Размер: 15,8х7,1х3,8см",90,"153,6","14360,0","Производство: 40 календ.дней
Доставка в ОАЭ: 15-20 календ.дней",,,,"50760 руб.
（стоимость открытия формы, не включена в стоимость за шт)","Фото/видео: 25-30 календ.дней
Доставка: 12-14 календ.дней",
,,,,,,,,,,,,
,Статуэтка,"Материал: акрил, металл
Цвет: по макету (напыление на задней стенке акрила)
Размер: 12,5х6,7х2,6 см
Матовое покрытие",15,"183,5","17152,0",50-55 календ.дней,"217,32",20470,"Производство: 30-35 календ.дней
Доставка: 10-15 календ.дней",11600руб (за 3 образца),"Фото/видео: 25-30 календ.дней
Доставка: 12-14 календ.дней",
,Статуэтка,"Материал: акрил, металл
Цвет: по макету (напыление на задней стенке акрила)
Размер: 15,8х7,1х3,8см
Матовое покрытие",90,"272,3","25324,0",50-55 календ.дней,"326,44",30629,"Производство: 30-35 календ.дней
Доставка: 10-15 календ.дней",,,
,Раздвижная коробка ,"Размер: 18*10*6см
Материал: картон, ложемент ЭВА
Тиснение бронзовой фольгой
9 разных лого
2 вида ложемента
Цена без учета доставки",105,"31,6","3075,0",20-25 календ.дней,,,,26 000руб.,Фото/видео: 8-9 календ.дней,
,Коробка крышка-дно,"Размер: 18*10*6см
Материал: картон, ложемент ЭВА
Тиснение бронзовой фольгой
9 разных лого
2 вида ложемента
Цена без учета доставки",105,"29,1","2830,0",20-25 календ.дней,,,,25 700руб.,Фото/видео: 8-9 календ.дней,
