,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Шнурок,"Шнурок: красный
Фурнитура: белая
На бирке лого мтс",100,"0,9","86,9",35-40 дней ,1,"92,1",25-30 дней,"1,3",117,20-25 дней,4780,15-20 дней,
,,,300,"0,8","75,6",,"0,9","80,7",,"1,1","105,7",,,,
,Шнурок,Цвет: красный + белый,100,"0,9","89,7",25-30 дней,1,"96,6",15-20 дней,"1,5","137,3",10-15 дней,4780,10-15 дней,
,,,300,"0,8","78,3",,"0,9","85,3",,"1,4",126,,,,
,,Цвет: серый + белый,100,"0,9","81,6",30-35 дней ,1,"88,6",20-25 дней,"1,4","129,3",15-20 дней,4780,17-20 дней ,
,,,300,"0,8","70,2",,"0,8","77,2",,"1,3","117,9",,,,
,Пластина,"Материал: цинковый сплав
Размер: 70х30х3 мм
Цвет: серебро белое, матовый (гальваническое покрытие)
Технология: стеклянная краска (glass paint) + лазерная гравировка ",100,"5,2","481,9",35-40 дней ,"5,3","499,4",25-30 дней,"6,4","601,1",20-25 дней,14890,15-20 дней,
,,,300,"3,4","362,6",,"4,1","380,7",,"5,2","481,9",,,,
,Пластина,"Материал: цинковый сплав
Размер: 70х30 мм
Цвет: белый, матовый (заливка краской)
Технология: печать + покрытие смолой / лаком ",100,"5,0","468,5",35-40 дней ,"5,2","485,9",25-30 дней,"6,3","587,6",20-25 дней,14890,15-20 дней,
,,,300,"3,7","349,2",,"3,9","366,7",,"5,1","468,4",,,,
,Пластина,"Материал: цинковый сплав
Размер: 70х30 мм
Цвет: белый, матовый (заливка краской)
Технология: шелкография",100,"5,4","508,9",35-40 дней ,"5,6","526,4",25-30 дней,"6,7","628,1",20-25 дней,17115,15-20 дней,
,,,300,"3,9","373,4",,"4,2","390,9",,"5,3","492,7",,,,
,Снежинка,"Материал: оргстекло
Размер: 40 мм, толщина 3 мм
Цвет: красный, матовый
",100,"3,2","294,2",30-35 дней,"3,2","295,9",20-25 дней,"3,3","306,1",15-20 дней,5860,15-20 дней,
,,,300,"1,9","174,9",,"1,9","176,7",,2,"186,8",,,,
,,,500,"1,6","145,7",,"1,6","147,4",,"1,7","157,6",,,,
,Облако,"Материал: оргстекло
Размер: 55×30 мм, толщина 3 мм
Цвет: градиент, матовый
",100,"3,2","297,1",30-35 дней,"3,2","299,6",20-25 дней,"3,4","313,8",15-20 дней,5900,15-20 дней,
,,,300,"1,9","177,9",,"1,9","180,3",,"2,1","194,5",,,,
,,,500,"1,6","148,7",,"1,6","151,1",,"1,8","165,3",,,,
,Снежинка,"Материал: ПВХ
Размер: диаметр 40 мм
Цвет: красный Pantone 185 С
",500,"2,6","241,1",40-50 дней,"2,67","249,51",30-40 дней,"3,19","298,33",25-35 дней,"45910,53",17-22 дней,
,Карабин ,"Материал: нержавеющая сталь 420
Размер: толщина пластины 3,0 мм, вес около 12,3 грамм, размер: 57,3 х 25,3 х 5,8 мм
Цвет: серый, чёрный
Упаковка: пакет OPP",100,"1,1","100,7",25-30 дней,"1,13","105,58",15-20 дней,"1,54","143,86",10-15 дней,"1506,69",10-15 дней,
,,,300,"1,0","89,4",,"1,01","94,25",,"1,42","132,52",,,,
,Карабин ,"Материал: нержавеющая сталь 420
Размер: толщина пластины 3,0 мм, вес около 12,7 грамм, размер: 56,4*26,8*5,8 мм
Цвет: серый, чёрный
Упаковка: пакет OPP",100,"1,1","100,7",25-30 дней,"1,13","105,58",15-20 дней,"1,54","143,86",10-15 дней,"1506,69",10-15 дней,
,,,300,"1,0","89,4",,"1,01","94,25",,"1,42","132,52",,,,
,Карабин ,"Материал: нержавеющая сталь 420
Размер: толщина пластины 2,5 мм, вес 4,9 грамм, размер: 33,8*17,9*5,3 мм
Цвет: серый, чёрный
Упаковка: пакет OPP",100,"0,8","76,1",25-30 дней,"0,84","78,45",15-20 дней,"1,03","96,68",10-15 дней,"1468,9",10-15 дней,
,,,300,"0,7","64,8",,"0,72","67,12",,"0,91","85,34",,,,
,Карабин ,"Материал: алюминиевый сплав
Размер: 81 х 48 мм, 21 г
Цвет: см доп фото
Упаковка: пакет OPP",100,"1,7","161,6",25-30 дней,"1,81","169,66",15-20 дней,"2,49","232,54",10-15 дней,"1585,12",10-15 дней,
,,,300,"1,6","150,3",,"1,69","158,32",,"2,37","221,21",,,,
,Карабин ,"Материал: алюминиевый сплав
Размер: 50 х 25 х 4 мм, 4 г
Цвет: см доп фото",100,"1,5","141,7",25-30 дней,"1,53","143,18",15-20 дней,"1,66","154,8",10-15 дней,"1513,64",10-15 дней,
,,,300,"1,4","130,4",,"1,41","131,85",,"1,53","143,47",,,,
,Карабин ,"Материал: алюминиевый сплав
Размер: 68 х 32 м, 11 г
Цвет: см доп фото",100,"1,4","134,6",25-30 дней,"1,49","138,97",15-20 дней,"1,85","173,14",10-15 дней,1527,10-15 дней,
,,,300,"1,2","115,2",,"1,28","119,54",,"1,64","153,71",,,,
,Карабин ,"Материал: алюминиевый сплав
Размер: 63 х 16 мм, 3 г
Цвет: см доп фото",100,"0,7","62,9",25-30 дней,"0,69","64,1",15-20 дней,"0,79","73,67",10-15 дней,"1445,4",10-15 дней,
,,,300,"0,5","50,2",,"0,55","51,42",,"0,65","60,99",,,,
,Карабин ,"Материал: алюминиевый сплав
Размер: 45 х 21 мм, 4 г
Цвет: см доп фото",100,"0,9","79,6",25-30 дней,"0,87","81,13",15-20 дней,"0,99","92,75",10-15 дней,"1461,91",10-15 дней,
,,,300,"0,7","68,3",,"0,75","69,8",,"0,87","81,42",,,,
,Шнурок,"Размер: 2 x 11 см
Материал: нержавеющая сталь",300,"0,2","14,6",25-30 дней,"0,16","15,18",15-20 дней,"0,2","18,57",10-15 дней,"1409,78",10-15 дней,
,,"Размер: 2 x 30 см
Материал: нержавеющая сталь",300,"0,3","26,4",,"0,3","28,45",,"0,43","40,31",,"1426,84",,
