,"Менеджер: 
Email: 
Телефон: ",,"Червоненко Светлана
sveta.ch@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шнур для телефона с держателем,"Материал: шнур - нейлон, держатель - акрил+пластик, фурнитура: кольца - метал, регуляторы - пластик
Размер: шнур - ширина 4 мм, длина - 95 см; держатель - 70*30 мм
Упаковка: индивидуальный пакетик"," Дизайн: 
- вязка шнура из нитей в пантон
- выкрас фурнитуры в пантон
- нанесение логотипа УФ печать на держателе",10000,"2,79","236,90",47-52,"3,21","272,80",37-42,13000,15,25-27,
,,,,20000,"2,61","222,02",50-55,"3,01","255,68",40-45,,,,
 ,Картхолдер с ремешком кожзам,"Материал: кожзам
Размер: 110*70 мм, длина шнурка 89 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство картхолдера по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение лого с одной стороны 10*50 мм",10000,"4,98","422,92",65-70,"5,24","445,17",55-60,"8,500",15,25-27,
,,,,20000,"4,68","397,96",,"4,93","418,91",,,,,
 ,Картхолдер с ремешком кожа,"Материал: натуральная кожа
Размер: 110*70 мм, длина шнурка 89 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство картхолдера по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение лого с одной стороны 10*50 мм",10000,"7,77","660,45",65-70,"8,14","692,24",55-60,"12,000",15,25-27,
,,,,20000,"7,31","621,52",,"7,66","651,44",,,,,
 ,Кожаный набор кожзам,"Материал: кожзам
Размер: картхолдер 100*80 мм, чехол для наушников 70*50*25 мм, чехол для очков 100*30 мм, длина шнурка 90 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение лого на каждом из 3 изделий с одной стороны ",10000,"16,02","1361,85",65-70,"16,77","1425,72",55-60,"14,500",15,25-27,
,,,,20000,"15,08","1281,66",,"15,79","1341,77",,,,,
 ,Кожаный набор кожа,"Материал: натуральная кожа
Размер: картхолдер 100*80 мм, чехол для наушников 70*50*25 мм, чехол для очков 100*30 мм, длина шнурка 90 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение лого на каждом из 3 изделий с одной стороны ",10000,"27,12","2305,49",65-70,"28,21","2398,08",55-60,"18,500",15,25-27,
,,,,20000,"25,53","2169,80",,"26,55","2256,94",,,,,
 ,Очечник кожзам,"Материал: кожзам
Размер: 180*80*30 мм, длина шнурка 80 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение двух лого с одной стороны",10000,"10,62","902,54",65-70,"11,43","971,42",55-60,"12,000",15,25-27,
,,,,20000,"9,99","849,37",,"10,76","914,20",,,,,
 ,Очечник кожа,"Материал: натуральная кожа
Размер: 180*80*30 мм, длина шнурка 80 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение двух лого с одной стороны",10000,"20,17","1714,38",65-70,"21,48","1825,65",55-60,"14,500",15,25-27,
,,,,20000,"18,98","1613,46",,"20,21","1718,18",,,,,
 ,Чехол для ноутбука кожзам,"Материал: кожзам
Размер: 380*254 мм, длина шнурка 70-100 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение двух лого с одной стороны",10000,"17,03","1447,74",65-70,"19,59","1665,21",55-60,"14,500",15,25-27,
,,,,20000,"16,03","1362,50",,"18,44","1567,18",,,,,
 ,Чехол для ноутбука кожа,"Материал: натуральная кожа
Размер: 380*254 мм, длина шнурка 70-100 см
Упаковка: индивидуальный пакет
"," Дизайн: 
- производство по макету, цвета в соответствии с пантон (подбор близкого цвета из раскладки)
- тиснение двух лого с одной стороны",10000,"62,71","5330,63",65-70,"66,37","5641,21",55-60,"21,000",15,25-27,
,,,,20000,"59,02","5016,98",,"62,46","5309,29",,,,,
