,"Менеджер: Арефьева Антонина
Email: antonina@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Провод USB Type-C ,"Матераил: пластик, алюминиевый сплав
Размер: 1 метр
Максимальная мощность 100 Вт
Брендирование: одноцветное лого (нанесение на двух местах, гравировка)+в наборе держатель для провода 
Упаковка: индивидуальный OPP пакет",1000,"1,3","120,7",32-37 дней,"1,42","131,76",22-27 дней,"2160,11",13-18 дней,
,Держатель для провода ,"Материал: силикон, магнит
Размер: 19см
Упаковка: OPP пакет",100,"0,78","72,45",25-30 дней,"0,80","73,98",15-20 дней,"1 461,99",10-15 дней,
,,,300,"0,66","61,11",,"0,67","62,64",,,,
,,,1000,"0,59","54,47",,"0,60","56,00",,,,
,Держатель для провода ,"Материал: силикон, магнит
Размер: 11 см 
Упаковка: OPP пакет",100,"0,68","63,07",25-30 дней,"0,70","64,59",15-20 дней,"1 451,10",10-15 дней,
,,,300,"0,56","51,73",,"0,57","53,26",,,,
,,,1000,"0,49","45,09",,"0,50","46,61",,,,
,Держатель для провода ,"Материал: силикон, пластик
Размер: Длина около 90 мм, ширина посередине 12 мм
Брендирование: открытие молда под индивидульную форму клиента (белые цвет, форма квадрата мтс на месте заклёпок)
Упаковка: OPP пакет",100,"2,01","186,77",40-45 дней,"2,07","191,98",30-35 дней,"34 527,64",20-28 дней,
,Провод USB Type-C ,"Матераил: пластик, алюминиевый сплав
Размер: 1 метр
Максимальная мощность 10 Вт
Упаковка: индивидуальный OPP пакет",100,"0,94","88,05",25-30 дней,"1,03","96,47",15-20 дней,"1 517,52",10-15 дней,
,,,300,"0,82","76,72",25-30 дней,"0,91","85,14",15-20 дней,,10-15 дней,
,,"Брендирование: одноцветное лого (нанесение на двух местах, гравировка)",1000,"0,84","78,15",31-37 дней,"0,93","86,57",22-27 дней,"5 916,51",13-18 дней,
,Провод USB Type-C ,"Матераил: пластик, алюминиевый сплав, ткань
Размер: 1 метр
Максимальная мощность 10 Вт
Упаковка: индивидуальный OPP пакет",100,"1,01","94,80",25-30 дней,"1,10","103,21",15-20 дней,"1 517,52",10-15 дней,
,,,300,"0,89","83,46",25-30 дней,"0,98","91,88",15-20 дней,,10-15 дней,
,,"Брендирование: одноцветное лого (нанесение на двух местах, гравировка)",1000,"0,91","84,89",31-37 дней,"1,00","93,31",22-27 дней,"5 916,51",13-18 дней,
,Провод Type-C  Type-C ,"Матераил: пластик, алюминиевый сплав, ткань
Размер: 1 метр
Максимальная мощность 120 Вт
Упаковка: индивидуальный OPP пакет",100,"1,49","139,31",25-30 дней,"1,58","147,73",15-20 дней,"1 561,95",10-15 дней,
,,,300,"1,37","127,98",25-30 дней,"1,46","136,39",15-20 дней,,10-15 дней,
,,"Брендирование: одноцветное лого (нанесение на двух местах, гравировка)",1000,"1,38","129,40",31-37 дней,"1,47","137,82",22-27 дней,"5 916,51",13-18 дней,
