,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,,Срок тиража,Образец ,Срок образца,Доп. фото
,Робот,"Целиком собранный робот
Управление: пульт 
Аккумулятор 1800mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ",3500,"113,9","10605,0",,85-90 календ.дней,34000руб,"3,5 месяца",
,,,8000,"103,6","9585,0",,110-115 календ.дней,,,
,Робот,"Целиком собранный робот
Управление: приложение на телефоне (подключение по Wi-fi)
Аккумулятор 1800mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ",3500,"117,9","10970,0",,85-90 календ.дней,34000руб,"3,5 месяца",
,,,8000,"107,4","9935,0",,110-115 календ.дней,,,
,Робот,"Робот в виде конструктора
Управление: пульт 
Аккумулятор 1800mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ
Инструкция по сборке",3500,"105,9","9870,0",,85-90 календ.дней,34000руб,"3,5 месяца",
,,,8000,"96,0","8880,0",,110-115 календ.дней,,,
,Робот,"Робот в виде конструктора
Управление: приложение на телефоне (подключение по Wi-fi)
Аккумулятор 1800mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ
Инструкция по сборке",3500,"109,9","10235,0",,85-90 календ.дней,34000руб,"3,5 месяца",
,,,8000,"99,8","9235,0",,110-115 календ.дней,,,
,Дополнительные платы,Проект конструкции,,"10780,3","997174,0","830978,3",3 месяца,,,
,,Открытие формы,,"68917,7","6374889,0","5312407,5",,,,
,,Разработка программы,,"43078,8","3984793,0","3320660,8",,,,
,,Разработка приложения для Android,,"21546,5","1993047,0","1660872,5",,,,
,,Разработка приложения для IOS,,"34465,9","3188095,0","2656745,8",,,,
,,Оформление СС,,,"100000,0","83333,3",,,,
,,Индивидуальная форма пульта,,"10780,3","997175,0","830979,2",,,,
,,,,,"17635173,0","14695977,5",,,,
,,,,,,"0,0",,,,
,,,,,,"0,0",,,,
,,,,,,"0,0",,,,
,Робот,"Управление: пульт
Целиком собранный робот / робот в виде конструктора 
Аккумулятор 500mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ",3500,"43,4","4120,0","3433,3",70-75 календ.дней,"92870руб. (открытие формы, только внешняя оболочка, без функций)",30-35 календ.дней,
,,,8000,"33,3","3076,0","2563,3",100-105 календ.дней,,,
,Робот,"Управление: приложение на телефоне
Целиком собранный робот / робот в виде конструктора 
Аккумулятор 500mAh
Высококачественный пластик
Внешний вид и функции согласно ТЗ",3500,"47,5","4510,0","3758,3",70-75 календ.дней,"92870руб. (открытие формы, только внешняя оболочка, без функций)",30-35 календ.дней,
,,,8000,"37,2","3442,0","2868,3",100-105 календ.дней,,,
,Дополнительные платы,Разработка программы,,"7469,7","690960,0","575800,0",100-110 календ.дней,,,
,,Открытие формы,,"1003,9","92870,0","77391,7",,,,
,,,,,,,,,,
,Робот 1,"Целиком собранный робот
Управление: пульт 
Аккумулятор 1800-2000mAh
Высококачественный матовый АБС пластик
Внешний вид и функции согласно ТЗ

Дальность действия пульта: 100м
Время работы без подзарядки: 3-4 часа",8000,"154,9","14457,0","12047,5",110-115 календ.дней,12488031,"3,5 месяца","10406692,5"
,,,10000,"143,3","13400,0","11166,7",120-135 календ.дней,,,
,Робот 2,"Целиком собранный робот
Управление: пульт 
Аккумулятор 2500mAh
Высококачественный матовый АБС пластик
Внешний вид и функции согласно ТЗ

Дальность действия пульта: 100м в открытом пространстве
Время работы без подзарядки: примерно 4 часа",8000,"52,8","4970,0","4141,7",95-100 календ.дней,6 457 726руб.,65-70 календ.дней (без учета доставки),
,,,10000,"46,6","4360,0","3633,3",100-105 календ.дней,,,
,Дополнительные платы,Разработка программы,,"16247,1","1519103,0","1265919,2",55-60 календ.дней,,,
,,Открытие формы,,"34798,1","3253620,0","2711350,0",,,,
,,Индивидуальная форма пульта,,"5812,2","543437,0","452864,2",,,,
,,,,,,"4430133,3",,,,
