,"Менеджер: 
Email: 
Телефон: ",,"Багандова Виктория
victoriabagandova@megamind.ru
+8 (991) 641-94-30",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак с брендированием клиента ,"Материал: ткань Оксфорд
Размер: 44*12*29
Упаковка: OPP пакет 
Примечание от фабрики: 

Минимальный тираж - 5000
Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

"," Дизайн: 
Логотип клиента, печать маскота клиента (унчик), кастомизация слайдера молнии (замена слайдера на слайдер из каталога, печать логотипа на слайдере), выкрас изделия в цвета из каталога (примеры в доп. фото) 
Способ печати логотипа на изделии - цветная печать ",5000,"11,28",1032.5,5162650,60-65,,,0,,"34,300",30,40-42,
 ,Рюкзак с брендированием клиента ,"Материал: ткань Оксфорд
Размер: 44*12*29
Упаковка: OPP пакет 
Примечание от фабрики: 

В тираже посчитан один дизайн


Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

"," Дизайн: по макету клиента, изображение самосвала способом переноса ТПУ, остальное шелкография
внутри два отделения+маленький боковой карман на молнии ",4600,"11,93",1081.4,4974210,60-65,,,0,,"38,000",15,25-27,
,Рюкзак с брендированием клиента ,"Материал: ткань Оксфорд
Размер: 44*12*29
Упаковка: OPP пакет 
Примечание от фабрики: 

В тираже посчитан один дизайн

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

 "," Дизайн: по макету клиента, все изображения и логотипы шелкография
внутри два отделения+маленький боковой карман на молнии ",4600,"10,99",1001.8,4608142,60-65,,,0,,"30,500",15,25-27,
 ,Игрушка-брелок,"Материал: силикон, пластик 
Размер: 6*7*2 см
Упаковка: заводская упаковка
Примечание от фабрики: 
нужно нажимать на загорающиеся кнопки

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

", Дизайн: изготовление силиконовой формы по макету клиента,4600,"2,92",282.6,1299960,65-70,,,0,,"34,000",15,25-27,
 ,Настольный светильник  ,"Материал: пластик 
Размер: 
16*12 см 
15*12 см
18*10 см
16*16 см
16*10 см
В зависимости от модели светильника
Упаковка: картонная коробка 
Примечание от фабрики: 

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

"," Дизайн: 
Печать логотипа клиента на плафоне 
Способ печати логотипа на изделии - цветная печать",4600,"6,12",598.3,2752180,35-40,,,0,,"10,550",5,15-17,
,"Шоппер-раскраска 

Большой размер","Материал: холщовая ткань
Размер: 32*27 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

", Дизайн: нанесение рисунка по макету клиента ,4600,"2,95",321.9,1480648,50-55,,,0,,"10,000",10,20-22,
,"Шоппер-раскраска 

Большой размер","Материал: холщовая ткань
Размер: 32*27 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


В комплект входят 8 фломастеров для раскрашивания, в стоковой упаковке. Нет возможности кастомизировать.
Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета 

", Дизайн: нанесение рисунка по макету клиента ,4600,"5,64",529.9,2437632,50-55,,,0,,"10,000",10,20-22,
,"Шоппер-раскраска 

Маленький размер","Материал: холщовая ткань
Размер: 24*22 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета ", Дизайн: нанесение рисунка по макету клиента ,4600,"2,50",252.2,1160166,50-55,,,0,,"10,000",10,20-22,
,"Шоппер-раскраска 

Маленький размер","Материал: холщовая ткань
Размер: 24*22 см
Упаковка: заводская упаковка
Примечание от фабрики: утолщенный холст, не выцветает, прочный и долговечный


В комплект входят 8 фломастеров для раскрашивания, в стоковой упаковке. Нет возможности кастомизировать.

Цены ориентировочные, точные цены могут быть предоставлены после утверждения макета ", Дизайн: нанесение рисунка по макету клиента ,4600,"5,19",490.3,2255150,50-55,,,0,,"10,000",10,20-22,
