,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Плед с бахромой ,"Материал: мериносовая шерсть 620гр
Размер:  140х180
Упаковка: пакет 
Примечание от фабрики:   если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"61,89","5198,35",15 595 050.,90-95,"65,97","5541,07",16 623 210,80-85,"22,000",10-12,22-24,
,,,,5000,"60,01","5040,54",25 202 700.,90-95,"64,04","5379,23",26 896 150,80-85,,,,
,,,,7000,"57,87","4861,18",34 028 260.,95-100,"61,86","5195,83",36 370 810,85-90,,,,
,,,,15000,"55,43","4656,48",69 847 200.,100-105,"59,35","4985,08",74 776 200,90-95,,,,
,,,,20000,"53,05","4456,21",89 124 200.,105-110,"56,89","4778,77",95 575 400,100-105,,,,
 ,Плед с бахромой ,"Материал: мериносовая шерсть
Размер:  160х200
Упаковка: пакет 
Примечание от фабрики: если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"76,72","6444,28",19 332 840.,90-95,"81,56","6851,26",20 553 780,80-85,"23,000",10-12,22-24,
,,,,5000,"73,38","6247,53",31 237 650.,90-95,"79,16","6649,72",33 248 600,80-85,,,,
,,,,7000,"72,07","6053,79",42 376 530.,95-100,"76,8","6451,20",45 158 400,85-90,,,,
,,,,15000,"69,38","5827,54",87 413 100.,100-105,"74,02","6217,76",93 266 400,90-95,,,,
,,,,20000,"64,81","5443,83",108 876 600.,105-110,"69,37","5826,87",116 537 400,100-105,,,,
 ,Плед с бахромой ,"Материал: 50% мериносовая шерсть, 50% акрил,  620гр
Размер:  140х180
Упаковка: пакет 
Примечание от фабрики:  если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"47,38","3979,61",11 938 830.,90-95,"50,1","4208,09",12 624 270,80-85,"22,000",10-12,22-24,
,,,,5000,"46,25","3884,71",19 423 550.,90-95,"48,93","4110,50",20 552 500,80-85,,,,
,,,,7000,"44,85","3767,09",26 369 630.,95-100,"47,5","3990,20",27 931 400,85-90,,,,
,,,,15000,"43,21","3629,29",54 439 350.,100-105,"45,81","3848,36",57 725 400,90-95,,,,
,,,,20000,"41,6","3494,19",69 883 800.,105-110,"44,16","3709,23",74 184 600,100-105,,,,
 ,Плед с бахромой ,"Материал: 50% мериносовая шерсть, 50% акрил,  620гр
Размер:  160х200
Упаковка: пакет 
Примечание от фабрики:  если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед   ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"56,74","4765,97",14 297 910.,90-95,"59,46","4994,45",14 983 350,80-85,"23,000",10-12,22-24,
,,,,5000,"55,21","4637,52",23 187 600.,90-95,"57,90","4863,32",24 316 600,80-85,,,,
,,,,7000,"53,7","4510,95",31 576 650.,95-100,"56,36","4734,05",33 138 350,85-90,,,,
,,,,15000,"51,9","4359,70",65 395 500.,100-105,"54,51","4578,77",68 681 550,90-95,,,,
,,,,20000,"50,13","4211,15",84 223 000.,105-110,"52,69","4426,19",88 523 800,100-105,,,,
,,,,,,,,,,,,,,,,
