,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Фигурки металлически  здания ,"""Фигурки в виде знаковых объектов: 
- Спортивный комплекс им. Э.А. Стрельцова
- Многофункциональный комплекс «Олимпийский»
- Центральный телеграф
- Кинотеатр «Ударник»
- Круговое депо
- Московская государственная картинная галерея имени Василия Нестеренко
- Дом на Бауманской (https://fr.mos.ru/uchastnikam-programmy/karta-renovatsii/baumanskaya-ul-d-47/ )
- Районные суды: Лефортовский, Таганский, Гагаринский и Хамовнический 
- Многофункциональный комплекс «Венеция»
Все референсы объектов есть здесь: https://disk.yandex.ru/d/0Y803E9LSwya_Q 
Всего 9 макетов по 500шт
""","Материал: цинковый сплав
Размер: примерно 5-10 см
Упаковка: OPP пакет
Примечание от фабрики: цены очень примерные, так как нет точных макетов дизайна
Для расчета нужен макет каждого вида дизайна с размерами. Цены на разные макеты будут отличаться, так как цена фигурки складывается из кол-ва и веса материала, а это невозможно точно определить без макета
Цены за шт и за образец указаны за 1 вид фигурок", Дизайн: производство в соответствии с макетом,500,"28,9","2453,7",70-75,"33,3","2827,7",60-65,20 000,15,25-27,
 ,Фигурки из акрила объемные здания ,"""Фигурки в виде знаковых объектов: 
- Спортивный комплекс им. Э.А. Стрельцова
- Многофункциональный комплекс «Олимпийский»
- Центральный телеграф
- Кинотеатр «Ударник»
- Круговое депо
- Московская государственная картинная галерея имени Василия Нестеренко
- Дом на Бауманской (https://fr.mos.ru/uchastnikam-programmy/karta-renovatsii/baumanskaya-ul-d-47/ )
- Районные суды: Лефортовский, Таганский, Гагаринский и Хамовнический 
- Многофункциональный комплекс «Венеция»
Все референсы объектов есть здесь: https://disk.yandex.ru/d/0Y803E9LSwya_Q 
Всего 9 макетов по 500шт
""","Невозможно расссчитать стоимость, так как нет дизайна и макетов, фабрика не понимает какую форму необходимо открыть и сколько это будет стоить
Минимальный тираж для открытия формы - 1000 шт одного вида",,,,,,,,,,,10-12,
 ,Фигурки из акрила с уф-печатью здания ,"""Фигурки в виде знаковых объектов: 
- Спортивный комплекс им. Э.А. Стрельцова
- Многофункциональный комплекс «Олимпийский»
- Центральный телеграф
- Кинотеатр «Ударник»
- Круговое депо
- Московская государственная картинная галерея имени Василия Нестеренко
- Дом на Бауманской (https://fr.mos.ru/uchastnikam-programmy/karta-renovatsii/baumanskaya-ul-d-47/ )
- Районные суды: Лефортовский, Таганский, Гагаринский и Хамовнический 
- Многофункциональный комплекс «Венеция»
Все референсы объектов есть здесь: https://disk.yandex.ru/d/0Y803E9LSwya_Q 
Всего 9 макетов по 500шт
""","Материал: акрил
Размер: высота до 5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма, запечатка  (9 макетов по 500 шт)",4500,"0,4","33,4",30-35,"0,4","35,3",20-25,3 750,4,14-16,
,Фигурки из акрила с уф-печатью профессии ,""": УФ-печать на акриле в виде разных представителей строительных профессий: строитель (например, в каске с досками, например), инженер-проектировщик (тоже в каске, но белой, и с документацией в руках), кадастровый инженер)
Всего 9 макетов по 500шт
""","Материал: акрил
Размер: высота до 5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма, запечатка  (9 макетов по 500 шт)",4500,"0,4","33,4",,"0,4","35,3",,3 750,4,14-16,
 ,Кубики,"стандартные кубики, если получится найти красные, будет отлично ","Материал: акрил
Размер: 1.6 х 1.6 см
Упаковка: общий пакет ", Дизайн: сток,1000,"0,2","18,7",25-30,"0,2","20,4",15-20,1 450,2,12-14,
 ,Домики ,"""стандартные домики, если получится найти красные, будет отлично 
Так же если под производство, то в пантон 
В набре 44шт: 
32 дома
12 отелей""","Материал: PS
Размер: 1.3 х 1.1 х 1 см/ 1.6 х 1.1cm х 1.4 см
Упаковка: инд пакет
Примечание от фабрики: только красные, отели и обычные домики", Дизайн: cток,500,"1,0","82,8",30-35,"1,0","88,6",20-25,1 528,2,12-14,
,,,,,,,,,,,,,,,
 ,"Фигурки акриловые

(для 1 игры 40)","""Материал: акрил
Цвета: синий, зеленый, черный, желтый, красный
Размер: 17 х 17, ширина 6 или 8 мм (зависит от акрила)

В 1 игре по 8 фигурок каждого цвета (синий - 8 шт, зеленый - 8 шт, черный - 8 шт, желтый - 8 шт, красный - 8шт)""","Материал: акрил
Размер: 17 х 17 х 8 мм
Цвет: красный, черный, желтый, синий, зеленый
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма, выкрас в пантон

",500 наборов (всего 20000 фигурок),"5,6","476,7",30-35,"6,1","513,8",20-25,11 950,7,17-19,
,,,,,20000 наборов,"3,8","324,2",50-55,"4,3","361,3",40-45,,,,
 ,"
Фигурки акриловые для подсчета очков

(для 1 игры 5)","""Материал: акрил
Цвета: синий, зеленый, черный, желтый, красный
Размер: 20 х 17, ширина 6 или 8 мм (зависит от акрила)

В 1 игре по 1 фигурке каждого цвета (синий - 1 шт, зеленый - 1 шт, черный - 1 шт, желтый - 1 шт, красный - 1 шт)""","Материал: акрил
Размер: 17 х 20 х 8 мм
Цвет: красный, черный, желтый, синий, зеленый
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма, выкрас в пантон",500 наборов (всего 2500 фигурок),"2,7","228,1",30-35,"3,1","265,2",20-25,11 950,7,17-19,
,,,,,2500 наборов,"2,4","200,5",50-55,"2,8","237,6",40-45,,,,
 ,Кубики детские ,"""Мягкие кубики 
Материал
поролон, поролон 50%, хлопок 50%, холлофайбер
Количество кубиков в наборе 6 шт.
каждая грань кубика с игдивидуальной печатью, сублимация""","Материал: поролон 50%, хлопок 50%
Размер: 7*7*7 см
Упаковка: инд пакет
Примечание от фабрики: в наборе 6 шт", Дизайн: делать под заказ из-за материала,1000,"1,3","112,7",60-65,"1,8","156,2",50-55,32 161,10,20-22,
,,,,,,,,,,,,,,,
 ,Пазлы,"""Пазлы, деревянные
Ориентир на наш сайт по ТЗ
5 макетов по 200шт 
https://illan-gifts.ru/product/pazl-prezent-m-na-zakaz/""","Материал: дерево
Размер: 35*21 см (есть и другие размеры)
Упаковка: инд пакет
Примечание от фабрики: заказ на инд рисунок от 1000 шт", Дизайн: инд дизайн от 1000 шт,1000,"11,9","1010,5",70-75,"13,4","1137,6",60-65,43 511,7,17-19,
,,,,,,,,,,,,,,,
 ,Каска,"Каска строительная детская
в преоритете красный (188с) и белые цвета
Нанесение считаем 2+0","Материал: пластик
Размер: диаметр 50-60 см
Упаковка: инд пакет"," Дизайн: печать лого, шелкография",1000,"8,7","738,1",35-40,"10,6","904,6",25-30,6 400,4,14-16,
 ,Жилет ,"""Строительные сигнальные детские
Печать 1+0 до А4 формата ""","Материал: полиэстер
Размер: S, M, L, XL
Упаковка: инд пакет"," Дизайн: печать лого, тиснение",1000,"3,8","319,1",32-37,"4,1","346,1",22-27,3 300,5,15-17,
расчет 18.08 ,,,,,,,,,,,,,,,
 ,Кубики,"стандартные кубики, если получится найти красные, будет отлично ","Материал: акрил
Размер: 1.6 х 1.6 см
Упаковка: общий пакет ", Дизайн: сток,600,"0,2","18,8",35-40,"0,2","20,5",25-30,1 450,2,12-14,
