,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Сумка-шоппер

Фабрика 1","Материал: полиэстер
Размер: 40х35x5см, ручки 65х3 см
Технология паттерна: прошив стежкой
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"19,3","1643,5",55-60,"21,9","1862,0",45-50,13 000,10,20-22,
,,,,1000,"18,5","1569,3",,"21,0","1781,4",,,,,
,,,,2000,"17,1","1450,8",,"19,4","1650,0",,,,,
 ,"Чехол для ноутбука

Фабрика 1","Материал: полиэстер
Размер: для ноутбука 16 дюймов, около 36*26*3 см
Технология паттерна: прошив стежкой
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"15,4","1306,6",55-60,"17,6","1491,3",45-50,12 500,10,20-22,
,,,,1000,"14,6","1242,4",,"16,7","1421,7",,,,,
,,,,2000,"13,5","1143,7",,"15,4","1312,1",,,,,
 ,"Сумка-шоппер

Фабрика 1","Материал: полиэстер
Размер: 40х35x5см, ручки 65х3 см
Технология паттерна: ультразвуковое тиснение (ультрастеп)
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"20,2","1720,6",55-60,"22,8","1939,0",45-50,136000 - молд на паттерн,15,25-27,
,,,,1000,"19,3","1644,2",,"21,8","1856,2",,,,,
,,,,2000,"17,9","1521,1",,"20,2","1720,3",,,,,
 ,"Чехол для ноутбука

Фабрика 1","Материал: полиэстер
Размер: для ноутбука 16 дюймов, около 36*26*3 см
Технология паттерна: ультразвуковое тиснение (ультрастеп)
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"16,2","1376,3",55-60,"18,4","1561,0",45-50,136000 - молд на паттерн,15,25-27,
,,,,1000,"15,4","1310,0",,"17,5","1489,3",,,,,
,,,,2000,"14,2","1207,2",,"16,2","1375,6",,,,,
 ,"Сумка-шоппер

Фабрика 2","Материал: полиэстер
Размер: 40х35x5см, ручки 65х3 см
Технология паттерна: прошив стежкой
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"14,8","1255,6",55-60,"17,3","1474,0",45-50,13 000,10,20-22,
,,,,1000,"13,8","1168,7",,"16,2","1380,8",,,,,
,,,,2000,"12,2","1038,9",,"14,6","1244,5",,,,,
 ,"Чехол для ноутбука

Фабрика 2","Материал: полиэстер
Размер: для ноутбука 16 дюймов, около 36*26*3 см
Технология паттерна: прошив стежкой
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальный пошив
-  пвх шильд
- выбор материала из раскладки
- подбор фурнитуры",500,"12,5","1065,4",55-60,"14,7","1250,1",45-50,12 500,10,20-22,
,,,,1000,"11,9","1014,0",,"14,1","1198,7",,,,,
,,,,2000,"10,4","886,8",,"12,5","1066,1",,,,,
 ,Брелок,"Материал: карабины - металл, шнур - нейлон с металлическими наконечниками, домик - акрил, держатель - пвх
Размер: шнур ширина 6 мм длина 15 см, акриловый подвес около 4,5*4,5 см, пвх держатель 4*1,5
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальная вязка шнура
- индивидуальная форма и выкрас в пантон пвх держателя
- индивидуальная форма акрилового подвеса, цвет близкий к пантон
- подбор фурнитуры",500,"2,6","217,3",45-50,"2,7","225,6",35-40,24 700,10,20-22,
,,,,1000,"2,5","208,1",,"2,6","216,4",,,,,
,,,,2000,"2,4","201,2",,"2,5","209,2",,,,,
 ,Брелок,"Материал: карабин - металл, шнур - нейлон, домик - акрил, держатель - пвх
Размер: шнур ширина 6 мм длина 15 см, акриловый подвес около 4,5*4,5 см, пвх держатель 4*1,5
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца"," Дизайн: 
- индивидуальная вязка шнура
- индивидуальная форма и выкрас в пантон пвх держателя
- индивидуальная форма акрилового подвеса, цвет близкий к пантон
- подбор фурнитуры",500,"2,4","206,9",45-50,"2,5","215,1",35-40,24 700,10,20-22,
,,,,1000,"2,3","198,2",,"2,4","206,5",,,,,
,,,,2000,"2,3","191,5",,"2,4","199,6",,,,,
 ,Брелок,"Материал: карабин-кольцо - металл, шнур - нейлон, домик - внешний материал полиэстер и синтетический наполнитель, держатель - пвх
Размер: кольцо 48 мм, шнур ширина 6 мм длина 17 см, пвх держатель 4*1,5, объемный мягкий подвес 10*10*1-3 см
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после проработки образца, точную минимальную ширину на дутый подвес фабрика сможет определить в процессе производства образца"," Дизайн: 
- индивидуальная вязка шнура
- индивидуальная форма и выкрас в пантон пвх держателя
- индивидуальный пошив дутого подвеса
- подбор фурнитуры",500,"6,9","584,3",55-60,"7,0","592,6",45-50,30 800,10,20-22,
,,,,1000,"5,9","504,0",,"6,0","512,3",,,,,
,,,,2000,"5,8","488,4",,"5,8","496,4",,,,,
Расчет от 21.07,,,,,,,,,,,,,,
Вид 1,,,,,,,,,,,,,,
 ,Брелок,"Шнур: материал - полиэстер, круглый, ширина 6 мм, общая длина в завязанном виде - 13 см, цвета: зеленый Pantone 375U, белый; наконечники - металл, диаметр - 7,5 мм, высота - 10 мм
Держатель: материал - пвх, размер 40*15*10 мм, цвет - белый, два круглых отверстия для шнура диаметром 6 мм, логотип в форме объемный с двух сторон, размер 32*11 мм, высота 0,6 мм, цвет - черный.
Круглый подвес: материал - акрил, размер 50*50 см, цвет - зеленый Pantone 375U, вырубка логотипа, размер 30*32 мм, круглое отверстие для крепления диаметром 5 мм
Кольцо-крепеж для круглого подвеса: материал - металл, размер: диаметр 45 мм, ширина 1,6 мм, цвет - белый
Металлическое кольцо: материал - металл, размер: диаметр 30 мм, ширина 4,5 мм, цвет - оранжевый
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость примерная, точный расчет после окончания проработки образца"," Дизайн: 
- индивидуальная вязка шнура
- индивидуальная форма и выкрас в пантон пвх держателя
- индивидуальная форма акрилового подвеса, цвет близкий к пантон
- подбор фурнитуры","500
целый брелок","3,0","254,9",45-50,"3,1","265,7",35-40,24 700,10,20-22,
,,,,"500
шнур",,"59,9",,,"62,5",,,,,
,,,,"500
пвх  держатель",,"75,5",,,"78,7",,,,,
,,,,"500
акриловый подвес",,"75,5",,,"78,7",,,,,
,,,,"500
фурнитура",,"44,0",,,"45,8",,,,,
,,,,"1000
целый брелок","2,9","246,2",,"3,0","257,0",,,,,
,,,,"1000
шнур",,"57,9",,,"60,4",,,,,
,,,,"1000
пвх  держатель",,"72,9",,,"76,1",,,,,
,,,,"1000
акриловый подвес",,"72,9",,,"76,1",,,,,
,,,,"1000
фурнитура",,"42,7",,,"44,4",,,,,
,,,,"2000
целый брелок","2,8","238,1",,"2,9","248,6",,,,,
,,,,"2000
шнур",,"56,0",,,"58,5",,,,,
,,,,"2000
пвх  держатель",,"70,5",,,"73,6",,,,,
,,,,"2000
акриловый подвес",,"70,5",,,"73,6",,,,,
,,,,"2000
фурнитура",,"41,1",,,"42,9",,,,,
