,"Менеджер: 
Email: 
Телефон: ",,"Попова Дарья
daryap@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Наклейки для купания,"Материал: эва
Размер: примерно 8 мм толщина
Упаковка: опп
Примечание от фабрики: 
36 штук в наборе","Дизайн: нет, сток",500,"2,96","248,67","124 337,33",35-37,"3,44","289,33","144 665,33",25-27,2 600,5,15-17,
,,,,1000,"2,78","233,16","233 159,41",,"3,23","271,56","271 556,74",,,,,
 ,Магниты,"Материал: пластик
Размер: см.доп.фото
Упаковка: фабричная (см.фото)
Примечание от фабрики: 
26 штук в наборе","Дизайн: нет, сток",500,"2,09","175,38","87 690,00",35-37,"2,32","194,71","97 357,35",25-27,2 300,5,15-17,
,,,,1000,"1,95","163,94","163 936,67",,"2,17","182,20","182 197,22",,,,,
 ,Форма для печенья,"Материал: ПП
Размер: примерно 9 см
Упаковка: опп
Примечание от фабрики: 
15 штук в наборе","Дизайн: нет, сток",500,"3,19","268,22","134 110,17",35-37,"3,69","310,26","155 131,17",25-27,2 500,5,15-17,
,,,,1000,"3,04","255,40","255 404,17",,"3,52","295,83","295 829,17",,,,,
 ,Ланьярд для телефона,"Материал: полиэстер
Размер: 163*3,2 см
Упаковка: опп
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: сублимационная печать,500,"2,62","220,20","110 100,38",50-55,"2,71","227,93","113 962,70",40-45,7 000,10,20-22,
,,,,1000,"2,27","190,84","190 836,25",,"2,36","198,56","198 560,89",,,,,
 ,Пакет,"Материал: ПЭ
Размер: 20*30 см
Упаковка: нет индив.упаковки, все товары упаковываются в 1 коробку
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: цифровая печать,500,"2,95","247,98","123 992,10",45-55,"3,08","258,52","129 258,90",35-45,14 000,7,17-19,
,,,,1000,"1,94","162,66","162 655,20",,"2,06","173,19","173 188,80",,,,,
 ,Антистресс брелок ,"Материал: пластик
Размер: примерно 8*3 см
Упаковка: опп
Примечание от фабрики: 
С подсветкой",Дизайн: шелкография,500,"4,71","395,86","197 930,92",45-55,"5,13","430,97","215 486,92",35-45,6 000,7,17-19,
,,,,1000,"4,36","366,50","366 497,33",,"4,78","401,61","401 609,33",,,,,
 ,Неоновый набор ,"Материал: силикон
Размер: длина ленты 5 м
Упаковка: цветная коробка
Примечание от фабрики: 
Кастом коробки возможен от 1000 шт.
В комплект входит лента, пульт дитсанционного управления, блок питания, крепления, шурупы, регулятор",Дизайн: кастом коробки,500,"20,45","1 717,52","858 761,37",50-55,"23,67","1 987,89","993 942,57",40-45,5 500,10,20-22,
,,,,1000,"19,77","1 660,69","1 660 693,73",,"22,99","1 931,06","1 931 056,13",,,,,
 ,Рюкзак-мешок,"Материал: Оксфорд
Размер: 30*40 см
Упаковка: опп
Примечание от фабрики: 
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: шелкография,500,"3,94","330,58","165 289,97",45-55,"4,36","365,97","182 986,42",35-45,8 000,7,17-19,
,,,,1000,"3,59","301,22","301 215,44",,"4,01","336,61","336 608,33",,,,,
 ,Многоразовые наклейки ,"Материал: полиэстеровая ткань + самоклеющаяся основа
Размер: примерно 7 см 
Упаковка: опп
Примечание от фабрики: 
Цена указана за набор из 3 штук 
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: открытие формы по макету клиента,500,"1,43","120,02","60 012,13",45-55,"1,45","121,78","60 889,93",35-45,7 500,7,17-19,
,,,,1000,"1,08","90,66","90 659,77",,"1,10","92,42","92 415,37",,,,,
