,"Менеджер: 
Email: 
Телефон: ",,,,"Червоненко Светлана
sveta.ch@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Макет,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"40*40 мм, более детальное тз в макете",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20accès/Вязаный%20брелок,"Материал: полиэстер
Размер: 40*40 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: объемная реализация невозможна, можем предложить плоский брелок-шеврон",Дизайн: индивидуальный дизайн жаккарда с 2 сторон,300,"1,5","128,6","38 589,00",45-50,"1,6","133,6","40 068,00",35-40,4 800,5,15-17,
,,,,,,500,"1,3","111,5","55 755,00",,"1,4","116,4","58 220,00",,,,,
,,,,,,1000,"1,3","109,5","109 510,00",,"1,4","114,4","114 440,00",,,,,
 ,Брелок,"90*45 мм, более детальное тз в макете
Пластиковый",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20accès/Брелок%20отельный,"Материал: пластик
Размер: 90*45 мм
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: минимальный тираж для выкраса пластиковой основы в пантон - 2000 шт","Дизайн: 
- подбор близкого к пантону цвета пластика из раскладки
- УФ печать с 2 сторон",300,"1,2","96,5","28 962,00",45-50,"1,2","102,1","30 624,00",35-40,3800 - 1 дизайн,5,15-17,
,,,,,,500,"1,1","91,0","45 490,00",,"1,2","96,5","48 265,00",,,,,
,,,,,,1000,"1,0","83,2","83 200,00",,"1,1","88,7","88 740,00",,,,,
 ,брелок 2,"40*40*40 мм , более детальное тз в макете
В основании пластиковый куб, сверху вышивка ",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20accès/Брелок%20 кубик ,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: 

Пока не можем найти производство для реализации",Дизайн: ,,,,"0,00",,,,"0,00",,,,10-12,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,"0,00",,,,"0,00",,,,,
 ,Картхолдер 1,,https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%B0%D1%80%D0%B4%D1%85%D0%BE%D0%BB%D0%B4%D0%B5%D1%80%D1%8B,"Материал: кожзам
Размер: 110*80 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: точная стоимость после образца","Дизайн: выбор кожи из раскладки фабрики (подбор в цвет пантона), печать лого с одной стороны (2 цвета), тиснение паттерна согласно макету с двух сторон",300,"3,7","310,2","93 063,00",50-55,"3,8","322,3","96 684,00",40-45,10 000,7,17-19,
,,,,,,500,"2,8","231,6","115 820,00",,"2,9","243,1","121 535,00",,,,,
,,,,,,1000,"2,0","167,9","167 920,00",,"2,1","178,7","178 720,00",,,,,
 ,Картхолдер 2,,https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%B0%D1%80%D0%B4%D1%85%D0%BE%D0%BB%D0%B4%D0%B5%D1%80%D1%8B,"Материал: кожзам
Размер: 110*80 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: точная стоимость после образца","Дизайн: выбор кожи из раскладки фабрики (подбор в цвет пантона), печать лого с одной стороны (2 цвета), карманы выполнены в трех рахных цветах в соответствии с макетом (материал тоже на выбор из раскладки фабрики, подбор в цвет пантона)",300,"3,3","277,6","83 268,00",50-55,"3,4","288,4","86 505,00",40-45,10 000,7,17-19,
,,,,,,500,"2,6","214,9","107 455,00",,"2,7","225,5","112 760,00",,,,,
,,,,,,1000,"1,9","161,0","161 010,00",,"2,0","171,4","171 360,00",,,,,
 ,Картхолдер 3 (магнитный),,https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%B0%D1%80%D0%B4%D1%85%D0%BE%D0%BB%D0%B4%D0%B5%D1%80%D1%8B,"Материал: кожзам
Размер: 86*55 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: точная стоимость после образца","Дизайн: выбор кожи из раскладки фабрики (подбор в цвет пантона), печать лого с одной стороны (2 цвета), тиснение узора согласно макету с одной стороны",300,"3,8","318,5","95 535,00",50-55,"3,9","330,5","99 156,00",40-45,10 000,7,17-19,
,,,,,,500,"3,4","283,4","141 695,00",,"3,5","294,5","147 250,00",,,,,
,,,,,,1000,"2,9","244,1","244 080,00",,"3,0","254,6","254 560,00",,,,,
 ,Брелок,"до 15 см, , более детальное тз в макете (первые два макета)",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B8%D0%BD,"Материал: металлический подвес - цинковый сплав, бусины - акрил
Размер: длина до 15 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: минимальный тираж 1000 шт","Дизайн: индивидуальное производство по макету, выкрас бусин в пантон, открытие формы и гравировка с двух сторон на металлическом подвесе",1000,"3,6","298,8","298 830,00",55-60,"3,9","330,3","330 250,00",45-50,5 800,10,20-22,
 ,Открывашка,"85,6 мм*53,98 мм, остальная информация в файле",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%BB%D0%BA%D0%B0,"Материал: нержавеющая сталь 410
Размер: 8,5*5,4 мм
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк","Дизайн: производство по макету - открытие формы, тиснение лого с одной стороны ",300,"2,9","245,8","73 731,00",50-55,"3,7","308,6","92 580,00",40-45,25 000,7,17-19,
,,,,,,500,"2,5","210,9","105 450,00",,"3,2","271,9","135 945,00",,,,,
,,,,,,1000,"2,2","184,4","184 410,00",,"2,9","243,5","243 540,00",,,,,
 ,Бутылка 1,"объем 0,5 л, более детальное тз в макете
Матовые прорезиненные
Нанесение в пантон
Тут в файле несколько макетов, считаем самый дорогой (думаю последний)

",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%91%D1%83%D1%82%D1%8B%D0%BB%D0%BA%D0%B8,"Материал: нержавеющая сталь
Размер: 600 мл
Упаковка: индивидуальная белая коробка с наклейкой шк
Примечание от фабрики: данная форма бутылки не представлена в объеме 500 мл; мин тираж на нанесение лого - 500 шт","Дизайн: выкрас в пантон, 3д печать лого в 2 цвета, матовое покрытие софттач",500,"12,4","1041,0","520 490,00",55-60,"14,5","1215,6","607 810,00",45-50,14 000,10,20-22,
,,,,,,1000,"11,9","996,3","996 270,00",,"13,9","1165,6","1 165 620,00",,,,,
 ,Бутылка 1 (сток),"объем 0,5 л, более детальное тз в макете
Матовые прорезиненные
Нанесение в пантон
Тут в файле несколько макетов, считаем самый дорогой (думаю последний)

",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%91%D1%83%D1%82%D1%8B%D0%BB%D0%BA%D0%B8,"Материал: нержавеющая сталь
Размер: 600 мл
Упаковка: индивидуальная белая коробка
Примечание от фабрики: в наличии есть 4 цвета",Дизайн: из наличия,300,"11,4","953,8","286 125,00",45-50,"13,4","1123,1","336 927,00",35-40,6 000,5,15-17,
 ,Бутылка 2,"объем 0,5 л, более детальное тз в макете
Матовые прорезиненные
Нанесение в пантон
Тут в файле несколько макетов, считаем самый дорогой (думаю последний)

",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%91%D1%83%D1%82%D1%8B%D0%BB%D0%BA%D0%B8,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: индивидуальная белая коробка с наклейкой шк
Примечание от фабрики: посчитана бутылка без нанесения паттерна (только выкрас в пантон и лого), так как мин тираж для паттерна (круговая 3д печать) - 5000 шт; мин тираж на нанесение лого - 500 шт","Дизайн: выкрас в пантон, 3д печать лого в 2 цвета, матовое покрытие софттач",500,"11,9","997,2","498 620,00",55-60,"13,8","1160,2","580 120,00",45-50,14 000,10,20-22,
,,,,,,1000,"11,4","953,9","953 860,00",,"13,2","1111,9","1 111 910,00",,,,,
 ,Бутылка 2 (сток),"объем 0,5 л, более детальное тз в макете
Матовые прорезиненные
Нанесение в пантон
Тут в файле несколько макетов, считаем самый дорогой (думаю последний)

",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%91%D1%83%D1%82%D1%8B%D0%BB%D0%BA%D0%B8,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: индивидуальная белая коробка
Примечание от фабрики: в наличии 4 цвета",Дизайн: из наличия,300,"10,9","912,2","273 669,00",45-50,"12,7","1070,3","321 084,00",35-40,6 000,5,15-17,
 ,Несессер,"Размер 10*6 см, более детальное тз в макете
Прорезиненный
логотип-патч
Нанесение на сетке еле заметное 
Молния и резинка в фирменном цвете 
Пуллер-шнурок
с прорезиненным
эглетом в фирменном
цвете
Pantone 2194c",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D1%87%D0%BA%D0%B0,"Материал: сетка
Размер: 13*21*10 см
Упаковка: индивидуальный пакет с наклейкой шк
Примечание от фабрики: мин тираж 2000 шт (необходимо производить с нуля)
- фабрика не делает печать паттерна на сетке
- фабрика не делает лого из пвх/силикона, используют кожзам, который можно прорезинить","Дизайн: выкрас материала в пантон, подбор молнии  в цвет пантона, логотип по макету на бирке из кожзама (цвет в пантон, 2 цвета)",2000,"2,0","169,1","338 200,00",70-75,"2,3","192,8","385 580,00",60-65,15 000,15,25-27,
 ,Несессер,"Размер 10*6 см, более детальное тз в макете
Прорезиненный
логотип-патч
Нанесение на сетке еле заметное 
Молния и резинка в фирменном цвете 
Пуллер-шнурок
с прорезиненным
эглетом в фирменном
цвете
Pantone 2194c",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20acc%C3%A8s/%D0%9A%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D1%87%D0%BA%D0%B0,"Материал: сетка
Размер: 13*21*10 см
Упаковка: индивидуальный пакет с наклейкой шк
Примечание от фабрики: мин тираж 1000 шт 
- фабрика не делает печать паттерна на сетке
","Дизайн: подбор материала близко к пантону (белый/синий), прорезиненный (силиконовый) логотип",1000,"2,1","178,7","178 650,00",70-75,"2,4","197,9","197 900,00",60-65,15 000,15,25-27,
 ,карабин,"до 15 см, , более детальное тз в макете (первые два макета не отсюда)",https://cloud.mail.ru/public/iSWu/475qH2wTy/VK%20accès/Карабин,"Материал: карабин и подвес с логотипом - металл, чехол на карабине - кожзам
Размер: длина до 15 см
Упаковка: индивидуальный пакет с европодвесом и наклейкой шк
Примечание от фабрики: минимальный тираж 1000 шт","Дизайн: карабин из наличия, пошив индивидуального чехла из кожзама, выбор цвета кожзама из раскладки близкого к пантону, открытие формы на металлический подвес",1000,"8,0","674,8","674 800,00",55-60,"8,4","706,2","706 220,00",45-50,28 000,15,25-27,
