,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,коэф,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $",без ндс,"Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Доставка образца, к.д.",
 ,Фигурка Манул,"Материал: винил
Размер: 8*5,5см
Упаковка: непрозрачный блистер приваренный к картону. Полноцветная печать на картоне с 2 сторон
Примечание от фабрики: высокое качество и детализация фигурки
Подвижные лапы и хвост, логотип на лапе
При изготовлении сигнального образца необходимо оплатить стоимость образца+стоимость открытия формы. При заказе тиража эта сумма возвращается. Срок открытия формы НЕ включен в срок тиража"," Дизайн: индивидуальная форма, 4 дизайна в тираже",,4500 (1125шт каждый дизайн),"19,7","1401,7","1682,0",70-75,,,,"52900 образец

412 000 открытие формы","12 к.д. образец 

35 к.д. открытие формы",12-14,
,,," Дизайн: индивидуальная форма, 6 дизайнов в тираже",,4500 (750шт каждый дизайн),"21,7","1544,2","1853,0",70-75,,,,,,,
,,," Дизайн: индивидуальная форма, 8 дизайнов в тираже",,4500 (~570шт каждый дизайн),"23,7","1686,7","2024,0",70-75,,,,,,,
 ,Упаковка,"Материал: плотная тростниковая бумага
Размер: 148*110,3мм
Примечание от фабрики: выкрас формы в пантон, цена за 1 дизайн", Дизайн: индивидуальная форма,,1125,"6,8","481,7","578,0",50-55,,,,440 100 открытие формы,17 к.д. открытие формы,12-14,
 ,Упаковка,"Материал: плотная тростниковая бумага
Размер: 148*110,3мм
Примечание от фабрики: печать на белой форме, цена за 1 дизайн", Дизайн: индивидуальная форма,,1125,"4,6","325,8","391,0",50-55,,,,440 100 открытие формы,17 к.д. открытие формы,12-14,
 ,Упаковка,"Материал: непрозрачный блистер приваренный к картону
Размер: 148*110,3мм
Примечание от фабрики: "," Дизайн: Полноцветная печать на картоне с 2 сторон, 4 дизайна в тираже",,4500 (1125шт каждый дизайн),"4,5","318,3","382,0",50-55,,,,,,,
,"Упаковка
Непрозрачный ZIP-пакет","Материал: MOPP+VMPET+PE
Размер: 15*10см
"," Дизайн: печать, 4 дизайна в тираже",,4500 (1125шт каждый дизайн),"1,5","107,5","129,0",45-50,,,,14 300,7,12-14,
 ,Фигурка Манул,"Материал: ПВХ пластик
Размер: 8*5,5см
Упаковка: непрозрачный блистер приваренный к картону. Полноцветная печать на картоне с 2 сторон
Примечание от фабрики: 
Подвижные лапы и хвост, логотип на лапе
При изготовлении сигнального образца необходимо оплатить стоимость образца+стоимость открытия формы. При заказе тиража эта сумма возвращается. Срок открытия формы НЕ включен в срок тиража"," Дизайн: индивидуальная форма, 4 дизайна в тираже",,4500 (1125шт каждый дизайн),"7,8","560,8","673,0",75-80,,,,"207 000 образец

296 000 открытие формы","22 к.д. образец 

30 к.д. открытие формы",12-14,
,,," Дизайн: индивидуальная форма, 6 дизайнов в тираже",,4500 (750шт каждый дизайн),"8,7","623,3","748,0",75-80,,,,,,,
,,," Дизайн: индивидуальная форма, 8 дизайнов в тираже",,4500 (~570шт каждый дизайн),"9,4","675,0","810,0",75-80,,,,,,,
 ,Фигурка Манул,"Материал: смола
Размер: 8*5,5см
Упаковка: непрозрачный блистер приваренный к картону. Полноцветная печать на картоне с 2 сторон
Примечание от фабрики: логотип на лапе
Нет возможности сделать подвижные детали"," Дизайн: индивидуальная форма, 4 дизайна в тираже",,4500 (1125шт каждый дизайн),"8,4","602,5","723,0",80-85,,,,"49000
открытие формы+образец",16,12-14,
,,," Дизайн: индивидуальная форма, 6 дизайнов в тираже",,4500 (750шт каждый дизайн),"8,7","623,3","748,0",80-85,,,,,,,
,,," Дизайн: индивидуальная форма, 8 дизайнов в тираже",,4500 (~570шт каждый дизайн),"9,4","664,2","797,0",80-85,,,,,,,
 ,Фигурка Манул,"Материал: пластик ABS
Размер: 8*5,5см
Упаковка: OPP пакет
Примечание от фабрики: логотип на лапе
При изготовлении сигнального образца необходимо оплатить стоимость образца+стоимость открытия формы. При заказе тиража эта сумма возвращается. Срок открытия формы НЕ включен в срок тиража"," Дизайн: индивидуальная форма, 6 дизайнов в тираже",,4500 (750шт каждый дизайн),"13,6","969,2","1163,0",80-85,,,,"19200 образец (1 дизайн)

 840 000 открытие формы","12 к.д. образец 

50 к.д. открытие формы",12-14,
,,,,,,,,,,,,,,,,
 ,Фигурка Манул,"Материал: винил
Размер: 8*5,5см
Упаковка: OPP пакет
Примечание от фабрики: Подвижные лапы и хвост, логотип на лапе
При изготовлении сигнального образца необходимо оплатить стоимость образца+стоимость открытия формы.  Срок открытия формы НЕ включен в срок тиража"," Дизайн: индивидуальная форма, 6 дизайнов в тираже",,4500 (750шт каждый дизайн),"7,3","525,8","631,0",65-70,,,,"51500 образец (1 дизайн)

 200 700 открытие формы","20-22 к.д. образец 

25 к.д. открытие формы",12-14,
 ,Упаковка,"Материал: непрозрачный блистер приваренный к картону
Размер: 148*110,3мм
Примечание от фабрики: "," Дизайн: Полноцветная печать на картоне с 2 сторон, 1 дизайн",,4500,"1,5","111,7","134,0",,,,,21 600,,,
,,,,,,,,,,,,,,,,
 ,Фигурка Манул,"Материал: винил
Размер: 8*5,5см
Упаковка: заводская
Примечание от фабрики: Подвижные руки, ноги, голова и хвост, логотип на лапе
Цена с учетом того, что изменений в форме фигурки не будет"," Дизайн: индивидуальная форма, 4 дизайна в тираже","1,7",2000 (500шт каждый дизайн),"11,9","840,0","1008,0",95-100,,,,Произведен,,,
,,," Дизайн: индивидуальная форма, 3 дизайна в тираже","1,7",2250 (750шт каждый дизайн),"10,7","758,3","910,0",95-100,,,,,,,
,,," Дизайн: индивидуальная форма, 5 дизайнов в тираже","1,7",2000 (400шт каждый дизайн),"12,7","901,7","1082,0",95-100,,,,,,,
,,," Дизайн: индивидуальная форма, 3 дизайна в тираже","1,7",1500 (500шт каждый дизайн),"13,3","942,5","1131,0",95-100,,,,,,,
,,," Дизайн: индивидуальная форма, 2 дизайна в тираже","1,7",1500 (750шт каждый дизайн),"11,6","820,0","984,0",95-100,,,,,,,
 ,Упаковка,"Материал: непрозрачный блистер приваренный к картону
Размер: 148*110,3мм
Примечание от фабрики: "," Дизайн: Полноцветная печать на картоне с 2 сторон, 1 дизайн","1,7",2000,"2,7","189,2","227,0",50-55,,,,21 700,15,25-27,
 ,"Упаковка
Непрозрачный ZIP-пакет","Материал: MOPP+VMPET+PE
Размер: 15*10см
"," Дизайн: цифровая печать с двух сторон, 3 дизайна","1,7",2250 (750шт каждый дизайн),"1,5","142,1","170,5",45-50,,,,14 300,7,12-14,
,,," Дизайн: цифровая печать с двух сторон, 4 дизайна","1,7",2000 (500шт каждый дизайн),"2,3","162,5","195,0",45-50,,,,,,,
