,"Менеджер: Емельянова Полина
Email: polinae@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Полотенце ,"Материал: микрофибра 
Размер: 70*130 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: "," Дизайн: выкрас в цвет близкий в пантон, лого 
Вид нанесения: цифровая печать ",130,"11,5","1010,6",35-40,"11,9","1046,5",25-30,6 500,5,15-17,
,,"Материал: хлопок(290 грм) 
Размер: 70*140 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: "," Дизайн: выкрас в пантон, нанесение лого 
Вид нанесения: цифровая печать ",130,"16,8","1481,6",40-45,"18,0","1583,7",30-35,7 000,10,20-22,
,Массажер для тела ,"Материал: ABS
Размер: 17,4*14 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
Скорость вращения: 1800~3200 оборотов
Регулировка передачи: 6 уровней
Тип разъёма: DC
Время работы: около 6 часов
Напряжение зарядки: 5V
Вес продукта: около 0.6 кг
Выбор цветов: красный, черный, зеленый, серый
Массажные насадки:
    - Круглая насадка X1
    - Плоская насадка X1
    - Шаровидная насадка X1
    - Насадка U-образной формы X1", Дизайн: из наличия ,12,"16,7","1465,6",40-45,"20,4","1794,7",30-35,7 000,10,20-22,
,Массажер для тела ,"Материал: ABS
Размер: 17,4*14 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
Скорость вращения: 1800~3200 оборотов
Регулировка передачи: 6 уровней
Тип разъёма: DC
Время работы: около 6 часов
Напряжение зарядки: 5V
Вес продукта: около 0.6 кг
Выбор цветов: красный, черный, зеленый, серый
Массажные насадки:
    - Круглая насадка X1
    - Плоская насадка X1
    - Шаровидная насадка X1
    - Насадка U-образной формы X1"," Дизайн: нанесение лого
Вид нанесния: тампопечать в 1 цвет ",12,"21,5","1895,5",45-50,"25,3","2224,6",35-40,10 000,10,20-22,
 ,Бутылка 1,"Материал: пластик 
Размер: 500 мл
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
*мин тираж для дизайна 3000 шт ",Дизайн: красный цвет из наличия,130,"3,3","287,4",40-45,"4,1","361,4",30-35,4 500,5,15-17,
,,,"Дизайн: красный цвет из наличия + нанесение лого, 1 цвет, шелкография",3000,"2,6","224,4",,"3,3","289,7",,10 000,7,17-19,
 ,Бутылка 2,"Материал: пластик 
Размер: 500 мл, 6,5*22 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
 ",Дизайн: красный цвет из наличия,130,"2,6","225,4",40-45,"3,2","281,4",30-35,4 500,3,13-15,
,,,"Дизайн: красный цвет из наличия + нанесение лого, 1 цвет, тампопечать",130,"2,9","251,2",,"3,5","307,1",,10 000,5,15-17,
 ,Пакет маленький,"Материал: картон
Размер: 210*170*80 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
*фабрике необходимо посомтреть макет, так как на маленькие тиражи делают только простые лого",Дизайн: красный цвет из наличия,200,"0,9","81,3",40-45,"1,2","103,9",30-35,4 500,5,15-17,
,,,"Дизайн: красный цвет из наличия + нанесение лого, 1 цвет, тампопечать",200,"1,7","145,6",,"1,9","168,3",,13 500,10,20-22,
 ,Пакет средний,"Материал: картон
Размер: 350*260*100 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
*фабрике необходимо посомтреть макет, так как на маленькие тиражи делают только простые лого",Дизайн: красный цвет из наличия,200,"1,2","102,7",40-45,"1,5","127,8",30-35,4 500,5,15-17,
,,,"Дизайн: красный цвет из наличия + нанесение лого, 1 цвет, тампопечать",200,"1,9","167,0",,"2,2","192,2",,13 500,10,20-22,
 ,Пакет большой,"Материал: картон
Размер: 260*350*130 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
*фабрике необходимо посомтреть макет, так как на маленькие тиражи делают только простые лого",Дизайн: красный цвет из наличия,200,"1,3","109,8",40-45,"1,6","138,1",30-35,4 500,5,15-17,
,,,"Дизайн: красный цвет из наличия + нанесение лого, 1 цвет, тампопечать",200,"2,0","174,1",,"2,3","202,5",,13 500,10,20-22,
,Скакалка,"Материал: пвх, ручка - пластик
Размер: 280 см
Упаковка: индивидуальный пакетик"," Дизайн: нанесение лого
Вид нанесния: тампопечать в 1 цвет на обеих ручках",140,"2,0","177,8",35-40,"2,4","209,2",25-30,4 900,5,15-17,
,Скакалка с настраиваемой длиной,"Материал: пвх и стальные нити, ручка - пластик
Размер: 300 см
Упаковка: индивидуальный пакетик"," Дизайн: нанесение лого
Вид нанесния: тампопечать в 1 цвет на обеих ручках",140,"2,5","222,0",35-40,"2,9","253,3",25-30,4 900,5,15-17,
 ,Пакет средний,"Материал: картон 200 г
Размер: 350*260*100 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
","Дизайн: красный цвет, печать лого 1+1 по макету (белый цвет с двух сторон - логотип на разных сторонах разный)",250,"3,2","277,4",35-40,"3,3","284,6",25-30,10 000,5,15-17,
 ,Пакет средний,"Материал: картон 200 г
Размер: 350*250*100 мм
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
","Дизайн: красный цвет, печать лого 1+1 по макету (белый цвет с двух сторон - логотип с двух сторон одинаковый)",250,"2,7","230,9",35-40,"2,8","240,1",25-30,10 000,5,15-17,
