,"Менеджер: Алина Титова
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Футболка эмбоссинг,"Материал: кулирка 100% 300 гр
Размер: S-3XL
Упаковка: инд пакет
Примечание от фабрики:  ЧЗ и СС включены в стоимость","Дизайн: 2 логотипа DTF грудь + спина, печатный размерник, отделка ворота кипером",500,"25,890","2174,46",50-55,"235,385","24244,61",45-50,8 650,7,17-19,
,,,,,,,,,,,,,,
 ,жилетка,"Материал: кашемир, наполнитель гусиный пух
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: вес изделия 600 грамм"," Дизайн: кожаная бирка с тиснением, вышивка",30,"941,006","82808,48",55-60,"235,385","24244,61",45-50,18 000,12,22-24,
,,,,100,"308,183","27120,07",55-60,"97,578","10050,54",45-50,,,,
 ,футболка,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: жаккардовая бирка,300,"32,579","3355,59",45-50,"33,679","3468,89",35-40,11 000,12,22-24,
,,,,500,"30,579","3149,66",45-50,"31,679","3262,96",35-40,,,,
 ,толстовка,"Материал: кашемир
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: кожаная бирка с тиснением, вышивка",100,"180,650","18606,98",55-60,"183,466","18897,02",45-50,18 000,12,22-24,
,,,,300,"169,684","17477,47",55-60,"172,500","17767,52",45-50,,,,
 ,плед,"Материал: кашемир
Размер: 100*150 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: паттерн плюш, кожаная бирка с тиснением",100,"208,811","21507,53",55-60,"213,911","22032,83",45-50,27 000,15,25-27,
,,,,300,"200,045","20604,62",55-60,"205,145","21129,92",45-50,,,,
 ,жилетка,"Материал: полиамид, подклад полиэстер
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: печать эмбелмы,1000,"32,682","3366,22",50-55,"36,082","3716,42",40-45,14 000,12,22-24,
,,,,3000,"29,391","3027,28",60-65,"32,591","3356,88",50-55,,,,
,,,,5000,"26,279","2706,77",70-75,"29,279","3015,77",60-65,,,,
 ,футболка,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: пафф печать, жаккардовая бирка, печать",1000,"13,178","1357,31",55-60,"14,028","1444,86",45-50,13 500,12,22-24,
,,,,3000,"11,259","1159,68",55-60,"12,059","1242,08",45-50,,,,
,,,,5000,"9,935","1023,30",55-60,"10,685","1100,55",45-50,,,,
 ,футболка,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: жаккардовая бирка, печать",1000,"12,601","1297,87",55-60,"13,451","1385,42",45-50,13 500,12,22-24,
,,,,3000,"10,716","1103,73",55-60,"11,516","1186,13",45-50,,,,
,,,,5000,"9,426","970,86",55-60,"10,176","1048,11",45-50,,,,
 ,футболка,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: пафф печать, жаккардовая бирка, печать",1000,"13,178","1357,31",55-60,"14,028","1444,86",45-50,13 500,12,22-24,
,,,,3000,"11,259","1159,68",55-60,"12,059","1242,08",45-50,,,,
,,,,5000,"9,935","1023,30",55-60,"10,685","1100,55",45-50,,,,
 ,футболка,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: вышивка, жаккардовая бирка, печать",1000,"12,601","1297,87",55-60,"13,451","1385,42",45-50,13 500,12,22-24,
,,,,3000,"10,716","1103,73",55-60,"11,516","1186,13",45-50,,,,
,,,,5000,"9,426","970,86",55-60,"10,176","1048,11",45-50,,,,
 ,толстовка,"Материал: хлопок 400 гр
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: флекстран, шелкография, жаккардовая бирка",1000,"31,291","3222,98",60-65,"33,558","3456,45",50-55,14 000,12,22-24,
,,,,3000,"28,897","2976,38",60-65,"31,030","3196,12",50-55,,,,
,,,,5000,"26,580","2737,72",60-65,"28,580","2943,72",50-55,,,,
 ,толстовка,"Материал: хлопок 400 гр
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: флекстран, шелкография, жаккардовая бирка",1000,"36,946","3805,41",60-65,"39,779","4097,24",50-55,14 000,12,22-24,
,,,,3000,"34,219","3524,55",60-65,"36,886","3799,22",50-55,,,,
,,,,5000,"31,569","3251,62",60-65,"34,069","3509,12",50-55,,,,
 ,толстовка,"Материал: хлопок 400 гр
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: флекстран, шелкография, выкрас эглета шнурка",1000,"38,388","3954,00",60-65,"41,222","4245,84",50-55,14 000,12,22-24,
,,,,3000,"35,577","3664,41",60-65,"38,243","3939,07",50-55,,,,
,,,,5000,"32,842","3382,74",60-65,"35,342","3640,24",50-55,,,,
 ,панама,"Материал: хлопок
Размер: универсальный
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: паттерн, печать",1000,"9,917","1021,43",55-60,"11,192","1152,75",45-50,11 000,12,22-24,
,,,,3000,"7,965","820,42",55-60,"9,165","944,02",45-50,,,,
,,,,5000,"6,956","716,50",55-60,"8,081","832,38",45-50,,,,
 ,кепка,"Материал: хлопок
Размер: универсальный
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: вышивка,1000,"8,694","895,50",55-60,"9,561","984,80",45-50,11 000,12,22-24,
,,,,3000,"7,358","757,85",55-60,"8,174","841,89",45-50,,,,
,,,,5000,"6,387","657,84",55-60,"7,152","736,63",45-50,,,,
 ,пижама женская,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: печать паттерна,1000,"25,453","2621,68",55-60,"27,153","2796,78",45-50,18 000,12,22-24,
,,,,3000,"23,131","2382,48",55-60,"24,731","2547,28",45-50,,,,
,,,,5000,"21,174","2180,93",55-60,"22,674","2335,43",45-50,,,,
 ,пижама мужская,"Материал: хлопок
Размер: по лекалам клиента
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: печать паттерна,1000,"32,512","3348,70",55-60,"34,892","3593,84",45-50,18 000,12,22-24,
,,,,3000,"29,774","3066,74",55-60,"32,014","3297,46",45-50,,,,
,,,,5000,"27,402","2822,42",55-60,"29,502","3038,72",45-50,,,,
 ,сумка для ноутбука,"Материал: оксфорд 1000Д, подклад полиэстер
Размер: 40*29*6 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: печать лого,1000,"24,678","2541,84",65-70,"28,546","2940,20",55-60,14 000,12,22-24,
,,,,3000,"22,945","2363,29",65-70,"26,585","2738,21",55-60,,,,
,,,,5000,"21,254","2189,16",65-70,"24,666","2540,65",55-60,,,,
 ,рюкзак,"Материал: кож зам
Размер: 31*39*14 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: тиснение логотипа,1000,"40,772","4199,48",65-70,"49,272","5074,98",55-60,14 000,12,22-24,
,,,,3000,"38,091","3923,42",65-70,"46,091","4747,42",55-60,,,,
,,,,5000,"35,454","3651,78",65-70,"42,954","4424,28",55-60,,,,
 ,рюкзак,"Материал: полиэстер
Размер: 43*28*15
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: печать эмблемы, запечатка подклада, гравировка на пуллерах",1000,"45,829","4720,37",65-70,"56,947","5865,52",55-60,21 000,12,22-24,
,,,,3000,"42,851","4413,66",65-70,"53,315","5491,45",55-60,,,,
,,,,5000,"39,916","4111,38",65-70,"49,726","5121,81",55-60,,,,
