,"Менеджер: 
Email: 
Телефон: ",,"Котелевская Анна
annakot@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Погремушка,"Материал: ткань, силикон
Размер: 22 х 14 см
Упаковка: на фото
",Дизайн: сток,140,"5,1",436,"61 044,2",35-40,"6,1","533,5","74 694,2",25-30,2 850,2,12-14,
 ,Бинокль,"Материал: абс пластик
Размер: 103 х 110 х 40 мм
Упаковка: коробка
Примечание от фабрики: цвета в доп фото",Дизайн: сток,122,"2,3","200,9","24 512,2",35-40,"2,7","238,1","29 042,1",25-30,2 650,2,12-14,
 ,Микроскоп,"Материал: пластик, электроника
Размер: 17 × 10.5 × 8 см
Упаковка: коробка
Примечание от фабрики: 3 цвета (в доп фото)
Технические характеристики:
Дисплей: 2-дюймовый IPS экран
Камера: 2 мегапикселя
Увеличение: до 1000x
Фокусировка: ручная настройка
Источник света: 8 LED-ламп
Формат изображения: JPG
Формат видео: AVI
Аккумулятор: 600 mAh
Время работы: около 2 часов
Время зарядки: около 2 часов
Совместимость: Windows XP/Vista/Win7/8/10/11, Mac OS 11.0 и выше",Дизайн: сток,223,"35,4","3066,9","683 920,9",35-40,"36,3","3159,1","704 472,6",25-30,4 750,2,12-14,
 ,Набор из неона (аналог),"Материал: пвх
Размер: зависит от формы
Упаковка: коробка
Примечание от фабрики: от USB или от батареек
Сделано методом литья в форму, невозможно согнуть или изменить форму самостоятельно
Форма выбирается из наличия ",Дизайн: сток,250,"6,6","568,9","142 225,0",40-45,"7,5","652,7","163 170,0",30-35,2 850,2,12-14,
,Развивающая игрушка с эффектом звука и белого шума (черепаха),"Материал: пластик 
Размер: 27x27x10 см
Упаковка: сток 
Примечание: необходимо подтверждение стоимости и наличия",Дизайн: сток,140,"14,1","1180,3","165 242,0",37-42,"15,8","1328,7","186 018,0",27-32,3 300,5,15-17,
,Рюкзак с джиббитсами,"Материал: силикон 
Размер: 208*99*212 мм
Упаковка: сток
Примечание: необходимо подтверждение стоимости и наличия",Дизайн: сток,122,"18,2","1525,4","186 098,8",37-42,"20,9","1757,0","214 354,0",27-32,4 100,5,15-17,
,конструктор,"Материал: пластик
Упаковка: сток
Примечание: необходимо подтверждение стоимости и наличия",Дизайн: сток,223,"23,0","1928,0","429 944,0",37-42,"25,7","2158,0","481 234,0",27-32,4 900,5,15-17,
,машинка,"Материал: пластик
Упаковка: сток
Примечание: необходимо подтверждение стоимости и наличия",Дизайн: сток,223,"24,6","2069,3","461 453,9",37-42,"27,6","2315,0","516 245,0",27-32,5 100,5,15-17,
,Программируемый конструктор,"Материал: пластик
Упаковка: сток
Примечание: необходимо подтверждение стоимости и наличия",Дизайн: сток,250,"35,0","2936,1","734 025,0",37-42,"37,6","3158,9","789 725,0",27-32,5 200,5,15-17,
,наушники,"Материал: PC+ABS
Размер: 12*9*4
Упаковка: инд пакет
Примечание от фабрики:  рабочее время без зарядки 4-8 ч"," Дизайн: с лого на сам товар, лазерная гравировка",415,"9,1","775,6","321 865,7",45-50,"9,6","816,9","339 017,7",35-40,5 871,5,15-17,
,наушники,"Материал: пластик
Размер: 54.1*52*45.2 мм
Упаковка: инд коробка", Дизайн: без брендирования  ,400,"11,296","994,08","397 633,8",55-60,"11,744","1033,45","413 380,9",45-50,4 000,"3,0",13 - 15,
,наушники,"Материал: ABS
Размер: 25*13*30 см
Упаковка: инд пакет
Примечание от фабрики:  
410 г,  рабочее время без зарядки 8-12 ч, Емкость аккумулятора: 300 мАч"," Дизайн: с лого на сам товар, лазерная гравировка",750,"9,5","803,1","602 340,0",45-50,"10,6","898,7","674 055,0",35-40,4 026,5,15-17,
,наушники,"Материал: ABS
Размер: 25*13*30 см
Упаковка: инд пакет
Примечание от фабрики:  
410 г,  рабочее время без зарядки 12-14 ч, заряжается - 2,5 часа"," Дизайн: с лого на сам товар, лазерная гравировка",750,"8,5","723,8","542 872,5",45-50,"9,7","827,0","620 250,0",35-40,"4030,0",5,15-17,
