,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,мешок  (доставка контейнером),"Материал: спанбонд
Размер: 29х12 см
Упаковка: OPP-пакет
Примечание от фабрики: мешок из спанбонда с брендированием"," Дизайн: нанесение рисунка и логотипа в 1 цвет, Pantone – 6215 С/447 U",400000,"0,3","30,2",125-130 кд,,,,"4 500,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,тапочки (доставка контейнером),"Материал: махра плотностью не менее 125 г/м2
Размер: размер 44 с полнотой, рассчитанной на высокий подъем ноги
Упаковка: OPP-пакет
Примечание от фабрики: окантовка косой бейкой Оксфорд, закрытый мыс, подошва из ЭВА в цвет материала тапка, усиленная пятка"," Дизайн: цвет серый, Pantone Cool Gray 9 C или Cool Gray 11 C",400000,"2,0","194,8",125-130 кд,,,,"18 000,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,маска для глаз,"Материал:  оксфорд 
Размер: 190*80 мм;
Упаковка: заводская упаковка
Примечание от фабрики: поставка в сложенном виде без упаковки в индивидуальный пакет"," Дизайн:  цвет серый, Pantone Cool Gray 9 C или Cool Gray 11 C",75000,"1,02","104,21",67-77 кд,,,,"18 100,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,карандаш ,"Материал: дерево
Размер: 10 см
Упаковка: заводская упаковка
Примечание от фабрики: карандаш из дерева с нанесением лого", Дизайн: лого S7 Airlines в один цвет,125000,"0,1","8,4",72-82 кд,,,,"7 200,00",12-14 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,подставка для телефона,"Материал: металл матовый
Размер: 12,8*6,1 см
Упаковка: заводская упаковка
Примечание от фабрики: подставка для телефона, повтор тиража", Дизайн: нанесение гравировки в виде логотипа S7 Airlines на одну сторону,2500,"5,6","521,0",57-67 кд,,,,"16 000,00",8-10 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,коробка подарочная,"Материал: мкартон, плотность 270 – 300 г/м2
Размер: 12,8*6,1 см под размер подставки
Упаковка: заводская упаковка
Примечание от фабрики: конструкция коробки – «зубная паста»"," Дизайн: печать рисунка по макету Заказчика; Pantone 2254 C/2254 U и 7480С / 7481 U; нанесение матовой софт тач ламинации
",2500,"0,4","38,5",47-57 кд,,,,"9 900,00",7-9  кд (фото и видео); 12-14 кд (отправка в Москву),
 ,мешок  (доставка контейнером),"Материал: спанбонд
Размер: 200*120 мм, глубина по выкройке участника, но не менее 60 мм
Упаковка: OPP-пакет
Примечание от фабрики: мешок из спанбонда с брендированием. Без замка сверху."," Дизайн: Pantone – 6215 С/447 U; вертикальный, нанесение рисунка в один цвет по макету Заказчика. Возможна адаптация макета Заказчика под выкройку Участника.
",100000,"0,3","30,2",125-130 кд,,,,"4 500,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,тапочки с бумажной лентой (доставка контейнером),"Материал:  материал союзки и подошвы – ЭВА, плотность 40 шор
Размер: 44-45 с полнотой, рассчитанной на высокий подъем ноги;
Упаковка: OPP-пакетик
Примечание от фабрики: поставят в сложенном виде с бумажной лентой (45 мм*350 мм), выкрасят в Pantone 6215 С/447 U, 382 С/389 U. 200000 = 100000 шт набор 1 + 100000 шт набор 2"," Дизайн: Pantone Cool Gray 9 C или Cool Gray 11 C; подошва из ЭВА в цвет материала тапка, толщина подошвы не менее 55 мм; окантовка косой бейкой Оксфорд, закрытый мыс
",200000,"1,9","186,2",125-130 кд,,,,"12 900,00",8-10 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,маска для глаз (доставка контейнером),"Материал:  оксфорд 
Размер: 190*80 мм;
Упаковка: заводская упаковка
Примечание от фабрики: поставка в сложенном виде без упаковки в индивидуальный пакет. "," Дизайн:  цвет серый, Pantone Cool Gray 9 C или Cool Gray 11 C",200000,"0,649","62,95",100-105 кд,,,,"18 100,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,маска для глаз аналог (доставка контейнером),"Материал:  оксфорд 
Размер: 190*80 мм;
Упаковка: заводская упаковка
Примечание от фабрики: поставка в сложенном виде без упаковки в индивидуальный пакет"," Дизайн:  цвет серый, Pantone Cool Gray 9 C или Cool Gray 11 C",200000,"0,3","28,78",100-105 кд,,,,"9 900,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,пакет ,"Материал:  полиэтилен
Размер: 200*120 мм, глубина не менее 60 мм;
Упаковка: заводская упаковка
Примечание от фабрики: фабрика не делает пакеты из материала PET, делает из PET только коробки, с зиплок замком. В стоимость образца включено открытие формы, открытие формы для зип-замка, дизайн по макету.", Дизайн:  по макету с фото,100000,"2,3","238,2",50-60 кд,,,,"48 900,00",14-16 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"Рожок для обуви (указана примерная цена, точная после предоставления макета)
","Материал:  ПП
Размер: примерный размер 14*8 см (по макету клиента)
Упаковка: заводская упаковка
Примечание от фабрики: необходимо открытие формы

Стоимость открытия формы включена в стоимость за штуку"," Дизайн:  по макету клиента, нанесение логотипа в два цвета",200000,"0,4","40,3",70-75 кд,,,,"30 000,00",33-35 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"Рожок для обуви (указана примерная цена, точная после предоставления макета)
","Материал:  ПП
Размер: примерный размер 14*8 см (по макету клиента)
Упаковка: заводская упаковка
Примечание от фабрики: необходимо открытие формы

Стоимость открытия формы включена в стоимость за штуку"," Дизайн:  по макету клиента, нанесение логотипа в два цвета",400000,"0,4","39,9",70-75 кд,,,,"30 000,00",33-35 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"Бант
(стоимость за упаковку 6 шт)","Материал:  атлас
Размер: примерный размер 6*5,5 см
Упаковка: 6 шт в упаковке
Примечание от фабрики: банты с клеевой каплей

", Дизайн:  сток,300000,"1,8","170,9",60-65 кд,,,,"2 200,00",3-6 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"лот 12 (цена за набор указана примерная, точная будет известна после предоставления макетов)","
Размер: 29х12 см
Упаковка: мешок из снапборда
Примечание от фабрики: в набор входит тапочки махра полностью, рожок для обуви", Дизайн:  по макету клиента,400000,"6,2","641,9",125-130 кд,,,,"47 200,00",12-14 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"лот 13 (цена за набор указана примерная, точная будет известна после предоставления макетов)","
Размер: 12,8*6,1 см под размер подставки
Упаковка: картонная коробка
Примечание от фабрики: в набор входит подставка под телефон и коробка", Дизайн:  по макету клиента,2500,"6,5","642,1",57-67 кд,,,,"24 800,00",12-14 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"лот 15 (цена за набор указана примерная, точная будет известна после предоставления макетов)","
Размер: 29х12 см
Упаковка: мешок из спанборда
Примечание от фабрики: в набор входит мешок, тапки с бумажной лентой, маска, рожок", Дизайн:  по макету клиента,100000,"6,5","673,0",125-130 кд,,,,"60 900,00",12-14 кд (фото и видео); 12-14 кд (отправка в Москву),
 ,"лот 16 (цена за набор указана примерная, точная будет известна после предоставления макетов)","
Размер: 200*120 мм, глубина не менее 60 мм;
Упаковка: пакет из полиэтилена с зип-локом
Примечание от фабрики: в набор входит пакет, тапки с бумажной лентой, маска, рожок. В стоимость образца включено открытие формы для пакета, зип лока, нанесения изображения клиента.", Дизайн:  по макету клиента,100000,"7,1","742,3",125-130 кд,,,,"105 300,00",12-14 кд (фото и видео); 12-14 кд (отправка в Москву),
