,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,ежедневник,"Материал: кож зам
Размер: 90х129 мм
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество стандарт", Дизайн: ,1000,"2,626","241,57",40-45,"3,374","310,39",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"2,556","235,13",40-45,"3,304","303,94",30-35,,,
,,,,5000,"2,467","226,94",40-45,"3,215","295,75",30-35,,,
 ,ежедневник,"Материал: кож зам
Размер: 90х129 мм
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество премиум", Дизайн: ,1000,"3,203","294,66",40-45,"3,951","363,48",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"3,133","288,22",40-45,"3,881","357,03",30-35,,,
,,,,5000,"3,044","280,03",40-45,"3,792","348,84",30-35,,,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество стандарт", Дизайн: ,1000,"5,232","509,08",40-45,"6,728","654,64",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"5,134","499,52",40-45,"6,630","645,08",30-35,,,
,,,,5000,"4,930","479,64",40-45,"6,426","625,20",30-35,,,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество премиум", Дизайн: ,1000,"5,809","565,23",40-45,"7,305","710,79",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"5,711","555,67",40-45,"7,207","701,23",30-35,,,
,,,,5000,"5,507","535,79",40-45,"7,003","681,35",30-35,,,
 ,ежедневник,"Материал: кож зам
Размер: 10,5x3x19 см
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество стандарт.
", Дизайн: ,1000,"4,287","394,45",40-45,"5,222","480,47",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"4,131","380,04",40-45,"5,066","466,06",30-35,,,
,,,,5000,"4,013","369,20",40-45,"4,948","455,22",30-35,,,
 ,ежедневник,"Материал: кож зам
Размер: 10,5x3x19 см
Упаковка: инд пакет
Примечание от фабрики: 100 листов, качество стандарт.
", Дизайн: ,1000,"4,720","434,26",40-45,"5,655","520,28",30-35,"9 000,00",17 дней (фото / видео 5-7 дней),
,,,,3000,"4,564","419,86",40-45,"5,499","505,88",30-35,,,
,,,,5000,"4,446","409,01",40-45,"5,381","495,03",30-35,,,
