,"Менеджер: Емельянова Полина
Email: polinae@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Петли - держатели для очков,"Материал: неопрен
Размер: 420 мм
Упаковка: 
Примечание от фабрики: ", Дизайн: ,600,"0,5","47,0",27-32,"0,5","49,9",17-22,"2 000,00",12-14,
,,," Дизайн: нанесение лого на ленту
вид нанесения- шелкография",600,"0,7","66,7",32-37,"0,7","69,6",22-27,"4 500,00",15-19,
,Брелок ,"Материал: акрил+ проволочный трос
Размер: 4*4
Упаковка: 
Примечание от фабрики: ", Дизайн: нанесение лого,600,"0,8","76,4",30-35,"0,9","84,4",20-25,"6 000,00",13-15,
,Ремувка ,"Материал: PVC
Размер: 4*4
Упаковка: 
Примечание от фабрики: люверс+ кольцо 
открытие форм фактора ", Дизайн: нанесение лого,600,"1,1","104,5",35-40,"1,1","109,3",25-30,"18 000,00",17-19,
,Зонт ,"Материал: неопрен, сталь
Размер: 31 дюйма, 8 спиц  
Упаковка: тканевый чехол 
Примечание от фабрики: автоматическое открытие "," Дизайн: нанесение лого
Вид нанесения- цифовая печать ",600,"10,8","1048,9",40-45,"11,9","1158,4",30-35,"13 500,00",15-17,
,Брелок ,"Материал: металлический карабин, нейлоновый шнур с металлическими наконечниками
Размер: длина шнуров около 15 см 3/4 мм, карабин 7,5 см
Упаковка: пластиковый пакетик
Примечание от фабрики: "," Дизайн: выбор шнуров из раскладки, гравировка на карабине",600,"3,0","293,5",40-45,"3,1","305,7",30-35,"6 400,00",20-23,
,Бирка,"Материал: искусственная кожа
Размер: 5,5 х 2 х 1 см
Упаковка: сток",Дизайн: нанесение логотипа,600,"1,8","174,3",40-45,"1,9","189,1",30-35,"9 150,00",19-22,
,Сумка поясная,"Материал: оксфорд снаружи и подкладка из полиэстера
Размер: 32 х 12 х 18
Упаковка: сток",Дизайн: индивидуальный цвет; нанесение логотипа шелкографией,1000,"16,5","1637,1",55-60,"18,3","1809,8",45-50,"17 200,00",19-22,
,,,,3000,"15,4","1521,7",,"17,1","1694,5",,,,
 ,Сумка-шоппер,"Материал: ткань
Размер: примерно 43 * 28 см
Длина ручек: примерно 31 см
Упаковка: сток
Примечание от фабрики: нанесение лого одним цветом", Дизайн: нанесение лого щелкографией,1000,"4,3","435,4",40-45,"4,7","472,4",30-35,"12 700,00",17-19,
,,,,3000,,"434,2",,,"471,2",,,,
,Сумка-шоппер,"Материал: полиэстер с хлопком натурального цвета + полиэстер с серебряным покрытием
Размер: 22 * 28 * 11 см, ручка-лента: 2,5 * 40 см
Упаковка: сток",Дизайн: нанесение логотипа,500,"3,7","374,2",50-55,"4,1","411,2",40-45,"12 700,00",15-17,
,,,,1000,"3,3","335,4",,"3,7","372,4",,,,
,,,,3000,"3,3","331,4",,"3,6","368,4",,,,
,Сумка-шоппер,"Материал: холст
Размер: индивидуальный
Упаковка: сток
Примечание от фабрики: цены примерные и будут зависеть от фактических данных","Дизайн: нанесение логотипа, подкладка-мешок внутри сумки",500,"11,7","1181,4",60-65 дней,"12,7","1292,5",50-55 дней,"15 300,00",17-19 дней,
,,,,1000,"11,4","1151,2",,"12,4","1262,2",,,,
,,,,3000,"11,1","1121,5",,"12,1","1232,5",,,,
,Зонт (закрывается как обычно),"Материал: зонтичная ткань (понж); плотность 190Т
Размер: 120 см диаметр, 80 см трость
Упаковка: сток",Дизайн: полная запечатка (цифровая печать и шелкография),500,"9,8","970,3",40-45 ,"11,7","1157,7",30-35,"9 500,00",15-17,
,,,,1000,"9,4","934,4",,"11,3","1121,7",,,,
,,,,3000,"9,2","910,4",,"11,1","1097,7",,,,
,Зонт (перевернутый способ закрытия),"Материал: зонтичная ткань (понж); плотность 190Т
Размер: 120 см диаметр, 80 см трость
Упаковка: сток",Дизайн: полная запечатка (цифровая печать и шелкография),500,"10,4","1033,2",40-45 ,"12,3","1220,5",30-35,"9 500,00",15-17,
,,,,1000,"10,1","997,2",,"12,0","1184,6",,,,
,,,,3000,"9,6","953,2",,"11,5","1140,6",,,,
