,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Термокружка ,"Термокружка с ремешком
400 мл
Нанесение в двух местах (фото пример)
Коробка фабричная (фото пример)
",2808,"6,9","616,9","8,2","728,3",45-50,35-40,стакан с нанесеним и рмувка  8000,17-20,
,Термокружка с сумкой,"Термокружка с ремешком + зарфом из кожзама и веревочками 
400 мл
Нанесение в двух местах (фото пример)
Коробка фабричная (фото пример)
",2808,"10,1","899,4","11,4","1010,8",50-55,40-45,стакан с нанесеним и ремувка + зарф из кожзама  17500,20-22,
,Картхолдер кожа ,"Материал: кожа
Инд упаковка
2264 шт на каждый макет",4528,"5,0","445,2","5,3","470,9",45-50,35-40,15 800,15-20,
,Картхолдер кожзам ,"Материал: кожзам
Инд упаковка
2264 шт на каждый макет",,"2,4","213,4","2,7","239,1",45-50,35-40,6500,15-20,
,Картхолдер кожа + веревка  + акриловая буква ,"Материал: кожа
Инд упаковка
2264 шт на каждый макет
Акриловая буква толщина 4- 5 мм 
Веревка с металл кружочком и кнопкой- регулятором 60 см в сложенном состоянии ",4528,"6,8","607,5","7,1","635,7",45-50,40-45,15 800 + веревка 3000 + акрил 3000 ,15-20,
,Картхолдер кожа + веревка  + акриловая буква ,"Материал: кожзам
Инд упаковка
2264 шт на каждый макет
Акриловая буква толщина 4- 5 мм 
Веревка с металл кружочком и кнопкой- регулятором 60 см в сложенном состоянии ",,"4,2","371,3","4,5","399,5",45-50,40-45,6500 + веревка 3000 + акрил 3000 ,15-20,
,Веревка + акрил ,"Акриловая буква толщина 4- 5 мм 
Веревка с металл кружочком и кнопкой- регулятором 60 см в сложенном состоянии ",4528,"2,3","204,8","2,5","217,7",40-45,30-35, веревка 3000 + акрил 3000 ,15-20,
,Брелок,"Брелок состоит ЖЕЛТОГО металлического тактического карабина с муфтой , размер карабина 6-8 см.
1. Шнурки: бирюзовый, розовый, фиолетовый, окрашивание в цвет пантона . Толщина шнурков 4-6 мм. Концы шнура оформлены цветными концевиками (цвет согласно макету)- запайками. Длина шнурков в сложении - 8-10 см, в развороте 16-20 см; шнурки крепятся к карабину огибая его, складываясь пополам и закреплены жаккардовой закрепкой ниже места крепления к карабину, материал ПЭ, ширина 1,2 мм. Длина брелка в собранном виде до 15 см. (концы завязанной конструкции равнозначны по длине). Шнур мягкий, круглый, легко гнется. Матовый без блеска.
2. Подвеска-билайн с пластиковыми бусинами-кубиками, желтого (близкий к 7408С) цвета с буквами б и л а й н. Бусинки-отдельные друг от друга. Буквы выполнены черным цветом, напечатаны с двух сторон. Подвеска собрана на шнурок желто-черного цвета, плетения ""змейка"".
3. Подвеска индивидуальной формы. размер 2*2 см, +/-2 мм, материал серебристый металл, заливка эмалями. Подвеска 2-сторонняя, толщина 2-3 мм, с 2 сторон макет одинаковый.",2960,"4,6","426,6","5,0","455,2",50-55,40-45,"71500 - открытие молдов на сердце, на буквы, окрашивание шнурков в пантон, образцы кончиков шнурков",37-40,
,,,1560,"4,9","453,8","5,2","482,5",50-55,40-45,"73900 - открытие молдов на сердце, на буквы, окрашивание шнурков в пантон, образцы кончиков шнурков",37-40,
,,,3000,"4,6","426,6","5,0","455,2",50-55,40-45,"73900 - открытие молдов на сердце, на буквы, окрашивание шнурков в пантон, образцы кончиков шнурков",37-40,
,,,4000,"4,5","414,0","4,8","441,9",55-60,45-50,"73900 - открытие молдов на сердце, на буквы, окрашивание шнурков в пантон, образцы кончиков шнурков",37-40,
,,,5000,"4,4","401,4","4,7","428,4",55-60,45-50,"73900 - открытие молдов на сердце, на буквы, окрашивание шнурков в пантон, образцы кончиков шнурков",37-40,
,Браслет,"Браслет из паракорда. Цвета: фуксия, черный, желтый, индивидуальное изготовление. Браслет состоит из шнура 4-7 мм, 100% нейлон, с регулировкой по длине при помощи закрепки. Закрепку формы куб из 3Д-уф-смолы методом 3д печати, с объемным логотипом, крашеную в массе, с отверстием под шнуры. Куб является регулятором размера. Размер куба ориентировочно 1,5Х1,5см. Концы браслета обработаны черными концевиками из паракорда 2мм (оплетка). Свободные концы браслета - длина до 10 см каждый , диаметр браслета 18- 22 см (на усмотрение заказчика).",2000,"3,3","294,6","3,4","304,6",45-50,35-40,54600 - молд на закрепку и шнур,27-30,
,,Шнур из раскладки фабрики (см. доп. фото),1200,"3,1","279,8","3,3","289,8",45-50,35-40,37700 - молд на закрепку,19-22,
