,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Таблетница,"Материал: пластик
Цвет: Белый+фиолетовый+голубой
Размер: 18,3*9,1*3,3см
Вес: 82г
Нанесение: шелкография 1 цвет",1000 ЖД,"1,7","163,0",55-60 календ.дней,12 500руб.,"Фото/видео: 8-10 календ.дней
Доставка: 12-14 календ.дней",
,,,1000 АВИА,"2,1","204,0",45-50 календ.дней,,,
,,,1000 АЛЬТ,"1,4","132,0",60-65 календ.дней,,,
,Таблетница,"Материал: пластик
Цвет: голубой / фиолетовый / черный / белый / красный
Размер: 22*5,2*2,3см
Вес: 50г
Нанесение: шелкография 1 цвет",1000 ЖД,"1,4","135,0",50-55 календ.дней,9 950руб.,"Фото/видео: 9-10 календ.дней
Доставка: 12-14 календ.дней",
,,,1000 АВИА,"1,7","157,0",40-45 календ.дней,,,
,,,1000 АЛЬТ,"1,3","121,0",55-60 календ.дней,,,
,Таблетница,"Материал: пластик
Цвет: розовый / сине-розовый / зеленый / черный
Размер: 8см
Вес: 70г
Нанесение: шелкография 1 цвет (вместо заводского логотипа)",1000 ЖД,"3,5","324,0",40-45 календ.дней,7 450руб.,"Фото/видео: 5-7 календ.дней
Доставка: 12-14 календ.дней",
,,,1000 АВИА,"3,9","363,0",30-35 календ.дней,,,
,,,1000 АЛЬТ,"3,2","301,0",45-50 календ.дней,,,
,Таблетница,"Материал: пластик
Цвет: голубой
Размер: 9*4,5*1,9см
Вес: 20г
Нанесение: шелкография 1 цвет",3000 ЖД,"0,5","48,0",60-65 календ.дней,12 550руб.,"Фото/видео: 9-10 календ.дней
Доставка: 12-14 календ.дней",
,,,3000 АВИА,"0,6","54,0",50-55 календ.дней,,,
,,,3000 АЛЬТ,"0,5","44,0",65-70 календ.дней,,,
,Таблетница,"Материал: пластик
Цвет: белый
Размер: 6,5*3,9*2,1см
Вес: 15г
Нанесение: шелкография 1 цвет",3000 ЖД,"0,5","45,0",60-65 календ.дней,12 500руб.,"Фото/видео: 9-10 календ.дней
Доставка: 12-14 календ.дней",
,,,3000 АВИА,"0,5","51,0",50-55 календ.дней,,,
,,,3000 АЛЬТ,"0,4","42,0",65-70 календ.дней,,,
