,"Менеджер: 
Email: 
Телефон: ",,"Багандова Виктория
victoriabagandova@megamind.ru
+8 (991) 641-94-30",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб",Цена без наценки ,"Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Чехол для проводов ,"Материал: Искусственная кожа 
Размер:
10*8 (в собранном виде)
10*30 (в разобранном виде)
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"3,11",276.1,828180,55-60,,,0,,"13,000",7647.06,10,20-22,
 ,Чехол для проводов ,"Материал: Натуральная кожа 
Размер:
10*8 (в собранном виде)
10*30 (в разобранном виде)
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"19,47",1655.6,4966830,55-60,,,0,,"18,000",10588.24,10,20-22,
 ,Чехол для проводов ,"Материал: Искусственная кожа 
Размер:
8*8см
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"0,77",66.4,199200,55-60,,,0,,"10,500",6176.47,7,17-19,
 ,Чехол для проводов ,"Материал: Натуральная кожа 
Размер:
8*8см
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"2,92",251.7,754980,55-60,,,0,,"13,100",7705.88,7,17-19,
 ,Органайзер для проводов - фабрика Х,"Материал: Натуральная кожа, искусственная кожа 
Размер: см. доп фото
Упаковка: заводская упаковка 
Примечание от фабрики: 
Закупаем зеленую искусственную кожу у другой фабрики (софттач, лаймовый цвет, см. доп. фото) "," Дизайн: 
Логотип - ""S7"" на внутреннем кармашке - тиснение 
2 слоя:
Снаружи натуральная кожа (цвет 12-1 из раскладки) 
Внутри ПУ, цвета из каталога 
Внутренняя организация органайзера см. доп фото

",3000,"21,3",1808.2,5424540,60-65,"23,04",1961.9,5885670,55-60,"23,000",15500.00,10,20-22,
,,,,5000,"21,01",1783.4,8916900,60-65,"21,76",1852.9,9264450,55-60,,,,,
 ,Чехол для проводов ,"Материал: Натуральная кожа
Размер:
8*8см
Упаковка: заводская упаковка
Примечание от фабрики: 

"," Дизайн: 
Логотип - ""S7"" на задней стороне органайзера, тиснение 
Варианты фурнитуры см. доп. фото 
Цвет - 610 из раскладки (см. доп. фото) 
",3000,"3,13",271.0,812940,50-55,,,0,,"17,800",10300.00,10,20-22,
,,,,5000,"3,04",263.4,1316900,50-55,,,0,,,,,,
