,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,,,,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Образец актуальное,,,Доставка долгое ЖД,,,Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Флешка,"""

Цвет: Синий
Материал: Металл
Размеры: 3,8 см х 1,2 см х 0,4 см
Объем 32ГБ
Карабин металл как на фото
Печать 1 цвет (100% желтый) с двух сторон



Пример формы 
https://illan-gifts.ru/product/fleshka-metallycheskaia-na-8-gb-artik-usb-2_0-syniaia/

""


","Материал: металл
Размер: 3.8 х 1.2 х 0.4 см
Объем: 32 гб
Фурнитура: карабин
Цвет: синий
Упаковка: инд пакет"," Дизайн: печать лого, 1+1",500,прорабатываем с другой фабрикой,,,,,,"5,0","425,5",45-50,"5,1","430,3",35-40,8 700,7,17-19,
,,,,,1000,,,,,,,"4,8","408,9",,"4,9","413,7",,,,,
,,,,,2000,,,,,,,"4,7","395,6",,"4,7","400,4",,,,,
,,,,,5000,,,,,,,"4,5","382,7",,"4,6","387,4",,,,,
,,,,,10000,,,,,,,"4,4","370,1",,"4,4","374,8",,,,,
 ,"Ручка пластиковая 


","""Механизм ручки: поворотный.
Стержень замене не подлежит.
Цвет чернил: синий.
Стержень Х20, диаметр 0,7 мм.

Материал: Пластик
Размеры: 14 см х 0 см х 0,9 см

Нанесени 1 цвет (100% желтый) , на корпусе и клипе согласно визуалу. 

Пример формы
https://illan-gifts.ru/product/ruchka-sharykovaia-plastykovaia-global-temno-syniaia/""



","Материал: пластик 
Размер: 4 см х 0 см х 0,9 см
Упаковка: в пакет по несколько сотен ", Дизайн: нанесение в 1 цвет ,50000,1000 из наличия \ 10 000 кастом ,7,17-19,"0,1","9,8",70-80,"0,1","11,7",50-60,"0,2","13,8",40-50,10 000,7,17-19,
,,,,,100000,,,,"0,1","9,4",75-85,"0,1","11,5",55-65,"0,2","13,6",45-55,,,,
,,,,,500000,,,,"0,1","8,9",85-90,"0,1","11,1",65-75,"0,2","13,2",55-65,,,,
,,,,,1000000,,,,"0,1","8,3",90-95,"0,1","10,7",70-80,"0,2","12,8",60-70,,,,
,,,,,1500000,,,,"0,1","7,9",95-105,"0,1","10,3",75-85,"0,2","12,4",65-75,,,,
 ,"Шоппер


","""Размер 35*40 см, ручки 2*50 см
Материал Саржа 240 гр (+-5)
Цвет белый
Молния в цвет изделия 
Нанесение 25*25 см, 1 цвет (синий) с одной стороны 
""


","Размеры: 34 × 40 см, ручка: 2 × 50 см
Материал: саржа, 225 г/м²
Цвет: белый
Молния: цвет совпадает с цветом сумки"," Дизайн:  25 × 25 см, одноцветная (синяя), односторонний шелкографический принт",50000,нет в наличии  \ 7000 кастом,7,17-19,"1,4","117,6",60-65,"1,5","127,4",45-50,"2,0","166,4",35-40,4 800,5,15-17,
,,,,,100000,,,,"1,4","117,6",,"1,5","125,6",,"2,0","166,4",,,,,
,,,,,250000,,,,"1,3","113,5",70-75,"1,4","121,5",60-65,"1,9","162,3",50-55,,,,
,,,,,500000,,,,"1,3","109,4",95-100,"1,4","115,6",85-90,"1,9","158,2",75-80,,,,
,,,,,1500000,,,,"1,3","109,4",160-165,"1,3","112,9",150-155,"1,9","158,2",140-145,,,,
 ,Флешка 2,"""

Цвет: Синий
Материал: Металл
Размеры: 3,8 см х 1,2 см х 0,4 см
Объем 32ГБ
Карабин металл как на фото
Печать 1 цвет (100% желтый) с двух сторон



Пример формы 
https://illan-gifts.ru/product/fleshka-metallycheskaia-na-8-gb-artik-usb-2_0-syniaia/

""


","Цвет: синий
Материал: металл
Размер: 3,8 см × 1,2 см × 0,4 см
Объём памяти: 32 ГБ
Металлический карабин, как на фото"," Дизайн: печать лого, 1+1",500,2070 из наличия \ 8700 кастом,5,15-17,,,,"4,0","338,8",32-37,"4,0","341,5",22-27,8 700,7,17-19,
,,,,,1000,,,,,,,"4,0","337,1",34-39,"4,0","339,8",24-29,,,,
,,,,,2000,,,,,,,"4,0","336,2",38-43,"4,0","338,9",28-33,,,,
,,,,,5000,,,,,,,"3,9","335,7",50-55,"4,0","338,4",40-45,,,,
,,,,,10000,,,,,,,"3,9","335,5",70-75,"4,0","338,2",60-65,,,,
