,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кубок ,"Материал: 
Размер: 90*90*350 мм
Упаковка: красная коробка 
Примечание от фабрики: ",, Дизайн: из дизайна могут предложить стикер ,16,"141,3","12007,3",35-40,"152,0","12916,3",25-30,15 000,2,12-14,
,,,,,86,"119,2","10135,5",35-40,"129,6","11018,5",25-30,,,,
Расчет от 29.05 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,Ваза ,"Материал: керамика 
Размер: 30*13 см 
Упаковка: красная коробка 
Примечание от фабрики: 
белый, оранжевый и зеленый",," Дизайн: из наличия , кастом от 1000 шт",16\84,"26,5","2254,0",30-35,"32,8","2783,8",20-25,6 000,2,12-14,
,,"Материал: керамика 
Размер: 25*11 см 
Упаковка: красная коробка 
Примечание от фабрики: 
белый, оранжевый и зеленый",,,,"16,8","1426,1",,"20,7","1761,6",,6 000,2,,
 ,Ваза ,"Материал: керамика
Размер: 16*16*20 см 
Упаковка: инд коробка 
Примечание от фабрики: ",," Дизайн:из наличия , кастом не делают ",16\84,"19,3","1637,8",30-35,"23,3","1982,1",20-25,6 000,2,12-14,
 ,Ваза ,"Материал: керамика
Размер: 9*20,5 см 
Упаковка: инд коробка 
Примечание от фабрики: ",," Дизайн:из наличия , кастом не делают ",16\84,"34,9","2962,6",30-35,"41,1","3492,5",20-25,6 000,2,12-14,
 ,Кубок ,"Материал: керамика 
Размер: 18*5,2 
Упаковка:  инд коробка 
Примечание от фабрики: ",," Дизайн: из наличия, кастом от 300 шт  ",16\84,"10,0","847,1",30-35,"12,8","1088,7",20-25,6 500,2,12-14,
 ,Кубок ,"Материал: керамика 
Размер: 23*5,8 см 
Упаковка: инд коробка 
Примечание от фабрики: ",," Дизайн: из наличия, кастом от 300 шт  ",16\84,"14,6","1238,9",30-35,"18,3","1556,8",20-25,6 500,2,12-14,
 ,Кубок ,"Материал: металл 
Размер: 20*7 примерно 
Упаковка: инд коробка 
Примечание от фабрики: ",, Дизайн: уф лого\гравировка ,16\84,"70,8","6021,3",30-35,"81,2","6904,4",20-25,15 000,7,17-19,
 ,Ваза ,"Материал: K9 
Размер: 90*90*260
Упаковка: инд коробка 
Примечание от фабрики: 
в наличии ничего нет, производство от 80 шт ",, Дизайн: стоковый вариант ,от 80 ,"52,4","4449,5",40-45,"59,4","5045,5",30-35,15 000,7,17-19,
 ,Кубок ,"Материал: K9 
Размер: 20*6 см примерно 
Упаковка: инд. коробка  
Примечание от фабрики: ",, Дизайн: гравировка на подставке от 20 шт,16\84,"20,9","1775,1",35-40,"24,0","2040,0",25-30,8 000,5,15-17,
Расчет от 25.06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,Ваза,"Материал: керамика
Размер: 21*6,8*7,2 см
Упаковка: индивидуальная коробка

Гравировка логотипа на дне от 50 шт",," Дизайн: 16 шт - из наличия, 86 шт - с гравировкой логотипа на дне ",16,"9,5","805,8",32-37,"11,9","1011,5",22-27,3 100,5,15-17,
,,,,,86,"8,1","686,3",32-37,"10,3","871,4",22-27,3 100,5,15-17,
 ,Ваза,"Материал: керамика
Размер: 8*20,5*3,5 см
Упаковка: индивидуальная коробка

Гравировка логотипа на дне от 50 шт",," Дизайн: 16 шт - из наличия, 86 шт - с гравировкой логотипа на дне ",16,"9,5","807,6",32-37,"12,3","1047,6",22-27,3 300,5,15-17,
,,,,,86,"8,1","687,9",32-37,"10,6","903,9",22-27,3 300,5,15-17,
 ,Ваза,"Материал: керамика
Размер: 10*7,5*23 см
Упаковка: индивидуальная коробка

Минимальный тираж для кастома 500 шт",, Дизайн: из наличия,16,"12,0","1023,9",45-50,"14,9","1270,7",35-40,3 400,2,12-14,
,,,,,86,"9,8","829,9",45-50,"12,4","1052,1",35-40,3 400,2,12-14,
 ,Ваза,"Материал: керамика
Размер: 20,5*4*7 см
Упаковка: индивидуальная коробка

Гравировка логотипа на дне от 50 шт",," Дизайн: 16 шт - из наличия, 86 шт - с гравировкой логотипа на дне ",16,"9,5","807,6",32-37,"12,3","1047,6",22-27,3 300,5,15-17,
,,,,,86,"8,1","687,9",32-37,"10,6","903,9",22-27,3 300,5,15-17,
 ,Ваза,"Материал: керамика
Размер: 7,5*20,5*3 см
Упаковка: индивидуальная коробка

Гравировка логотипа на дне от 50 шт",," Дизайн: 16 шт - из наличия, 86 шт - с гравировкой логотипа на дне ",16,"9,5","807,6",32-37,"12,3","1047,6",22-27,3 300,5,15-17,
,,,,,86,"8,1","687,9",32-37,"10,6","903,9",22-27,3 300,5,15-17,
 ,Ваза,"Материал: керамика
Размер: 4*8*21,3 см
Упаковка: индивидуальная коробка

Минимальный тираж для кастома 500 шт",, Дизайн: из наличия,16,"8,8","747,6",28-33,"11,6","987,6",18-23,3 200,2,12-14,
,,,,,86,"6,8","581,3",28-33,"9,4","797,3",18-23,3 200,2,12-14,
Расчет от 09.07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,Ваза,"Материал: керамика, цвет - голубой
Размер: 11,8*28 см
Упаковка: индивидуальная коробка

На складе в наличии 60 шт",," Дизайн: 15 шт - наличие, 87 шт - наклейка",15,"20,2","1719,6",30-35,"23,2","1969,0",20-25,3700 - из наличия,2,12-14,
,,,,,87,"17,0","1448,4",35-40,"19,7","1672,8",25-30,,,,
 ,Ваза,"Материал: керамика 
цвета: голубой, желтый, розовый, белый
Размер: 9,8*20 см
Упаковка: транспортная коробка
",, Дизайн: из наличия,15,"11,1","947,0",55-60,"13,5","1144,4",45-50,4900 - из наличия,2,12-14,
,,,,,87,"8,4","713,5",,"10,5","891,1",,,,,
 ,Ваза,"Материал: керамика 
цвета: зеленый, оранжевый, белый
Размер: 12,5*12,5*28 см
Упаковка: индивидуальная коробка
",, Дизайн: из наличия,15,"23,1","1960,0",55-60,"30,0","2552,1",45-50,6300 - из наличия,2,12-14,
,,,,,87,"19,6","1664,7",,"25,9","2197,6",,,,,
 ,Ваза,"Материал: керамика 
цвета: черный, металлик, белый
Размер: 9,5*25 см
Упаковка: индивидуальная коробка
",, Дизайн: из наличия,15,"12,2","1036,5",30-35,"14,7","1250,2",20-25,3200 - из наличия,2,12-14,
,,,,,87,"9,8","833,5",,"12,1","1025,9",,,,,
Расчет от 15.07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,Награда,"Материал: K9 
Размер: 58*58*240 мм
Упаковка: инд коробка 
Примечание от фабрики: 
",Разбирается на две части из акрила: черную и желтую, Дизайн: стоковый вариант ,4,"52,0","4421,9",30-35,"57,5","4889,4",20-25,7 000,2,12-14,
 ,Награда,"Материал: K9 
Размер: 50*70*240 мм
Упаковка: инд коробка 
Примечание от фабрики: 
",Разбирается на две части из акрила: черную и прозрачную, Дизайн: стоковый вариант ,36,"45,4","3861,7",30-35,"54,6","4640,9",20-25,7 000,2,12-14,
 ,Награда,"Материал: K9, металл
Размер: 70*70*240 мм
Упаковка: инд коробка 
Примечание от фабрики: 
",Разбирается на две части: акриловую и металлическую, Дизайн: стоковый вариант ,4,"77,2","6558,1",30-35,"84,5","7181,4",20-25,9 200,2,12-14,
 ,Награда,"Материал: K9, металл
Размер: 180*120 мм
Упаковка: инд коробка 
Примечание от фабрики: 
","Разбирается на две части: акриловую и металлическую, акриловая часть вставляется в металлическую ", Дизайн: стоковый вариант ,14,"46,6","3960,6",30-35,"51,2","4349,5",20-25,6 500,2,12-14,
 ,Награда,"Материал: K9, дерево, металл
Размер: 80*45*245 мм
Упаковка: инд коробка 
Примечание от фабрики: 
",К деревянной награде крепится металлическая пластина, Дизайн: стоковый вариант ,39,"42,7","3627,7",30-35,"54,1","4600,1",20-25,5 500,2,12-14,
