,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: паракорд 4 мм, металл
Размер: длина 14 см, обвес 2.8 см
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки образца"," Дизайн: наконечник и карабин в цвет шнурка, круглый обвес в цвет шнурка без нанесения

цвет шурка на выбор из раскладки Шнурок 4 мм раскладка",500,"2,3","198,5",40-45,"2,5","208,3",30-35,11 700,10,20-22,
,,,,1000,"2,2","183,9",,"2,3","193,8",,,,,
,,,,15000,"2,0","169,5",,"2,1","179,3",,,,,
Варианты шнурков в бюджет,,,,,,,,,,,,,,
 ,Брелок,"Материал: паракорд 
Размер: длина 12-14 см
Упаковка: инд пакет"," Дизайн: сток

цвет на выбор из раскладки ",500,"0,4","37,0",25-30,"0,5","41,9",15-20,1 470,2,12-14,
,,,,1000,"0,4","35,3",,"0,5","40,2",,,,,
,,,,15000,"0,4","31,7",35-40,"0,4","36,3",25-30,,,,
 ,Брелок,"Материал: паракорд 
Размер: длина 14-15 см
Упаковка: инд пакет"," Дизайн: сток

цвет на выбор из раскладки ",500,"0,6","46,5",25-30,"0,6","53,0",15-20,1 500,2,12-14,
,,,,1000,"0,5","44,7",,"0,6","51,3",,,,,
,,,,15000,"0,5","40,6",35-40,"0,6","46,8",25-30,,,,
 ,Брелок,"Материал: паракорд 
Размер: длина 14-15 см
Упаковка: инд пакет
Примечание: без вкладыша под чехол"," Дизайн: сток

цвет на выбор из раскладки (фото все цвета)",500,"0,6","51,0",25-30,"0,6","54,3",15-20,1 800,2,12-14,
,,,,1000,"0,6","47,9",,"0,6","51,3",,,,,
,,,,15000,"0,5","40,0",30-35,"0,5","43,2",20-25,,,,
 ,Брелок,"Материал: паракорд 
Размер: длина 14-15 см
Упаковка: инд пакет"," Дизайн: брендирование жаккардовой бирки

*все остальное стоковое, концы шнурка белые, на обвесе смайл",500,"1,0","82,3",40-45,"1,1","88,8",30-35,,7,17-19,
,,,,1000,"0,9","79,3",,"1,0","85,8",,,,,
,,,,15000,"0,8","70,8",,"0,9","77,0",,,,,
