,"Менеджер: Попова Дарья
Email: daryap@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Линейка,"Материал: эпоксидная смола
Размер: 15*4 см
Упаковка: см.доп.фото
Цвета: зелёный, синий, чёрный, красный

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: иммерсионное золочение, место лого см. в доп.фото ",500,"2,5","214,9",45-50,"2,7","230,2",35-40,7 900,7,17-19,
,,,,1000,"2,3","194,6",,"2,5","209,9",,,,,
,,,,2000,"2,1","177,9",,"2,3","193,2",,,,,
 ,Линейка,"Материал: эпоксидная смола
Размер: 20*4 см
Упаковка: см.доп.фото
Цвета: зелёный, синий, чёрный, красный

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: иммерсионное золочение, место лого см. в доп.фото ",500,"3,2","267,5",45-50,"3,3","282,8",35-40,7 900,7,17-19,
,,,,1000,"2,9","242,0",,"3,0","257,3",,,,,
,,,,2000,"2,6","220,1",,"2,8","235,4",,,,,
 ,Линейка,"Материал: эпоксидная смола
Размер: 25*4 см
Упаковка: см.доп.фото
Цвета: зелёный, синий, чёрный, красный

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: иммерсионное золочение, место лого см. в доп.фото ",500,"3,8","320,2",45-50,"4,0","335,5",35-40,7 900,7,17-19,
,,,,1000,"3,4","289,4",,"3,6","304,7",,,,,
,,,,2000,"3,1","260,9",,"3,3","276,2",,,,,
 ,Коробка,"Материал: картон
Размер: 17*7 см (примерно)
Упаковка: опп
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: тиснение с фольгированием (золото) , место лого, как на фото",500,"5,2","439,4",45-50,"5,9","497,2",35-40,12 300,7,17-19,
,,,,1000,"4,5","385,5",,"5,2","443,3",,,,,
,,,,2000,"4,3","364,7",,"5,0","422,5",,,,,
 ,Коробка,"Материал: картон
Размер: 23*7 см (примерно)
Упаковка: опп
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: тиснение с фольгированием (золото) , место лого, как на фото",500,"7,2","615,1",45-50,"8,3","701,8",35-40,16 700,7,17-19,
,,,,1000,"6,6","651,2",,"7,6","647,9",,,,,
,,,,2000,"6,1","515,6",,"7,1","602,3",,,,,
 ,Коробка,"Материал: картон
Размер: 28*7 см (примерно)
Упаковка: опп
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: тиснение с фольгированием (золото) , место лого, как на фото",500,"8,7","736,2",45-50,"10,0","851,8",35-40,19 100,7,17-19,
,,,,1000,"7,8","662,3",,"9,2","777,9",,,,,
,,,,2000,"7,3","616,7",,"8,6","732,3",,,,,
 ,Пакет,"Материал: крафтовая бумага
Размер: примерно 17*10 см
Упаковка: все пакеты упаковываются в общую коробку
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: печать лого; место лого, как на фото",3000,"0,7","60,4",40-45,"0,8","69,0",30-40,3 800,5,15-17,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Пакет,"Материал: крафтовая бумага
Размер: примерно 23*10 см
Упаковка: все пакеты упаковываются в общую коробку
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: печать лого; место лого, как на фото",3000,"0,7","58,2",40-45,"0,8","68,1",30-40,3 800,5,15-17,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Пакет,"Материал: крафтовая бумага
Размер: примерно 28*10 см
Упаковка: все пакеты упаковываются в общую коробку
Цвета: по макету клиента

Для точных цен и точного кастома обязательно нужен макет от клиента, более подробное описание. Сейчас смогли рассчитать только примерно"," Дизайн: печать лого; место лого, как на фото",3000,"0,7","56,1",40-45,"0,8","67,2",30-40,3 800,5,15-17,
