,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Портплед,"Материал: Плащевая ткань с мембраной
Размер: 30*40*10см (возможен кастом)
Упаковка: ОРР пакет
"," Дизайн: Серый цвет из раскладки фабрики, серая молния, фурнитура в цвете, близком к Pantone 386С, фурнитура- бегунки с пуллером, лого компании, жаккардовый шеврон",1000,"38,67","3 363,65 ₽",60-65,"41,97","3 672,20 ₽",50-55,"12 500,00 ₽",9,19-21,
,,,,1500,"35,77","3 111,37 ₽",65-70,"38,82","3 396,78 ₽",55-60,,,,
 ,Портплед,"Материал: Плащевая ткань с мембраной
Размер: 30*40*10см (возможен кастом)
Упаковка: ОРР пакет
"," Дизайн: Серый цвет Pantone, серая молния, фурнитура выкрашенная в цвет Pantone 386С, фурнитура- бегунки с пуллером, лого компании, жаккардовый шеврон",1000,"45,56","3 948,73 ₽",55-60,"48,86","4 257,28 ₽",45-50,"16 000,00 ₽",10,20-22,
,,,,1500,"42,14","3 652,57 ₽",60-65,"45,19","3 937,98 ₽",50-55,,,,
 ,Портплед,"Материал: Экокожа
Размер: 58*48*2см (возможен кастом)
Упаковка: ОРР пакет
", Дизайн: Дизайн по макету клиента,1500,"23,59","2 057,07 ₽",60-65,"25,83","2 266,89 ₽",50-55,"17 000,00 ₽",12,22-24,
,,,,3000,"22,60","1 971,89 ₽",60-65,"24,78","2 175,53 ₽",50-55,,,,
,,,,4000,"21,64","1839,64",60-65,"23,75","2 086,07 ₽",50-55,,,,
,,,,5000,"20,03","1 748,54 ₽",65-70,"22,01","1 933,67 ₽",55-60,,,,
 ,Портплед,"Материал: Холщевая ткань с мембраной
Размер: 58*48*2см (возможен кастом)
Упаковка: ОРР пакет
По форме портпледа из экокожи, материал изменен", Дизайн: Дизайн по макету клиента,1500,"22,94","2 004,04 ₽",60-65,"24,98","2 194,78 ₽",50-55,"17 000,00 ₽",12,22-24,
,,,,3000,"21,98","1 920,41 ₽",60-65,"23,96","2036,54",50-55,,,,
,,,,4000,"21,04","1 838,68 ₽",60-65,"22,96","1951,29",50-55,,,,
,,,,5000,"19,46","1 701,75 ₽",65-70,"21,26","1 870,05 ₽",55-60,,,,
 ,Портплед,"Материал: экокожа
Размер: 58*48*2см (возможен кастом)
Упаковка: ОРР пакет
Примечание от фабрики: цены ориентировочные, более точный расчет возможен после изготовления образца", Дизайн: Дизайн по макету клиента,1500,"22,94","2 355,10 ₽",60-65,"24,98","2 544,80 ₽",50-55,"23 000,00 ₽",15,25-27,
,,,,3000,"21,98","2 262,45 ₽",60-65,"23,96","2378,60",50-55,,,,
,,,,4000,"21,04","2 173,78 ₽",60-65,"22,96","2286,31",50-55,,,,
,,,,5000,"19,46","2 031,75 ₽",65-70,"21,26","2 200,10 ₽",55-60,,,,
 ,Портплед,"Материал: экокожа
Размер: 58*48*2см
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн:  В соответсвии с образцом,1000,"24,79","2 133,64 ₽",65-70,"27,85","2 416,38 ₽",55-60,,,,
,,,,1500,"23,91","2 058,41 ₽",65-70,"26,88","2 332,84 ₽",55-60,,,,
,,,,2000,"23,05","1 984,33 ₽",65-70,"25,93","2 250,45 ₽",55-60,,,,
,,,,4000,"21,35","1 838,56 ₽",70-75,"24,05","2 088,04 ₽",60-65,,,,
