,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,,,,,,,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото,,,,,,,,,,,,,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,,,,,,,,,,,,,,
 ,конструктор,"Материал: пластик
Размер: 
Упаковка: коробка, примерно 360 деталей,"," Дизайн: лого на коробке, наклейка",750,"36,0","3059,8",55-60,"41,8","3555,1",45-50,7 544,10,20-22,,,,,,,,,,,,,,,
 ,конструктор,"Материал: пластик
Размер: 
Упаковка: коробка, примерно 314 деталей,"," Дизайн: лого на коробке, наклейка",750,"13,7","1162,3",55-60,"15,7","1332,9",45-50,3 708,10,17-19,,,,,,,,,,,,,,,
 ,конструктор,"Материал: пластик
Размер: 
Упаковка: коробка, примерно 933 деталей,"," Дизайн: лого на коробке, наклейка",750,"30,3","2576,1",55-60,"33,8","2872,6",45-50,5 532,10,15-17,,,,,,,,,,,,,,,
 ,конструктор,"Материал: пластик
Размер: 
Упаковка: коробка, примерно 998 деталей,"," Дизайн: лого на коробке, наклейка",750,"29,2","2477,6",55-60,"31,7","2696,8",45-50,5 174,10,20-22,,,,,,,,,,,,,,,
,конструктор индивидуальная форма,"Материал: пластик
Размер: по макету
Упаковка: коробка, примерно 600  деталей,, минимальный заказ при открытие формы - 1000 штук", Дизайн: по индивидуальному макету клиента ,750,"21,6","1833,2",55-60,"23,6","2003,8",45-50,74 623,15,25-27,,,,,,,,,,,,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 800 грамм, 387 деталей"," Дизайн: лого на коробке, наклейка",750,"4,8","404,1",45-40,"5,3","447,4",35-30,3 856,7,17-19,,,,,,,,,,,,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 900 грамм, 433 деталей"," Дизайн: лого на коробке, наклейка",750,"6,5","554,4",45-40,"7,2","607,6",35-30,4 036,7,17-19,,,,,,,,,,,,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 1,5 кг, 669 деталей"," Дизайн: лого на коробке, наклейка",750,"7,2","615,0",45-40,"8,7","741,0",35-30,4 429,7,17-19,,,,,,,,,,,,,,,
 ,"Игра для всей семьи ""Крестики-нолики""","Материал:  полипропилен
Размер: 9,8 х 9,8 х 2 см размер; OOXX 2,8*2,8*0,4 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого на коробке, наклейка",750,"1,8","151,5",55-60,"2,0","168,4",45-50,3 620,1,11-13,,,,,,,,,,,,,,,
,головоломка,"Материал:  пластик
Размер: 9*9*10 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого на коробке, наклейка",750,"6,5","550,8",45-40,"7,5","640,2",35-30,4 250,7,17-19,,,,,,,,,,,,,,,
,Интерактивная игрушка на развитие памяти,"Материал: пластик/пластик
Размер: 15,5*7,5*5 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: инструкция на русском языке.
Брендирование на упаковочной коробке - при помощи наклейки и самой игрушке - печать УФ-краской",750,"13,2","1121,1",40-45,"14,5","1228,3",30-35,3 080,7,17-19,,,,,,,,,,,,,,,
