,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,конструктор,"Материал: пластик/пластик
Размер: 35*19*18, 920 грамм
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"50,7","4307,1",30-35,"58,8","5001,2",20-25,7 798,2,12-14,
,,,,500,"50,5","4293,5",40-45,"58,7","4987,6",30-35,,,,
,,,,700,"50,5","4292,5",45-50,"58,7","4986,6",35-40,,,,
 ,конструктор,"Материал: металлический PLA+металлический подшипник
Размер: 41*30*26, 1500 грамм
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"157,3","13371,6",30-35,"181,2","15401,8",20-25,20 397,2,12-14,
,,,,500,"157,2","13358,0",40-45,"181,0","15388,2",30-35,,,,
,,,,700,"157,1","13357,0",45-50,"181,0","15387,3",35-40,,,,
 ,конструктор,"Материал: пластик
Размер: 40,1*26,4*29,8
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"59,6","5067,0",55-60,"66,0","5610,6",45-50,9 428,2,12-14,
,,,,500,"58,0","4929,1",60-65,"64,4","5472,7",50-55,,,,
,,,,700,"56,2","4778,9",60-65,"62,6","5322,5",50-55,,,,
 ,конструктор,"Материал: пластик
Размер: 40,1*26,4*29,8
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"55,1","4682,6",55-60,"61,6","5232,6",45-50,9 654,2,12-14,
,,,,500,"53,5","4544,7",60-65,"59,9","5094,7",50-55,,,,
,,,,700,"51,7","4394,5",60-65,"58,2","4944,5",50-55,,,,
 ,конструктор,"Материал: пластик
Размер: 40,4*68,6*33,3
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"55,5","4717,5",55-60,"68,9","5854,6",45-50,13 361,2,12-14,
,,,,500,"55,3","4703,9",60-65,"68,7","5841,0",50-55,,,,
,,,,700,"55,3","4703,0",60-65,"68,7","5840,1",50-55,,,,
 ,конструктор,"Материал: пластик
Размер: 13*22*4
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"37,5","3183,9",35-40,"42,3","3598,5",25-30,5 844,2,12-14,
,,,,500,"35,5","3021,1",40-45,"40,4","3435,7",30-35,,,,
,,,,700,"35,5","3020,2",40-45,"40,4","3434,7",30-35,,,,
 ,конструктор,"Материал: пластик
Размер: 15*25 
Упаковка: инд пакет
Примечание от фабрики: 665 деталей", Дизайн: сток ,100,"26,8","2281,8",55-60,"29,7","2520,2",45-50,5 164,2,12-14,
,,,,500,"26,7","2268,2",55-60,"29,5","2506,6",45-50,,,,
,,,,700,"26,7","2267,2",55-60,"29,5","2505,7",45-50,,,,
 ,конструктор,"Материал: пластик
Размер: 15*18
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"26,8","2281,8",55-60,"29,7","2520,2",45-50,5 164,2,12-14,
,,,,500,"26,7","2268,2",55-60,"29,5","2506,6",45-50,,,,
,,,,700,"26,7","2267,2",55-60,"29,5","2505,7",45-50,,,,
 ,конструктор,"Материал: пластик
Размер: 27*12,5
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"93,8","7976,2",55-60,"101,2","8604,8",45-50,11 047,2,12-14,
,,,,500,"93,7","7962,6",55-60,"101,1","8591,2",45-50,,,,
,,,,700,"93,7","7961,7",55-60,"101,1","8590,2",45-50,,,,
 ,конструктор,"Материал: дерево
Размер: 25,4*23,2*19,8
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток ,100,"25,9","2199,6",55-60,"28,7","2438,0",45-50,4 898,2,12-14,
,,,,500,"25,7","2186,0",55-60,"28,5","2424,4",45-50,,,,
,,,,700,"25,7","2185,0",55-60,"28,5","2423,4",45-50,,,,
