,"Менеджер: 
Email: 
Телефон: ",,"Борисова Александра
sashab@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,дженга из дерева,"Материал: дерево
Размер: 18.5*5.5*5.5 cm(размер можно менять, возможно увелечение цены из-за смены размера) размер брусочка - 7.5*2.5*1.5
Упаковка: инд коробка - картонная 
Примечание от фабрики: 48 деталей в каждом наборе","Дизайн: нанесение лого на детали, печать",300,"14,4","1213,0","363 912,00",60-65,"16,8","1407,8","422 346,00",50-55,20 500,12,22-24,
,,,,,,,,,,,,,,,,
 ,дженга из дерева,"Материал: дерево
Размер: 15.5 см * 4.8 см * 4.8 см(размер можно менять, возможно увелечение цены из-за смены размера) размер брусочка - 4.5 см * 1.5 см * 0.8 см
Упаковка: инд коробка - картонная 
Примечание от фабрики: 48 деталей в каждом наборе","Дизайн: выкрас в цвет клиента (синий и черный
или - синий и белый)+логотип на коробке",500,"8,9","743,9","371 935,00",60-65,"11,2","938,7","469 325,00",50-55,13 500,10,20-22,
,,,,,,,,,,,,,,,,
 ,дженга из дерева,"Материал: дерево
Размер: 23.5 см * 7.5 см * 7.5 см(размер можно менять, возможно увелечение цены из-за смены размера) размер брусочка - 7.2 см * 2.4 см * 1.2 см
Упаковка: инд коробка - картонная 
Примечание от фабрики: 57  деталей в каждом наборе","Дизайн: выкрас в цвет клиента (синий и черный
или - синий и белый)+логотип на коробке",500,"9,2","768,5","384 225,00",60-65,"11,5","963,2","481 615,00",50-55,13 500,10,20-22,
,,,,,,,,,,,,,,,,
 ,мешок,"Материал: Белая хлопковая ткань
Размер: примерно 20*10 см
Упаковка: инд пакет
Примечание от фабрики: минимальный тираж от 1000 штук","Дизайн: цена с лого три цвета. Нельзя делать полную запечатку. Чем больше логотип, тем выше цена. Термоперенос. По краям необходимо оставить припуск по 2 см. Максимальная площадь нанесения — 16*6 см.",1000,"1,0","83,5","83 530,00",50-55,"1,2","99,2","99 240,00",40-45,7 650,7-10,17-20,
,,,,,,,,,,,,,,,,
 ,мешок,"Материал: Белая хлопковая ткань
Размер: примерно 20*10 см
Упаковка: инд пакет
Примечание от фабрики: минимальный тираж от 2000 штук","Дизайн: Индивидуальная полноразмерная печать, цифровая печать может напечатать цвет и логотип целиком",2000,"0,6","47,2","94 480,00",45-50,"0,6","51,2","102 340,00",35-40,5 500,7-10,17-20,
,,,,,,,,,,,,,,,,
 ,дженга из акрила,"Материал: акрил
Размер: 85*85*250mm (вариации с размером нет)
Упаковка: инд коробка - прозрачная/картонная 
Примечание от фабрики: внутри 48 деталей из которых строится башня, есть несколько цветов на выбор см фото, можно смешивать максмимум 4 цвета в одном наборе","Дизайн: нанесение лого на детали, печать на каждую деталь - шелкография",300 (печать на каждый брусок),"46,3","3888,5","1 166 562,00",50-55,"48,2","4045,6","1 213 686,00",40-45,19 050,12,22-24,
,,,,,,,,,,,,,,,,
,,,,100 (печать на каждый брусок),"46,7","3922,8","392 281,00",,"48,6","4080,8","408 082,00",,,,,
,,,,,,,,,,,,,,,,
,,,,100 (печать на 1 брусок),"46,4","3899,9","389 987,00",,"48,3","4057,0","405 695,00",,,,,
