,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 , Бутылка в чехле,"Материал: бутылка - нержваеющая сталь, чехол - кожзам
Размер: 500 мл, 21*9 см
Упаковка: индивдиуальная коробка
Примечание от фабрики: 
минимальный тираж для нанесения лого - 500 шт
минимальный тираж для сложной кастомизации - 5000 шт (можно настроить цвет, рисунок, форму крышечки, в цене посчитана настройка цвета и лого)"," Дизайн: из наличия, нанесение лого (лазерная гравировка, шелкография или 3д печать)",500,"9,4","827,8",45-50,"10,9","967,6",35-40,21 000,10,20-22,
,,,,1000,"8,9","777,5",,"10,3","909,1",,,,,
,,," Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",5000,"8,0","707,3",,"9,4","838,9",,,,,
 , Бутылка в чехле (другая фабркиа = другие дизайны),"Материал: бутылка - нержваеющая сталь, чехол - кожзам
Размер: 500 мл, 21,5*9 см
Упаковка: индивдиуальная коробка
Примечание от фабрики: 
минимальный тираж для сложной кастомизации - 2000 шт (можно настроить лого, цвет, рисунок, форму крышечки)", Дизайн: из наличия,500,"9,9","840,4",50-55,"11,5","973,9",40-45,16 000,10,20-22,
,,,,1000,"9,3","789,4",,"10,8","915,0",,,,,
,,," Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",5000,"8,2","695,0",,"9,7","820,6",,,,,
 , Бутылка в чехле,"Материал: бутылка - нержваеющая сталь, чехол - силикон
Размер: 500 мл, 195*83 мм
Упаковка: индивдиуальная коробка
Примечание от фабрики: 
минимальный тираж для кастомизации - 5000 шт (можно настроить лого, цвет, рисунок, форму крышечки)", Дизайн: из наличия,500,"9,9","843,9",50-55,"11,5","979,0",40-45,16 000,5,15-17,
,,,,1000,"9,3","792,6",,"10,8","919,8",,,,,
,,," Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",5000,"7,8","662,6",,"9,3","789,8",,,,,
 , Стикеры разных интересных форм,"Материал: PP
Размер: A6
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета ", Дизайн: производство в соответствии с макетом,500,"2,5","213,8",40-45,"2,6","220,2",30-35,5 500,5,15-17,
,,,,1000,"2,1","176,2",,"2,1","182,2",,,,,
 , Стикеры разных интересных форм,"Материал: бумага голографическая
Размер: 13*17 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета ", Дизайн: производство в соответствии с макетом,500,"2,2","189,0",40-45,"2,3","195,3",30-35,5 500,5,15-17,
,,,,1000,"1,9","164,5",,"2,0","170,5",,,,,
 , Стикеры разных интересных форм,"Материал: бумага, смола
Размер: 9*12 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета ", Дизайн: производство в соответствии с макетом,500,"1,9","164,1",40-45,"2,0","170,5",30-35,5 500,5,15-17,
,,,,1000,"1,7","141,1",,"1,7","147,1",,,,,
 , Стикеры разных интересных форм,"Материал: бумага
Размер: 10*16 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета ", Дизайн: производство в соответствии с макетом,500,"1,9","161,2",40-45,"2,0","167,4",30-35,5 500,5,15-17,
,,,,1000,"1,6","138,5",,"1,7","144,4",,,,,
 ,Готовые пеналы из силикона софт тач (какие варианты нанесения?),"Материал: пищевой силикон
Размер: 18*6,5*5 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастомизации - 1000 шт", Дизайн: из наличия ,500,"3,7","313,4",45-50,"4,0","343,6",35-40,15 000,10,20-22,
,,," Дизайн: нанесение лого, можно настроить цвет
По вариантам нанесения: можно сделать только шелкографию в 1 цвет",1000,"2,4","202,1",,"2,7","230,5",,,,,
 ,Готовые пеналы из силикона софт тач (какие варианты нанесения?),"Материал: пищевой силикон
Размер: 19*7*5 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастомизации - 1000 шт", Дизайн: из наличия ,500,"2,8","240,1",40-45,"3,3","277,9",30-35,8 500,7,17-19,
,,,"Дизайн: нанесение лого, можно настроить цвет
По вариантам нанесения: можно сделать только шелкографию в 1 цвет",1000,"2,8","238,4",,"3,2","274,0",,,,,
 ,Готовые пеналы из силикона софт тач (какие варианты нанесения?),"Материал: пищевой силикон
Размер: 17.5*8.5*6.5 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастомизации - 500 шт","Дизайн: нанесение лого, можно настроить цвет
По вариантам нанесения: можно сделать только шелкографию в 1 цвет",500,"5,8","492,0",45-50,"6,2","523,8",35-40,8 500,7,17-19,
,,,,1000,"5,4","461,4",,"5,8","491,4",,,,,
 ,Готовые пеналы из силикона софт тач (какие варианты нанесения?),"Материал: пищевой силикон
Размер: 20*5 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастомизации - 2000 шт",Дизайн: из наличия,500,"3,8","324,6",50-55,"4,5","386,0",40-45,4 500,8,18-20,
,,,,1000,"3,5","294,5",,"4,2","352,4",,,,,
 ,Готовые пеналы из силикона софт тач (какие варианты нанесения?),"Материал: пищевой силикон
Размер: 6,5*5,5*19 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастомизации - 2000 шт",Дизайн: из наличия,500,"3,1","266,9",45-50,"3,7","314,2",35-40,8 500,10,20-22,
,,,,1000,"2,9","249,6",,"3,5","294,1",,,,,
 ,Брелоки(калькулятор и вязанные),"Материал: полиэстер/нейлон
Размер: 5*5 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета"," Дизайн: плетение по макету, 1 цвет ",500,"0,8","70,3",45-50,"0,9","76,4",35-40,6 500,10,20-22,
,,,,1000,"0,8","64,6",,"0,8","70,3",,,,,
 ,Брелоки(калькулятор и вязанные),"Материал: полиэстер/нейлон
Размер: 1,5*4 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета"," Дизайн: плетение по макету, 1 цвет ",500,"2,1","174,7",45-50,"2,2","185,8",35-40,6 500,10,20-22,
,,,,1000,"1,9","162,8",,"2,0","173,3",,,,,
 ,Брелоки(калькулятор и вязанные),"Материал: полиэстер/нейлон
Размер: длина 7 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета
В комплект входит: желто-белая веревка, карабин, два кольца"," Дизайн: плетение по макету, 1 цвет ",500,"2,7","232,0",45-50,"2,9","245,0",35-40,6 500,10,20-22,
,,,,1000,"2,6","216,8",,"2,7","229,0",,,,,
 ,Ручки с пвх крышками (какие возможности брендирования?,"Материал: пластик, пвх
Размер: 19*2,3 см
Упаковка: OPP пакет
Примечание от фабрики: минимальный тираж для кастома - 5000 шт
*точная цена зависит от выбранной модели / от макета
*при заказе из наличия нужно уточнять кол-во на складе перед выкупом", Дизайн: из наличия ,500,"0,4","36,6",45-50,"0,5","40,4",35-40,13 000,10,20-22,
,,,,1000,"0,3","25,8",,"0,4","29,4",,,,,
,,, Дизайн: индивидуальный дизайн крышки,5000,"1,2","97,9",,"1,2","102,4",,,,,
 ,Линейки,"Материал: пластик
Размер: 15 см
Упаковка: OPP пакет
Примечание от фабрики: не наносят логотип", Дизайн: из наличия,500,"0,7","59,1",35-40,"0,9","79,8",25-30,6 500,3,13-15,
,,,,1000,"0,6","54,0",,"0,9","73,5",,,,,
 ,Линейки,"Материал: пластик
Размер: 15 см
Упаковка: OPP пакет
Примечание от фабрики: не наносят логотип", Дизайн: из наличия,500,"0,2","20,2",35-40,"0,3","26,5",25-30,4 000,3,13-15,
,,,,1000,"0,2","17,4",,"0,3","23,4",,,,,
 , Пвх бирка на сумку,"Материал: пвх
Размер: 5*7,5 см (точный размер зависит от конкретной модели)
Упаковка: OPP пакет
Примечание от фабрики: есть несколько дизайнов на выбор, нужно уточнять по кол-ву перед заказом", Дизайн: из наличия,500,"0,7","55,9",35-40,"0,7","60,9",25-30,3 000,3,13-15,
