,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: жесткая обложка
96 листов, 70 грамм, двухсторонняя одноцветная печать
резинка, ляссе, зажим для ручки
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"4,598","404,62",45-50,"5,907","519,81",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
128 листов, 70 грамм, двухсторонняя одноцветная печать
резинка, два ляссе
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"4,890","430,29",45-50,"6,273","552,06",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: крафт картон
Размер: 257 × 182мм
Упаковка: инд пакет
Примечание от фабрики: жесткая обложка на пружине
128 листов, 70 грамм, двухсторонняя одноцветная печать
ляссе
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"8,827","776,81",45-50,"11,258","990,74",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
128 листов, 70 грамм, двухсторонняя одноцветная печать
резинка, ляссе
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"4,890","430,29",45-50,"6,273","552,06",35-40,9 000,7,17-19,
,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: жесткая обложка на пружине
100 листов, 70 грамм, двухсторонняя одноцветная печать
ляссе
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"6,424","565,33",45-50,"7,920","696,98",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
128 листов, 70 грамм, двухсторонняя одноцветная печать
ляссе, зажим для ручки
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей", Дизайн: уф печать на обложке,4000,"5,036","443,16",45-50,"6,420","564,93",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: жесткая обложка
128 листов, 70 грамм, двухсторонняя одноцветная печать
ляссе, резинка
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей"," Дизайн: уф печать на обложке, тиснение",4000,"5,253","462,28",45-50,"6,824","600,51",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
80 листов, 70 гр, двухсторонняя двухцветная печать"," Дизайн: тиснение на обложке, выкрас форзаца и нахзаца (дизайнерская бумага), выкрас среза, одноцветны1й логотип на каждой странице блока",4000,"3,570","314,15",45-50,"4,425","389,43",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: 19*19 см
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
104 листа, 70 гр, двухсторонняя одноцветная печать"," Дизайн: тиснение на обложке, обечайка из мелованной бумаги 200 гр с трехцветной печатью, выкрас форзаца / нахзаца с одноцветной печатью, выкрас среза, светоотражающее ляссе с уф печатью",4000,"5,482","482,40",45-50,"6,884","605,82",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: 19*19 см
Упаковка: инд пакет
Примечание от фабрики: жесткая обложка
104 листа, 70 гр, двухсторонняя одноцветная печать"," Дизайн: тиснение на обложке, обечайка из мелованной бумаги 200 гр с трехцветной печатью, выкрас форзаца / нахзаца с одноцветной печатью, выкрас среза, светоотражающее ляссе с уф печатью",4000,"6,007","528,61",45-50,"7,589","667,86",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: кож зам
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
128 листов, 70 гр, двухсторонняя одноцветная печать
2 ляссе"," Дизайн: тиснение на обложке, фольгирование среза, последние 8 листов отрывные",4000,"4,017","353,49",45-50,"4,952","435,77",35-40,9 000,7,17-19,
 ,ежедневник,"Материал: tpu
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: мягкая обложка
97 листов, 70 гр, двухсторонняя одноцветная печать
1 ляссе
прокрас среза добавит к цене 18 рублей
вставка одного листа мелованной бумаги 175 гр с цветной печатью добавит к цене 18 рублей
цветной логотип клиента на каждой странице (одинаковый)  добавит к цене 13 рублей
ляссе с шильдиком с гравировкой добавит к цене 20 рублей
светоотражающее ляссе с уф печатью добавит к цене 22 рубля
силиконовое ляссе со уф печатью добавит к цене 22 рубля
сделать отрывными последние 8 листов добавит к цене 6 рублей
уф печать добавит к цене 13 рублей (если полную запечатку то 38 рублей)", Дизайн: без лого,4000,"4,453","378,54",45-50,"5,613","477,09",35-40,9 000,7,17-19,
