,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Снежный шар (стандарт 10 см),"Материал: Стекло, смола 
Размер: 10 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1$ / 81,20 шт
Антифриз -10 градусов: +2$ / 162,40 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутри шара белый снег (можно выбрать размер, за доп стоимость можно добавить блестки, цветной снег)",500,"26,8","2338,3",85-90,"30,4","2677,7",75-80,70 000,20,30-32,
,,,,1000,"25,4","2220,4",,"29,0","2550,4",,,,,
,,,,1500,"24,1","2106,7",,"27,5","2427,2",,,,,
 ,Снежный шар (подсветка окон 10 см),"Материал: Стекло, смола 
Размер: 10 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1$ / 81,20 шт
Антифриз -10 градусов: +2$ / 162,40 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутри шара белый снег (можно выбрать размер, за доп стоимость можно добавить блестки, цветной снег)
- внутрь шара добавлена подсветка. Считали с фабрикой производство окон из прозрачного/полупрозрачного/светлого материала и заведение подсветки внутрь здания, чтобы при включении света окна светились - необходимо проверять на образце (подсветка может быть желтого или белого света)",500,"28,4","2470,0",85-90,"32,0","2809,4",75-80,70 000,20,30-32,
,,,,1000,"26,9","2348,4",,"30,5","2678,4",,,,,
,,,,1500,"25,6","2231,0",,"29,0","2551,6",,,,,
 ,Снежный шар (подсветка окон+автомат снег 10 см),"Материал: Стекло, смола 
Размер: 10 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1$ / 81,20 шт
Антифриз -10 градусов: +2$ / 162,40 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутрь шара добавлена подсветка. Считали с фабрикой производство окон из прозрачного/полупрозрачного/светлого материала и заведение подсветки внутрь здания, чтобы при включении света окна светились - необходимо проверять на образце (подсветка может быть желтого или белого света)
- устройство с автоматической подачей снега
",500,"32,4","2812,2",85-90,"36,0","3151,7",75-80,70 000,20,30-32,
,,,,1000,"30,9","2681,2",,"34,4","3011,2",,,,,
,,,,1500,"29,4","2554,3",,"32,8","2874,8",,,,,
 ,Снежный шар (стандарт 12 см),"Материал: Стекло, смола 
Размер: 12 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1,4$ / 113,68 шт
Антифриз -10 градусов: +2,8$ / 227,36 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутри шара белый снег (можно выбрать размер, за доп стоимость можно добавить блестки, цветной снег)",500,"36,0","3170,7",85-90,"42,5","3772,3",75-80,70 000,20,30-32,
,,,,1000,"34,4","3029,6",,"40,7","3614,6",,,,,
,,,,1500,"32,8","2892,8",,"38,9","3461,0",,,,,
 ,Снежный шар (подсветка окон 12 см),"Материал: Стекло, смола 
Размер: 12 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1,4$ / 113,68 шт
Антифриз -10 градусов: +2,8$ / 227,36 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутри шара белый снег (можно выбрать размер, за доп стоимость можно добавить блестки, цветной снег)
- внутрь шара добавлена подсветка. Считали с фабрикой производство окон из прозрачного/полупрозрачного/светлого материала и заведение подсветки внутрь здания, чтобы при включении света окна светились - необходимо проверять на образце (подсветка может быть желтого или белого света)",500,"37,6","3302,3",85-90,"44,0","3904,0",75-80,70 000,20,30-32,
,,,,1000,"35,9","3157,6",,"42,2","3742,6",,,,,
,,,,1500,"34,3","3017,1",,"40,4","3585,4",,,,,
 ,Снежный шар (подсветка окон+автомат снег 12 см),"Материал: Стекло, смола 
Размер: 12 см
Упаковка: индвидуальная белая коробка + пенопласт + пакет 
Примечание от фабрики: 
Посчитан антифриз -5 градусов
Антифриз -7 градусов: +1,4$ / 113,68 шт
Антифриз -10 градусов: +2,8$ / 227,36 шт
*точная стоимость после макета и образца"," Дизайн: 
- внутренняя композиция из смолы (открытие индивидуальной формы по 3д макету)
- подставка из смолы, выкрас в нужный цвет (за доп стоимость на подставку можно добавить лого)
- внутрь шара добавлена подсветка. Считали с фабрикой производство окон из прозрачного/полупрозрачного/светлого материала и заведение подсветки внутрь здания, чтобы при включении света окна светились - необходимо проверять на образце (подсветка может быть желтого или белого света)
- устройство с автоматической подачей снега
",500,"41,6","3644,6",85-90,"48,1","4246,3",75-80,70 000,20,30-32,
,,,,1000,"39,8","3490,4",,"46,1","4075,4",,,,,
,,,,1500,"38,1","3340,4",,"44,2","3908,6",,,,,
