,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,,,,,,,,,,,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото,,,,,,,,,,,,,,,,,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,,,,,,,,,,,,,,,,,,
,Сумка 1,"Материал: нейлон
Размер: 19*15*26 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: нанесение лого в 1 цвет, шелокграфия; цвет ткани из наличия",100,-,-,-,-,-,-,8 500,10,20-22,,,,,,,,,,,,,,,,,,,
,,,,300,"8,4","755,8",50-55,"10,0","902,5",40-45,,,,,,,,,,,,,,,,,,,,,,
,,,,500,"8,2","740,2",55-60,"9,8","884,3",45-50,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"8,1","730,1",55-60,"9,7","872,5",45-50,,,,,,,,,,,,,,,,,,,,,,
,,,,1000,"7,9","707,6",60-65,"9,4","845,6",50-55,,,,,,,,,,,,,,,,,,,,,,
,,,,1200,"7,6","685,2",60-65,"9,1","819,0",50-55,,,,,,,,,,,,,,,,,,,,,,
,Сумка 2,"Материал: нейлон
Размер: 19*14*4 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: нанесение лого в 1 цвет, шелокграфия; цвет ткани из наличия",100,"4,9","440,0",35-40,"5,4","488,0",25-30,15 500,5,15-17,,,,,,,,,,,,,,,,,,,
,,,,300,"4,8","428,7",35-40,"5,3","476,6",25-30,,,,,,,,,,,,,,,,,,,,,,
,,,,500,"4,7","418,9",40-45,"5,2","466,0",30-35,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"4,0","361,6",45-50,"4,5","408,1",35-40,,,,,,,,,,,,,,,,,,,,,,
,,,,1000,"3,9","350,2",45-50,"4,4","395,3",35-40,,,,,,,,,,,,,,,,,,,,,,
,,,,1200,"3,8","339,0",45-50,"4,3","382,7",35-40,,,,,,,,,,,,,,,,,,,,,,
,Сумка 3,"Материал: нейлон
Размер: 18*7*14 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: нанесение лого в 1 цвет, шелокграфия; цвет ткани из наличия",100,"7,8","700,6",35-40,"8,8","793,8",25-30,8 500,3,13-15,,,,,,,,,,,,,,,,,,,
,,,,300,"7,4","663,0",35-40,"8,4","756,1",25-30,,,,,,,,,,,,,,,,,,,,,,
,,,,500,"7,2","649,0",40-45,"8,2","740,6",30-35,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"6,8","614,5",45-50,"7,8","704,9",35-40,,,,,,,,,,,,,,,,,,,,,,
,,,,1000,"6,6","595,4",45-50,"7,6","683,1",35-40,,,,,,,,,,,,,,,,,,,,,,
,,,,1200,"6,4","576,6",45-50,"7,4","661,5",35-40,,,,,,,,,,,,,,,,,,,,,,
,"Бутылка


","Материал: PC+PP
Упаковка: индивидуальный пакет
Размер: 22 х 5.7 см
Объем: 700 мл
Цвет: серый

кастом от 2000 шт ",,300,"6,2","643,2",30-35,,,,2 820,10-12,,,,,,,,,,,,,,,,,,,,
,,,,500,"6,2","640,9",30-35,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"5,9","609,5",35-40,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 000,"5,9","605,0",35-40,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 200,"5,9","602,1",35-40,,,,,,,,,,,,,,,,,,,,,,,,,
,"Полотенце с микрофиброй


","Полотенце с петлей 
70*140 ","Цвет изделия:  желтый, резинка черная.
Особенности изделия: полотенце должно быть изготовлено из микрофибры — современного материала, который легко впитывает влагу в несколько раз больше собственного веса, быстро сохнет, не оставляет ворсинок и не покрывается катышками. Полотенце легко сворачивается и закрепляется резинкой тон в тон. полотенце имеет обработку по краям, края не осыпаются, нитки не торчат
Материал изделия:  микрофибра, полиэстер 90%, полиамид 10%, плотность 190 г/м²
Нанесение: согласно макету заказчика, полная запечатка 4+4.
Размер 70Х140, до 5 разных макетов",300,"5,1","527,4",40-45,,,,7 000,15-17,,,,,,,,,,,,,,,,,,,,
,,,,500,"5,0","513,0",40-45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"4,8","490,2",45-50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 000,"4,7","484,5",45-50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 200,"4,7","481,3",45-50,,,,,,,,,,,,,,,,,,,,1 686,,,,,ждем рассчеи
 ,Бандана,"Материал: 100% хлопок, батист, 100 гр
Размер: 60*60 см
Обработка края - американка(московский шов) двойной подгиб, не более 4мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: полноцветная рулонная прямая печать активными чернилами на водной основе по натуральным тканям,300,"5,3","473,3",50-55,"5,5","491,3",40-45,8 300,7,17-19,,,,,,,,,,,,,,,,,,,
,,,,500,"4,7","424,6",,"4,9","442,5",,,,,,,,,,,,,,,,,,,,,,,
,,,,800,"4,4","397,2",,"4,6","415,1",,,,,,,,,,,,,,,,,,,,,,,
,,,,1000,"3,7","330,6",,"3,9","348,0",,,,,,,,,,,,,,,,,,,,,,,
,,,,1200,"3,5","314,9",,"3,7","331,8",,,,,,,,,,,,,,,,,,,,,,,
