,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД ,,,Доставка АВИА ,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Чемодан,"Материал: пластик
Размер: 55 х 36.6 х 21 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: нанесение лого,100,"125,1","11716,2",60-65 (долгое),"139,7","13163,5",45-50 (долгое),"31 900 (без лого производителя, с лого клиента)",7,17-19,
,,,,,,,,,,,,,,
,,," Дизайн: лого УФ 10 х 10 см, без лого производителя",15,"155,1","13785,2",35-40,"186,8","16747,8",25-30,,,,
,,,,,,,,,,,,,,
,,,,,"115,5","10079,5", 45-50 (долгое),"132,9","10343,5", 35-40 (долгое),,,,
,,,,,,,,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 55 х 35 х 22 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: нанесение лого,100,"76,2","7333,7",40-45,"102,1","9891,8",30-35,20 800,7,17-19,
,,,,,,,,,,,,,,
,,, Дизайн: сток,30,"77,5","7452,3",30-35,"103,4","10010,5",20-25,20 400,2,12-14,
,,,,,,,,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 50 х 35 х 21 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: нанесение лого,100,"78,1","7468,8",45-50,"102,3","9867,1",35-40,24 950,7,17-19,
,,,,,,,,,,,,,,
,,, Дизайн: сток,30,"84,4","8035,0",30-35,"108,6","10433,3",20-25,21 450,2,12-14,
,,,,,,,,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 50 х 35 х 21 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: нанесение лого,100,"74,2","7149,4",40-45,"100,0","9707,5",30-35,17 450,2,12-14,
,,,,,,,,,,,,,,
,,, Дизайн: сток,30,"73,7","7110,1",30-35,"99,6","9668,2",20-25,16 600,1,11-13,
,,,,,,,,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 48 х 33 х 20 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: нанесение лого,100,"83,1","8011,3",30-35,"112,2","10889,2",20-25,33 600,10,20-22,
,,,,,,,,,,,,,,
,,, Дизайн: сток,30,"81,5","7866,7",,"110,6","10744,6",,20 500,2,12-14,
,,,,,,,,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 20 дюймов, 57 х 37 х 21 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: сток,20,"111,8","10059,9",25-30,"156,5","14086,9",15-20,18 600,1,11-13,
,,,,30,"111,5","10031,6",,"156,2","14058,6",,,,,
,,,,100,"111,0","9991,9",,"155,8","14018,9",,,,,
,,," Дизайн: нанесение лого, УФ-печать",100,"119,8","10781,8",30-35,"164,5","14808,7",20-25,19 050,3,13-15,
 ,Чемодан,"Материал: пластик
Размер: 20 дюймов, 57 х 37 х 21 см
Упаковка: сток коробка
Цвет: желтый", Дизайн: сток,20,"102,0","9177,2",25-30,"140,3","12625,8",15-20,18 620,1,11-13,
,,,,30,"101,7","9148,9",,"140,0","12597,5",,,,,
,,,,100,"101,2","9109,2",,"139,5","12557,8",,,,,
,,," Дизайн: нанесение лого, УФ-печать",100,"110,0","9899,1",30-35,"148,3","13347,7",20-25,19 140,3,13-15,
