,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Светильник Елочка,"Материал: ореховое дерево и специальная водонепроницаемая бумага
Размер: 17,2*17,2*27,6 см
Упаковка: фабричная коробка
Питание: без батарей, зарядка от сети
Сенсорный переключатель
Цвет света: 7 цветов
", Дизайн: печать по макету,500,"28,6","2456,4",65-70,,,,16 500,10,20-22,
,,,,1000-2000,"27,1","2331,8",70-75,,,,,,,
 ,Елочная игрушка,"Материал: смола
Размер: примерно 5-6 см
Упаковка: прозрачный пакет
", Дизайн: без кастома,500,"2,3","193,6",35-40,,,,2 400,2,12-14,
,,,,1000-2000,"2,1","179,6",40-45,,,,,,,
 ,Елочная игрушка,"Материал: сплав металла
Размер: 8,7х4,5 см
Упаковка: прозрачный пакет

Расчет на плоские игрушки, объемные считаются отдельно", Дизайн: без кастома,500,"4,8","403,2",35-40,,,,2 700,2,12-14,
,,,,1000-2000,"4,6","389,3",40-45,,,,,,,
 ,Елочная игрушка,"Материал: хрусталь
Размер: 8,7х4,5 см
Упаковка: транспортирвочная
Цена за штуку, не за набор", Дизайн: без кастома,500-2000,"7,4","624,8",40-50,"7,6","637,6",30-40,2 319,2,12-14,
 ,Елочная игрушка,"Материал: хрусталь
Размер: 8,7х4,5 см
Упаковка: транспортирвочная
Цена за штуку, не за набор", Дизайн: без кастома,500-2000,"14,3","1203,0",40-50,"14,5","1215,8",30-40,2 897,2,12-14,
 ,Елочная игрушка,"Материал: хрусталь
Размер: 8,7х4,5 см
Упаковка: транспортирвочная
Цена за штуку, не за набор", Дизайн: без кастома,500-2000,"15,3","1285,2",40-50,"16,1","1356,1",30-40,3 424,2,12-14,
,Прорезные игрушки,"Материал: костяной фарфор
Размер: 9см
Упаковка: транспортирвочная
Цена за штуку, не за набор
Требуется открытие формы(см столбец ""Образец"")", Дизайн: открытие формы,500,"8,7","728,5",85-90,"8,8","740,7",75-80,20000/форма,20,30-32,
,,,,1000,"8,3","700,4",85-90,"8,5","712,6",75-80,,,,
,,,,2000,"7,8","657,4",85-90,"8,0","669,2",75-80,,,,
,Лампа,"Материал: белый фарфор
Размер: 18.6*22см
Упаковка: транспортирвочная
без лампочки внутри, подходит E14
работает от розетки, вилка европейская", Дизайн: сток,500,"28,9","2431,1",75-90,"35,8","3004,1",65-80,20000/форма,20,30-32,
,,,,1000,"28,3","2380,3",75-90,"35,2","2953,2",65-80,,,,
,,,,2000,"28,0","2354,8",75-90,"34,9","2927,8",65-80,,,,
,Лампа,"Материал: белый фарфор
Размер: 18.6*22см
Упаковка: транспортирвочная
без лампочки внутри, подходит E14
работает от розетки, вилка европейская", Дизайн: сток,500,"21,4","1796,3",75-90,"26,3","2206,9",65-80,20000/форма,20,30-32,
,,,,1000,"20,9","1757,8",75-90,"25,8","2168,3",65-80,,,,
,,,,2000,"20,5","1720,0",75-90,"25,4","2130,6",65-80,,,,
,,,,,,,,,,,,,,
,,,,,"9,40","789,97",,"9,563855422","803,1361446",,,,,
,,,,,"9,04","759,49",,"9,195180723","772,6554217",,,,,
,,,,,"8,49","712,82",,"8,642168675","725,6710843",,,,,
,,,,,"30,64","2574,11",,"37,86352941","3180,790588",,,,,
,,,,,"30,01","2520,26",,"37,22823529","3126,96",,,,,
,,,,,"29,68","2493,35",,"36,9","3100,034118",,,,,
,,,,,"22,64","1901,98",,"27,81529412","2336,675294",,,,,
,,,,,"22,16","1861,15",,"27,32823529","2295,847059",,,,,
,,,,,"21,68","1821,22",,"26,85176471","2255,918824",,,,,
,,,,,0,0,,,,,,,,
