,"Менеджер: 
Email: 
Телефон: ",,"Червоненко Светлана
sveta.ch@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Платок,"Материал: сатин (полиэстер), 70-90 гр
Размер: 30*30 см
Упаковка: индивидуальный прозрачный пакет
Примечание от фабрики: возможна отгрузка партиями","Дизайн: индивидуальный пошив, обработка краев по требованию заказчика, односторонняя полноцветная цифровая запечатка",500000,"1,0","81,9","40 935 000,00",55-60,"1,0","85,6","42 785 000,00",45-50,7 800,7,17-19,
,,,,1000000,"0,9","75,0","74 950 000,00",75-80,"0,9","78,5","78 530 000,00",65-70,,,,
 ,Жестяная шкатулка,"Материал: жесть 0,23 мм
Размер: 10*7*7 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
Открытие шкатулки осуществляется сбоку (см. доп фото)
Возможна отгрузка партиями
К 25.11 возможно произвести и доставить 100 тыс шт","Дизайн: 
Индивидуальная форма
Печать: лицевая сторона — белый лак (праймер) + цветная печать + покрытие лаком;
внутренняя сторона — только покрытие лаком, без печати.",500000,"2,0","169,6","84 790 000,00","100-105 - общий срок включая производство формы и предтиражного образца
70-75 - срок производства партии без учета срока производства формы","3,0","253,6","126 800 000,00","90-95 - общий срок включая производство формы и предтиражного образца
60-65 - срок производства партии без учета срока производства формы

авиа доставка только при делении партии на максимум 100 тыс. шт","18000 - образец формы на 3Д принтере

915000 - открытие формы","7 дней - образец формы на 3Д принтере

30 дней - открытие формы","17-19 дней - образец формы на 3Д принтере

42-45 дней - предтиражный образец",
,,,,1000000,"2,0","167,6","167 610 000,00","145-150 - общий срок включая производство формы и предтиражного образца
115-120 - срок производства партии без учета срока производства формы","3,0","251,6","251 630 000,00","135-140 - общий срок включая производство формы и предтиражного образца
105-110 - срок производства партии без учета срока производства формы

авиа доставка только при делении партии на максимум 100 тыс. шт",,,,
 ,"Набор: платок в шкатулке, упакованные в цветную коробку","Материал: платок - сатин, шкатулка - жесть
Размер: платок - 30*30 см, шкатулка - 10*10*7 см
Упаковка: индивидуальная коробка с дизайном
Примечание от фабрики: 
Возможна отгрузка партиями
К 25.11 возможно произвести и доставить 100 тыс наборов","Сборка: платок упаковывается в пакет и шкатулку, шкатулка упаковывается в коробку с индивидуальной печатью",500000,"4,6","388,6","194 320 000,00","100-105 - общий срок включая производство формы и предтиражного образца
70-75 - срок производства партии без учета срока производства формы","5,5","462,6","231 295 000,00","90-95 - общий срок включая производство формы и предтиражного образца
60-65 - срок производства партии без учета срока производства формы

авиа доставка только при делении партии на максимум 100 тыс. шт",9000 - образец коробки,7,17-19,
,,,,1000000,"4,4","369,6","369 640 000,00","145-150 - общий срок включая производство формы и предтиражного образца
115-120 - срок производства партии без учета срока производства формы","5,3","440,9","440 850 000,00","135-140 - общий срок включая производство формы и предтиражного образца
105-110 - срок производства партии без учета срока производства формы

авиа доставка только при делении партии на максимум 100 тыс. шт",,,,
 ,Игрушка- неваляшка,"Материал: пластик 
Размер: 20 см
Примечание от фабрики: Фабрика сможет дать цену только после проработки сырого образца (см. доп фото)",Дизайн: индивидуальная форма и печать,500000,"Сейчас нет возможности дать цену, необходимо прорабатывать образец форму

Стоимость сырого образца - 43000 руб., стоимость открытия формы - около 600000 руб.",,,,"Сейчас нет возможности дать цену, необходимо прорабатывать образец форму

Стоимость сырого образца - 43000 руб., стоимость открытия формы - около 600000 руб.",,,,43 000,5,15-17,
,,,,1000000,,,,,,,,,,,,
