,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,недатированный ежедневник ,"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики:  цвет ляссе и форзаца по раскладке от фабрики. необходима проработка образца для подтверждения стоимости тиража ","Дизайн: мягкая обложка, цвета по раскладке от фабрики, Внутри обложки карманы: один боковой большой
и два вертикальных. Тиснение серебряной фольгой, включая саит на внутренней стороне обложки.  
",350,"7,2","605,6","211 970,50",50-55,"9,1","762,7","266 948,50",40-45,10 000,7,17-19,
,датированный ежедневник ,"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: мягкая обложка, цвета по раскладке от фабрики, 
Внутри обложки карманы: один боковой большой
и два вертикальных.Тиснение серебряной фольгой: лого и сайт на внутренней стороне обложки.
Блинтовое тиснение:",250,"7,2","607,1","151 780,00",50-55,"9,1","764,2","191 050,00",40-45,10 000,7,17-19,
 ,недатированный ежедневник ,"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: мягкая обложка, цвета по раскладке от фабрики, 
Внутри обложки карманы: один большой и два вертикальных.
Тиснение серебряной фольгой.
",350,"7,2","605,2","211 809,50",50-55,"9,1","762,3","266 787,50",40-45,10 000,7,17-19,
,датированный ежедневник ,"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: мягкая обложка, цвета по раскладке от фабрики, Внутри обложки карманы: один большой и два вертикальных.
Тиснение блинтовое ",250,"7,2","607,1","151 780,00",50-55,"9,1","764,2","191 050,00",40-45,10 000,7,17-19,
 ,датированный ежедневник ,"Материал: VIENNA (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стои","Дизайн: твердая обложка, цвета по раскладке от фабрики , с резинкой 10мм и вставкой для ручки.
Логотип тиснится серебряной фольгой, остальной дизайн выполняется прозрачной УФ-печатью*
(покрытие будет глянцевым, с переливам на матовой поверхности)",400,"6,6","555,4","222 168,00",50-55,"8,5","712,5","285 000,00",40-45,10 000,7,17-19,
,недатированный ежедневник ,"Материал: VIENNA (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики  необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики , 
На обложке резинка шириной 1 Омм + вставка для ручки.
Логотип выполняется УФ-печатью, цитата печатается прозрачным лаком (УФ)*
(покрытие будет глянцевым, с переливами на матовой поверхности)",500,"6,9","579,1","289 570,00",50-55,"8,8","736,2","368 110,00",40-45,10 000,7,17-19,
 ,недатированный ежедневник ,"Материал: Материал:
FIRENZE и LATTE (приближенный вид материала который есть у фабрики)                                          Размер: а5, 250стр, 70гр листы
Упаковка: пакет  
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража ","Дизайн: твердая обложка, цвета по раскладке от фабрики , 
На обложке большой фигурный боковой карман.
ТИСНИТСЯ серебряной фольгой.
Остальной дизайн выполняется методом
УФ-печати
без подъёма.",400,"7,8","653,7","261 484,00",50-55,"9,7","810,8","324 316,00",40-45,10 000,7,17-19,
,датированный ежедневник ,"Материал: Материал:
FIRENZE и LATTE (приближенный вид материала который есть у фабрики)                                          Размер: а5, 250стр, 70гр листы
Упаковка: пакет  
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики , Ежедневник на скрытой,
серебристого цвета, пружине с хлястиком.
Полноцветная УФ-печать",200,"7,8","658,0","131 592,00",50-55,"9,7","815,0","163 008,00",40-45,10 000,7,17-19,
