,"Менеджер: 
Email: 
Телефон: ",,,"Киселева Екатерина
katya.e@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,ММ Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ремувка СБЕР зеленая,"Цвет: зеленый
Тип подвески: тканевый, ремувка
Размер петли: 3 x 13 см
Крепление: металлический карабин
Брендинг: печать на ремувке
Дополнительно: веревочная подвеска.","Материал: нейлон, металл
Размер петли: 3 х 13 см 
Упаковка: опп пакет
","Дизайн: цвет ремувки: зеленый (цвет из наличия фабрики), печать на ремувке (шелкография), подвеска (цвета из наличия), карабин (цвет из наличия)",1200,"1,6","135,3",162 396,45-50,"1,7","144,6",173 568,35-40,7 380,8,18-20,
 ,Ремешок для телефона с металлическим карабином,"Материал ремешка: полиэстер
Материал карабина: металл
Длина: 120 см
Цвета: зеленый или салатовый, можно два цвета одновремено 
Нанесения брендирование: печать или гравировка ","Материал: полиэстер
Размер: 120 см
Упаковка: опп пакет
Примечание от фабрики: можно два цвета одновременно, можно один",Дизайн: лого шелкография,2000,"2,7","231,9",463 820,50-55,3,"256,8",513 500,40-45,7 500,7,17-19,
 ,Браслеты ,"Размер браслета 202*12*2 мм. 
Диаметр браслета 64 мм. 
Вес - 5,5 грамм, нанесение 1+0","Материал: силикон
Размер: 202 х 12 х 2 мм
Упаковка: сток
","Дизайн: цвет зеленый (сток из раскладки фабрики), лого шелкографией",6000,"0,2","15,6",93 600,40-45,"0,2","17,4",104 520,30-35,3 650,4,14-16,
 ,Термостакан ,"
Бренд: Ideus.
Цвет: зеленый.
Ближайший цвет по Pantone: 2261C.
Материал: нержавеющая сталь,пластик,пищевой силикон.
Размеры: диаметр дна 7,5 см; диаметр верха 10 см; высота 22,2 см.","Материал: нержавейка 304 и 201
Размер: 40 oz, около 1200 мл
Упаковка: коробка
Примечание от фабрики: крышка чуть иная, ручка тоже чуть объемнее","Дизайн: цвет (из наличия фабрики, очень близкий к пантону 2261С), лого шелкографией",300,12,"1055,1",316 530,40-45,"14,6","1294,6",388 380,30-35,7 970,6,16-18,
 ,Термостакан (аналог),"
Бренд: Ideus.
Цвет: зеленый.
Ближайший цвет по Pantone: 2261C.
Материал: нержавеющая сталь,пластик,пищевой силикон.
Размеры: диаметр дна 7,5 см; диаметр верха 10 см; высота 22,2 см.","Материал: нержавейка 304 и 201
Размер: 40 oz, около 1200 мл
Упаковка: белая коробка
Примечание от фабрики: крышка чуть иная, ручка тоже чуть объемнее","Дизайн: цвет (из наличия фабрики, очень близкий к пантону 2261С), лого шелкографией или лазерной гравировкой

Убрать розовый цвет с ручки и крышки можно от 1000 шт",300,"10, 83","956,5",286 941,40-45,"13,3","1183,6",355 065,30-35,10 400,6,16-18,
,Аккумулятор Omni Qi,"Литий-полимерный аккумулятор
Емкость: 10 000 мАч.
Количество циклов заряда-разряда: не менее 500.
Входные параметры: – Гнезда Type-C, Micro USB и кабель USB-A: 5 В, 2 A
Выходные параметры: – Выход 1, выход 2, кабели Micro USB, Type-C и Lightning: 5 В, 2 А
Время полного заряда: до 7 часов.
Погрешность цифрового индикатора: не более 7%.
Мощность беспроводного заряда: 5 Вт.
Нанесение: УФ-печать, 4х4 см.","Материал: пластик
Размер: 89 × 85 × 23 мм
Упаковка: сток
Тех характеристики: 
Название: Power Bank с магнитом, беспроводная зарядка, 10 000 мАч
Элемент питания: 1260110×1
Особенности: встроенные три кабеля + беспроводная зарядка
Цвета: чёрный, белый (слоновая кость), винтажный зелёный
Размер: 89 × 85 × 23 мм
Вход: 2.1A
Выход: 2.1A
Примечание от фабрики: необходимо подтверждение по образцу",Дизайн: нанесение логотипа,200,"12,1","1016,8",203 360,40-45,"13,1","1099,3",219 860,30-35,4 100,7,17-19,
,Зонт,"Производитель : Classica.
Зонт женский.
Тип зонта: полный автомат (суперавтомат).
Конструкция: 3 сложения.
Материал каркаса: сталь, фибергласс.
Количество спиц: 10.
Материал купола: винил.
Форма ручки: прямая.
Материал ручки: под каучук (soft-touch).
Цвет: салатовый.","Материал: Ткань с покрытием
Размер: 
Диаметр купола: 118 см
Ширина: 105 см
Высота: 65 см
В сложенном виде: 33 × 6 см
Упаковка: сток
Примечание от фабрики: необходимо подтверждение по образцу",Дизайн: сток,200,"9,8","824,2",164 840,40-45,"11,7","982,6",196 520,30-35,4 800,7,17-19,
,Светящаяся лапка сквиш,"Игрушка-антистресс.
Вид антистресс-игрушки: сквиш.
Материал: силикон.
Цвет: салатовый.","Материал: TPR
Размер: 3 см
Упаковка: сток пакет
Примечание от фабрики: не светится, необходимо подтверждение по образцу",Дизайн: сток,1500,"0,4","32,0",48 000,40-45,"0,4","34,7",52 050,30-35,1 700,7,17-19,
 ,Картхолдеры ,"Референс: https://gifts.ru/id/205986
Размеры: 10х8 см.
Материал: искусственная кожа, уф-печать 5х2 см.","Материал: PU кожа
Размер: 10 × 0,5 × 7,5 см
Упаковка: сток
Примечание от фабрики: необходимо подтверждение по образцу",Дизайн: уф нанесение лого,1700,"1,9","157,8",268 260,45-50,"2,0","166,1",282 370,35-40,5 700,7,17-19,
